"","f(3)","f(9)","f(15)","f(20)","f(27)","f(33)","f(39)","f(45)","f(51)","f(57)","f(63)","f(69)","f(75)","f(81)","f(87)","f(93)","f(99)","f(105)","f(110)","f(117)","f(123)","f(129)","f(135)","f(141)","f(147)","f(153)","f(159)","f(165)","f(171)","f(177)","f(183)","f(189)","f(194)","f(201)","f(207)","f(213)","f(219)","f(225)","f(231)","f(237)","f(243)","f(248)","f(255)","f(261)","f(267)","f(273)","f(279)","f(285)","f(291)","f(297)","f(303)","f(309)","f(315)","f(321)","f(327)","f(333)","f(339)","f(345)","f(351)","f(357)","f(363)","f(369)","f(375)","f(381)","f(387)","f(393)","f(399)","f(405)","f(411)","f(417)","f(423)","f(429)","f(435)","f(441)","f(447)","f(453)","f(459)","f(465)","f(471)","f(477)","f(483)","f(489)","f(495)","f(501)","f(507)","f(513)","f(519)","f(525)","f(531)","f(537)","f(543)","f(549)","f(555)","f(561)","f(567)","f(573)","f(579)","f(585)","row means"
"block 0",1.0355461664164,-0.502397072413158,-0.397515651147658,-0.305179447596653,-1.13212155070202,-1.06385262520361,-1.12160891011882,-0.142201825368443,-1.28639884560951,-0.974858699586865,-2.84947686771791,-2.49063652727655,-1.86325386328586,-2.12337286507965,-2.74616261845336,-2.30480119146743,-1.93288196971326,-2.81180439376535,-2.63945444307734,-3.47704163277326,-2.72164512953355,-3.33657713450179,-5.45230124807915,-5.05021899519959,-3.69643665974754,-3.2795632270755,-2.77979294789635,-4.37644979987192,-3.47795294796342,-3.47359707318793,-2.71153073915988,-3.24843125092463,-2.90923840278483,-3.75269368481809,-2.91230928455951,-3.52630070838129,-3.84853142210139,-4.39386805163113,-3.29172324752211,-4.17373307315958,-3.84987627793087,-3.20350406388631,-3.68724800429115,-4.07791902827518,-4.31664428899325,-3.99976846949644,-4.34995562326645,-4.80957823675646,-4.63582961659511,-4.86333329619731,-4.77474469075357,-4.10496128924976,-4.76701735208931,-4.92403661000158,-4.91975168581248,-4.76747454618636,-6.18643426934825,-5.80178740328135,-5.10903577587499,-6.23258972858376,-5.8426227438964,-5.74427875641841,-5.80205559792578,-6.53502709680171,-5.88633446471653,-6.50945169666702,-5.92920023177513,-6.97799586480908,-7.58651181661451,-6.61070732385773,-6.43309113563316,-6.40764197520343,-5.85920993738173,-5.87387962990553,-5.77083470299568,-6.89585293246324,-6.78912421637946,-6.02077902462248,-5.32400848157872,-6.55528653954294,-6.14613878683657,-5.36067320376584,-6.91253723395467,-5.77808356691922,-6.97798981651015,-6.50067697207188,-6.8250793517268,-6.71040614935205,-6.51315533106119,-6.19155250449298,-5.73669490032346,-7.63753560992093,-6.51715210782123,-6.95175490695362,-6.50902297606712,-5.70894510830046,-5.59992345735836,-6.63176010136973,-4.46415139156025
"block 1",1.17278676200439,-1.51366321250687,-1.05736406444791,-1.19418001226334,-0.84527135068134,-1.08964295222216,-1.28917183101206,-0.596290872162958,-0.152865034196291,-1.28656634387644,-0.874460076696329,-2.74517506720745,-2.69706732055593,-1.5070266115172,-1.70017997002668,-2.83581369032793,-2.52603846059798,-2.26278981721411,-2.7687632079823,-2.89998452755877,-2.7404750451074,-4.070007650173,-4.92715906799712,-4.89686396391193,-4.97391820538573,-4.57838978777547,-3.57750867664356,-2.90347463776722,-3.28006041966018,-3.75595689824944,-3.28239224913737,-3.19879048556919,-2.95454690469946,-2.97492487473043,-3.67388656426292,-3.44545527498024,-3.82533685199768,-4.12861785857396,-4.04557654047179,-4.06798677652056,-4.7760922600644,-3.83120567288369,-3.82956251654308,-4.47738804044557,-4.66237730556687,-3.67016249678332,-3.63534052440697,-4.23295986986944,-4.55557385934443,-4.0720694563438,-4.1449220169161,-6.47951276633541,-4.9429882008349,-4.58804808175045,-4.55281070816172,-5.7167455077849,-5.56979292198296,-5.68862025175229,-5.54636184493985,-5.69365510745271,-6.00672002154578,-5.62488639743003,-6.68420420247429,-5.63935961144909,-6.27876312617307,-5.83579130366664,-6.39647334811306,-6.12116435854305,-7.34948068615248,-6.80741301464098,-6.35185371549965,-6.15228371708325,-6.23778623923886,-6.75633103256865,-6.93357296579359,-7.09822945841879,-6.22359119884847,-6.6649077803568,-6.08891312785264,-6.85893127497742,-6.12868177415192,-5.38230976372142,-6.69618646793993,-5.39570020269636,-6.17016980859801,-6.1461047289244,-6.58718227745964,-6.09799686413796,-7.28578315216758,-6.66285508242991,-6.02891360431485,-6.55991278848491,-6.1439586550235,-6.4791130571729,-6.31899894411183,-5.36719868714199,-6.06570930966734,-6.56933643607432,-4.49830422438645
"block 2",1.74997959893251,0.687582218399445,-1.1528525625567,-1.01405220071953,-1.28499676199481,-2.16144656855141,-1.99063062923337,-1.06879417891757,-1.34155697775308,-1.73621361275574,-2.15848593738094,-2.14725157231387,-2.40508414880859,-2.54088877514826,-1.84888497098244,-2.81051248404828,-2.1706533231806,-2.66936643239369,-3.53550540182668,-3.28951903447668,-3.78242111924151,-3.7458748199056,-5.3375258028768,-5.49381720659851,-4.79115073290157,-4.47399162251269,-3.89994017328516,-3.85315937790637,-2.51474747059859,-3.34546769306363,-3.64591250416627,-3.37488967161574,-3.49552620334172,-4.02510611935507,-3.93970678296043,-3.95232997750057,-3.98265016373063,-3.8114310682959,-3.09261101953974,-4.28970857739522,-4.49958766884086,-4.07711769529243,-4.65604025545774,-4.95359880723908,-3.40308052388282,-4.05027324420523,-4.19726418993671,-4.76390409496869,-5.11911674742729,-5.646936585483,-5.04774257342546,-4.97636249105611,-4.4081909360932,-5.41438659211723,-5.59494508150212,-5.94137613641225,-5.70662836195246,-5.53929340204685,-6.26851062213929,-5.34559601180157,-5.23030965073145,-5.39938946534598,-5.5033865027031,-6.01837703166728,-5.98487104891331,-6.26563213274516,-5.89525966723149,-7.07387836579472,-6.797901319788,-6.96264862559807,-7.21492282955215,-6.43798997033749,-6.10134877449007,-6.35484099329217,-6.64619982154593,-5.98975761903978,-6.29681728454022,-6.36738953186406,-6.07679790958021,-6.8787925530322,-5.89567313513399,-5.80945306510297,-6.49498075688342,-6.20007331586053,-6.44911000750188,-7.37203597088756,-6.33919401006628,-6.04900528547669,-6.97937726544921,-7.01472705764216,-6.00245935414911,-5.92851525184293,-6.82902069998498,-6.98583593668012,-6.49761558830434,-5.391044662555,-6.55091566811728,-6.97011785658946,-4.63880326397758
"block 3",2.28331166554121,-0.0624098364579637,0.154746412439494,-0.148790993165319,-0.49868910756528,-1.25553586744283,-2.24267115053802,-1.21148982918757,-1.6183451438392,-1.11902249047646,-1.22575514765348,-1.7874278438129,-3.75515366017932,-2.48963328078028,-2.5706788499294,-3.53059933491888,-2.71975515079771,-2.59955730072339,-2.50544173361116,-4.04530292644687,-2.96410370719698,-3.69238813933698,-5.48688861037614,-5.77691510386829,-3.64123606466149,-3.41769329571271,-2.76676422649276,-3.31774061210775,-3.85576456797512,-3.17825683207507,-3.04612983275189,-3.45909369886938,-4.12217567131488,-3.3144106682792,-3.55401234442685,-3.92031702928675,-3.89027553187375,-4.37976288751324,-3.33819422885208,-3.46632284784984,-4.55311830042713,-5.24227031775048,-4.94099256203216,-4.55307545793062,-4.71889363892985,-4.96616117701692,-5.55697962527808,-4.5938191101319,-4.48502950304243,-5.5804870993657,-5.05738601915975,-4.80683017794143,-5.38493948071769,-5.10300222778019,-5.85505574196639,-5.87315164186592,-5.59098225789384,-5.60270724319764,-5.35638913046278,-5.80848820419224,-5.8863863972703,-6.64221429827656,-5.70371077208372,-6.57568014353662,-5.42323883451239,-5.98349225260045,-5.77750260016746,-6.49765386274274,-6.79458704072972,-6.97609955609939,-7.29665328460801,-6.10962803633421,-7.29140298108248,-6.64147580818396,-6.51983442591418,-6.15519476934898,-6.54163491807419,-6.88263692896812,-5.34394740429189,-6.33448638599099,-6.45684338943699,-5.64825221956635,-6.50877481770118,-6.11526455570763,-7.04601194156702,-6.90830835190968,-6.40915989628755,-5.90174914608804,-6.18126527384111,-5.59234074665825,-5.86918009951632,-6.5728652408125,-6.36324176675939,-6.4321539882737,-6.97782165855812,-5.37497681199585,-6.03956039732426,-6.94999381929678,-4.61113909397517
"block 4",2.73429920238959,1.05428405421337,-0.807791928633153,-1.06366760499383,-0.00402294906877836,-1.34823132265854,-1.87909734359146,-2.21838090848436,-1.62724115578906,-2.32507069757271,-2.46633052766703,-1.96704599301439,-2.1188036648829,-2.43634546126034,-1.92245157028591,-2.47803958529402,-2.63651569527344,-3.388104682172,-4.00588389700141,-3.39716693660502,-3.56660648906983,-4.3103087710344,-5.21162090821008,-6.00949779257764,-3.99891363095114,-3.9230006733585,-3.58272333866504,-4.03300650333626,-4.0256262634425,-2.96224667815137,-3.84173413825749,-3.74989946145324,-4.21171485626936,-3.5718047199155,-3.89076899385553,-4.12498791313001,-3.11276642159737,-4.14273118399263,-4.07392034580996,-4.18155655738114,-3.99285771325561,-3.2864509161131,-4.79929034851998,-4.60959335617418,-4.27244372008185,-4.01736270626348,-4.14509664167502,-4.38030771210698,-5.63279526590136,-4.80683824148319,-5.75929341750794,-5.21979547349397,-5.40966441844331,-5.53164245399558,-5.63055561476604,-6.16866860240215,-5.31491758658409,-5.1322036993816,-6.63535783606354,-5.80612150260289,-5.56473138803597,-6.89347149106947,-6.17085004829238,-6.51801265599575,-6.31462424682344,-6.04614434491619,-6.12807970986087,-6.53266441736521,-6.94158211592145,-7.85349202267995,-6.61364418329224,-6.09572815343068,-6.72449119685246,-6.02060062530269,-6.37614925756908,-6.64655507011956,-6.68504336227331,-6.95737460539907,-6.63565296998,-5.78892050721003,-6.17866746568302,-5.82595450528743,-7.47196490868443,-5.95276542364611,-6.54021584731082,-6.30908951968813,-6.29838175422574,-6.09908533991817,-6.39941935842532,-5.72838132252659,-6.89137104851559,-7.00353864967864,-6.84239269285292,-6.13279262561215,-6.56639880218476,-5.15575881631346,-5.49665273791217,-7.44150273726398,-4.68592293329632
"block 5",2.29992673056789,1.6343257771582,-0.540987599481118,-0.285421448672499,-0.0624971747722264,-1.10991254215679,-1.02392386283136,-2.39251001921992,-1.80509748116589,-1.77398080476061,-1.88803448565495,-2.66617864951624,-2.38952582075096,-2.26892048620337,-3.07775422305908,-2.91950150129868,-1.97071484095052,-2.6926621788113,-2.80042273874239,-3.66929516668325,-3.6670906197633,-4.49604303133517,-6.09532609530902,-5.96404360904968,-4.0932781632863,-4.59126295886388,-3.36183911454357,-3.75733023907467,-3.61563996502108,-2.42340788294819,-3.73944627684806,-2.8775811138795,-3.76932452236492,-3.82550500582746,-3.69407875092532,-4.0451551160635,-3.52934857251321,-4.58306062470263,-4.6002886444129,-4.46104789142405,-4.00744398824409,-4.08371511221131,-4.40276713063005,-3.96511428051105,-5.79615687171594,-4.98006147593187,-4.03832346579903,-4.03141734427567,-4.29220175308058,-5.37706717694547,-6.09004898223576,-5.53744214738497,-6.06803089708782,-5.2071437934471,-5.45540319309494,-5.82504413333959,-5.94860040326569,-5.40603343603162,-6.38931150927273,-5.49037743957351,-5.67966343644137,-5.6484800642342,-5.75813188843731,-5.94259072152613,-6.6424727170183,-5.65891216199176,-6.66541950595193,-7.60080784081889,-6.58029939934456,-7.16576833781322,-6.99868605448601,-5.94929385180491,-6.5016582277185,-6.83020378870302,-6.19071357207001,-7.24249294773834,-6.3196525923497,-6.28924568144993,-5.82306356950864,-6.36008735116485,-5.9492858303066,-6.00601043980715,-6.46964594098284,-6.04041426020592,-6.57159238104925,-5.92520695559303,-7.17843004296054,-5.92110901628244,-7.26773155604704,-6.39715401661916,-6.08888907271487,-6.53163796655015,-6.13797897753308,-6.78077149061449,-6.07045942332177,-5.45587774367611,-5.46562817094702,-6.40033259158171,-4.64786419221026
"block 6",2.77120452670853,1.72593179436316,0.781595225040393,-0.190520203368544,-0.751454079369952,-1.27688628618225,-1.42838618834072,-0.72477289402705,-2.11035718321388,-1.54006392486874,-2.45045012331008,-1.47474918289409,-1.88460511257758,-2.54042659323387,-2.42859659884311,-3.42369969092103,-2.36887207355515,-2.7682978422557,-3.4038282559826,-3.61156958492415,-3.42033074332638,-4.29373217416045,-5.42666077154387,-5.65738688911358,-3.97633608192053,-4.34924459845384,-3.0359157911985,-3.94017468837154,-3.24790151236711,-3.04539687924897,-4.27906113694918,-4.2778783940857,-3.64161350097809,-3.88761050902258,-4.14833238013367,-4.06513247600493,-3.63166635510825,-3.49729754057417,-4.8646379682283,-4.74303837998239,-5.33070925725051,-3.89461586320043,-4.31341388606326,-4.37974409768369,-3.81518477806667,-5.25305513821437,-5.041172619872,-4.52051249784926,-4.86016042234704,-5.08723087017915,-5.74315091769721,-4.97124071650604,-4.95569848277928,-5.57926720216216,-5.93906242746107,-5.85624341076016,-6.22773879698812,-5.15165935475632,-5.70151055228648,-6.46130058006187,-5.87036732611904,-5.88512882632119,-5.50829626803094,-6.16123110944303,-7.08695618992145,-6.87837026077471,-6.13627221165391,-6.28656257939148,-6.43846166122665,-7.29515420097709,-6.42693898555354,-7.91349878989561,-6.63495343451855,-7.43206364904221,-6.28186627210448,-6.71677951471356,-7.39086243997034,-6.38504668111389,-5.7888764790009,-5.70663760088512,-5.81859518607938,-5.66729101979109,-7.70467700217588,-5.7684129287513,-7.32221019723147,-7.33737206110609,-6.5155143808984,-6.30875403445525,-7.33319643203664,-5.80185935942763,-6.02538225842034,-6.38890995178925,-6.87190515106439,-7.0324294336461,-6.61067959212074,-5.15021297013834,-5.93326102402912,-7.6372221124748,-4.70472484174497
"block 7",2.71981215895271,-0.0457925919792142,0.143229132365877,-0.497572852987174,-0.159186257980002,-0.747636302936682,-0.47161335978755,-2.21174401830911,-1.81005093846278,-1.6244902288374,-1.85851289075198,-2.55005137946573,-2.23938259012824,-2.87015127380407,-2.3950514143005,-2.37208840480692,-1.70588837719923,-3.03682231197205,-4.10172754580233,-3.34380867741358,-3.36196220056573,-4.03574193752312,-4.91796072284971,-5.85096540779951,-4.0934644606278,-4.16087923128088,-3.86829832578574,-3.90375616081579,-3.38298412510473,-3.58836927619809,-4.01868833545575,-3.5562470933075,-2.89410123281565,-3.81288506596721,-3.23004848470341,-3.95673809961236,-3.13331319993918,-3.66998861476848,-3.83364142776217,-4.35545820189997,-3.91439591938009,-4.1475412338685,-4.41727084001768,-4.87195987423505,-4.0373391236566,-5.10333786519595,-4.45031688347386,-4.17681364309505,-4.72077963079588,-5.34404151527728,-5.00058804285983,-5.43375141297619,-5.01817650147716,-5.45341148536092,-5.04675084757136,-6.00695648165217,-6.17713544564453,-5.35043495800465,-6.07163700530908,-5.93059948654354,-5.65680373756132,-7.11216893158414,-5.97147495777447,-5.97156994935102,-6.32782048262945,-5.88679888955271,-6.01140602317501,-6.66548837689998,-7.07125703269963,-6.95673705840122,-6.366362083073,-6.3962810698305,-6.52063819296369,-6.39543370772995,-6.13142419869794,-5.86109446246711,-6.90679927770607,-6.56257601692969,-6.16881076156311,-7.33295300605985,-6.45450102780404,-6.42845092023608,-6.1704662006339,-5.88465368323884,-7.10199702148895,-7.19493060227747,-5.98214633487625,-6.46077619478125,-6.50572752026842,-6.32892071940064,-6.1696929183441,-6.56282996170957,-6.94939608097871,-6.1875331298232,-5.87790578839517,-5.47516109017584,-6.11828940637297,-7.22306992931114,-4.62068986401582
"block 8",3.41909855712264,-1.29045357176995,-0.649353027861992,-0.651977317272137,-0.916191791082733,-1.33619413510838,-0.698656449787832,-1.51447159527152,-1.1065801714453,-1.6580367923298,-1.40826923593444,-1.02279670712096,-1.95077062890232,-1.97190125475557,-1.66789336838868,-2.23631201097374,-1.8951313565029,-2.28966756864549,-2.98830676753096,-2.8437565491126,-3.19362954761684,-3.79339924324785,-5.42188787928322,-6.19764457344966,-4.52692367061529,-3.39583452719234,-3.52310669121937,-2.61305099109167,-3.38607502319587,-3.29107355409091,-3.68087392610255,-3.60804960173827,-3.12997906285942,-3.63133415282672,-2.83160184000311,-3.11486484712805,-5.13360843248317,-3.62309004937036,-4.21288770878973,-4.05077056800383,-4.15285518374768,-4.18718674704858,-4.01364172172766,-3.78629829951339,-4.31841573512882,-4.94504414212398,-4.23734539431757,-4.26409508045859,-4.45928482721532,-4.89603254378484,-5.01413288249228,-4.50584566013741,-5.62590186682166,-4.99430135556617,-6.42235244275471,-5.76426484514578,-5.43658385894908,-6.0973410134706,-5.74967474251451,-5.1307546970391,-5.27143984571666,-5.08139275525129,-5.88083291423647,-6.67284256314017,-5.74548813320144,-6.2321981767264,-5.93300069230042,-6.93593378805329,-6.91456403378192,-7.16857776928684,-7.36445284188116,-5.9458972041397,-7.02158525964571,-7.29101135339759,-6.65174147626842,-6.44256168089747,-6.54230031253555,-6.46929859685152,-6.22995229009258,-7.1997943688416,-5.83863310905749,-4.8331969020195,-6.30183217349594,-6.55975823428726,-6.79470391101594,-6.61601091376119,-6.21428209558738,-6.18213244346213,-6.02517990658628,-6.12301727340285,-6.15822414532499,-6.47582485618864,-6.26476245125849,-7.10830817886629,-5.83168159230622,-5.76707567491943,-5.50307077309817,-7.58674327401239,-4.51242821059018
"block 9",2.5671730030543,0.385940365373453,0.68906374231258,-0.450957105182781,-0.507682244310752,-0.932117889244876,-1.65371806973281,-1.66512814120673,-2.1596311604518,-2.34570851208374,-1.47235970018179,-3.24343053072389,-2.418630000774,-2.89617059845664,-2.13080864506486,-2.3048526798966,-3.03559801296354,-2.07808200161857,-3.20623449118875,-3.08320000958248,-3.81148794760496,-4.14129589209591,-4.60714460603369,-7.36997675484628,-3.45577063513441,-4.24446903541625,-4.13619314938148,-2.90851281667105,-3.86690757330163,-4.05267128057054,-3.51907895548086,-3.66352703683538,-3.67361473112279,-4.18848593401649,-4.36761816371877,-5.0999839906302,-4.16928578162835,-4.24485395505128,-4.47183626293218,-4.09215627219431,-4.01649655945477,-4.3818428531581,-4.20019233595656,-4.31074144167176,-4.37696835453885,-4.20813202031369,-4.60971227372457,-4.59082977621627,-4.01284321728157,-4.74309494497915,-4.58835332924962,-5.85404832846022,-5.17269383991294,-5.3657578105914,-5.09921086044254,-5.34464842969555,-6.14269362223172,-6.12398516400898,-5.20796625647992,-5.5877364289187,-6.33265232413756,-6.04767764893914,-6.257231777371,-5.76740819117013,-6.09971146902087,-6.80560275725642,-6.41168871700265,-7.00041411180286,-7.00766033874342,-6.73822575999998,-6.52093357397263,-6.38285852199896,-6.64616069947582,-6.95075016996187,-6.09273867653697,-6.34050414912959,-6.75527507649838,-5.76638780800494,-6.08679386908208,-6.51348401624231,-6.50030214654883,-5.19353356766311,-5.38814202921168,-6.05985302703282,-7.20406473612669,-6.46229309160675,-5.94357976419499,-5.73464554064661,-6.82096821728581,-6.16079379863206,-6.08195212911961,-6.88697742033585,-6.80595542356648,-6.95081476141548,-6.72290392075771,-5.31806253679702,-5.18607282310693,-6.67765008787501,-4.63864975491989
