"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion","Particiopante"
0,1,0,0,20,20,1,0,1,9
0,1,0,0,20,20,1,1,1,9
0,2,0,0,20,20,1,0,1,9
0,2,0,0,20,20,1,1,1,9
0,3,0,0,20,19,1,0,0.95,9
0,3,0,0,20,19,1,1,0.95,9
0,4,0,0,20,19,1,0,0.95,9
0,4,0,0,20,20,1,1,1,9
0,5,0,0,20,19,1,0,0.95,9
0,5,0,0,20,20,1,1,1,9
0,6,0,0,20,19,1,0,0.95,9
0,6,0,0,20,17,1,1,0.85,9
0,7,0,0,20,18,1,0,0.9,9
0,7,0,0,20,19,1,1,0.95,9
0,8,0,0,20,16,1,0,0.8,9
0,8,0,0,20,19,1,1,0.95,9
0,9,0,0,20,20,1,0,1,9
0,9,0,0,20,20,1,1,1,9
0,10,0,0,20,19,1,0,0.95,9
0,10,0,0,20,18,1,1,0.9,9
0,11,0,0,20,16,1,0,0.8,9
0,11,0,0,20,20,1,1,1,9
0,12,0,0,20,20,1,0,1,9
0,12,0,0,20,20,1,1,1,9
0,13,0,0,20,20,1,0,1,9
0,13,0,0,20,20,1,1,1,9
0,14,0,0,20,20,1,0,1,9
0,14,0,0,20,18,1,1,0.9,9
0,15,0,0,20,20,1,0,1,9
0,15,0,0,20,20,1,1,1,9
0,16,0,0,20,20,1,0,1,9
0,16,0,0,20,20,1,1,1,9
0,17,0,0,20,20,1,0,1,9
0,17,0,0,20,20,1,1,1,9
0,18,0,0,20,20,1,0,1,9
0,18,0,0,20,20,1,1,1,9
0,19,0,0,20,20,1,0,1,9
0,19,0,0,20,20,1,1,1,9
0,20,0,0,20,17,1,0,0.85,9
0,20,0,0,20,20,1,1,1,9
0,21,0,0,20,20,1,0,1,9
0,21,0,0,20,20,1,1,1,9
0,22,0,0,20,20,1,0,1,9
0,22,0,0,20,20,1,1,1,9
