"","x"
"1",0
"2",0
"3",0
"4",0.0011183870536321
"5",0
"6",1.70771970298134e-06
"7",0
"8",4.24087653883021e-10
"9",2.09054995536917e-12
"10",0.00171260923349037
"11",0.0122265519593967
"12",0.437913564394949
"13",0.0792398792131941
"14",0
"15",0
"16",0
"17",0.0800122758253272
"18",0.00773422381286226
"19",9.18047415865431e-10
"20",0.0292791310486712
"21",6.28739419115121e-05
"22",0.15790564378258
"23",4.75064432237104e-13
"24",0.028881961221228
"25",8.50445936551036e-06
"26",1.66533453693773e-15
"27",9.10715794666395e-07
"28",0.516964299277147
"29",0
"30",0.0170770743131612
"31",0.00255460398386942
"32",0.0126030048301476
"33",1.06355755136178e-06
"34",0.000147537807098974
"35",0.00249472844392729
"36",0.00691957018412204
"37",0.00120606919304522
"38",0.000163904552513583
"39",0.0221623628634321
"40",0
"41",0
"42",0.000191572505893522
"43",0.00344566564936544
"44",0
"45",0.00023299372602914
"46",0.26102142994208
"47",2.16225510052404e-07
"48",0.000370545239411046
"49",4.52462320832403e-07
"50",0.0229528347563873
"51",0.0268203672926687
"52",0.0244002917817938
"53",2.20712337295481e-13
"54",0.428537712957594
"55",1.07432507334693e-10
"56",0.000788923912291684
"57",0.00334593881402168
"58",6.87764225015819e-07
"59",1.93511873192165e-12
"60",2.6342898334919e-06
"61",0
"62",0.00255852345055818
"63",0.00138890138194148
"64",4.44089209850063e-16
"65",1.11022302462516e-16
"66",0.000127494617876756
"67",0.334974398053789
"68",0.000741037230021169
"69",1.14512093141172e-07
"70",3.64047620937669e-08
"71",0
"72",0
"73",5.37236921616113e-13
"74",0
"75",8.01656115079208e-06
"76",0
"77",1.65227831416814e-11
"78",0
"79",0.00224457412582679
"80",5.53777357303886e-10
"81",4.6859183200354e-11
"82",0.00845881599614473
"83",0
"84",0
"85",0
"86",0.0291552644268737
"87",0.0106543188673537
"88",4.16665051055087e-05
"89",8.57904500772833e-08
"90",1.9172800374001e-06
"91",0
"92",0.000161451888011199
"93",4.50059757971522e-05
"94",0.194452025755433
"95",2.51953872987265e-07
"96",0.00289005700474732
"97",3.18904602072401e-05
"98",1.06026298851702e-13
"99",0.0332151914079593
"100",0.0431831314305439
"101",0.0191722672992022
