"","x"
"1",0.0340373216360104
"2",0
"3",0.0831261103328725
"4",0.0976749009351215
"5",0.704520783388477
"6",0.0127862552174006
"7",8.01867501287745e-08
"8",0.111349272284093
"9",0.0435537308704543
"10",0.0232615018471107
"11",0.489332043451496
"12",7.16830461474638e-05
"13",0.130739172533812
"14",0
"15",1.82325265996042e-11
"16",1.74762028426478e-06
"17",0.0421246270157879
"18",2.22045132280968e-08
"19",0.0409316111434048
"20",0.000663238758042528
"21",0.431683559877757
"22",0
"23",0
"24",0.354611242577713
"25",0.0196227764729926
"26",0.00331628306606446
"27",0.146560856773974
"28",0.489692316957403
"29",0.0145041200428332
"30",0.00159126218131722
"31",0
"32",9.13003006530744e-12
"33",0.511848690538161
"34",0.0471899318441733
"35",2.97109004065987e-11
"36",5.30968826129019e-07
"37",0.334440449106292
"38",0.245612061478151
"39",0.438203198205213
"40",2.98557037647917e-06
"41",3.69936181687791e-09
"42",0.00837892667955187
"43",0
"44",0.000118267207985467
"45",0.0403826935521037
"46",1.53543844305659e-13
"47",0
"48",0
"49",0.0556385773533777
"50",3.50492445400086e-07
"51",3.74934183700049e-08
"52",0.00146743792057935
"53",0
"54",0.000333867897701179
"55",2.97718749653342e-09
"56",0.00776385809995461
"57",0
"58",5.84263415426278e-10
"59",4.43022688634276e-06
"60",1.11022302462516e-16
"61",0.343968046379199
"62",0
"63",0.000116209677912815
"64",0
"65",0.0675713163255155
"66",0
"67",3.9888371938801e-08
"68",0
"69",0
"70",0
"71",0.00119321402227235
"72",0.0144047438381777
"73",0.000657948074816783
"74",0.0115220262832253
"75",9.09775614598152e-05
"76",0.000638975460487301
"77",0.00560875758280965
"78",0.000614192238422295
"79",3.55813130838989e-05
"80",3.37734284983071e-11
"81",0
"82",1.7341806094473e-06
"83",0
"84",0
"85",1.11022302462516e-16
"86",0.42919881286351
"87",0.814880267360747
"88",0.320487827285495
"89",0.00126861211585694
"90",0.00019171610468427
"91",0.00422621826521008
"92",9.6824628315062e-09
"93",0
"94",0.0138357252189296
"95",0.0035048427775205
"96",0.533825748643368
"97",0.361885317781643
"98",4.79951891289021e-05
"99",3.13235937188239e-09
"100",1.00879759364902e-05
"101",0.35299293964031
"102",0.0296200214359289
"103",2.15922291212367e-05
"104",0.00970067303715016
"105",0.00952904811607724
"106",0
"107",0
"108",0.354698105710505
"109",7.39995842380381e-11
"110",4.26138013764898e-11
"111",2.32753472051428e-09
"112",2.05925053675671e-08
"113",0.0394922119248182
"114",8.56595527842785e-09
"115",0
"116",0.0882226723609592
"117",0.00135560549134994
"118",0.0250357388116996
"119",0.0464876686484355
"120",0.00147563426510333
"121",0
"122",0.138045445818229
"123",0.0354487922775261
"124",2.76445533131664e-14
"125",0.00271649830330489
"126",0.185849536041318
"127",0.000214591887310656
"128",0.295803053000055
"129",0.000754391051355552
"130",0.000436041759844241
"131",0.0308256229293209
"132",1.32788802176265e-09
"133",0.0421242008433359
"134",0.689409712929796
"135",8.88217906325206e-06
"136",0.000708617638915943
"137",0.00182470227400211
"138",0.00972099126168924
"139",0.567167605299061
"140",0.013582121969208
"141",1.04056390171081e-08
"142",0.00206243757521596
"143",0.00903298703112854
"144",0.350510003053561
"145",0.021206358960256
"146",0.0113973346478988
"147",1.9296079222908e-05
"148",0.126754703031897
"149",3.559323169533e-09
"150",0.00165338709535356
"151",0.199735565014164
"152",0.000115959489431328
"153",0.268895453961382
"154",0.0764842830053692
"155",0.0575676535427517
"156",3.03058745443341e-05
"157",0.241867805590103
"158",2.9958263073615e-06
"159",0.312775875991606
"160",0
"161",0.473263313734543
"162",0.106871865970863
"163",0.0419159815739619
"164",0.118031010797871
"165",0.00161099247152963
"166",0.0488397112923187
"167",0.0195816390254036
"168",0.161470356654407
"169",0.458167141557685
"170",6.71680179731293e-06
"171",0.0177683375957003
"172",0.348747211854003
"173",0
"174",0
"175",0
"176",0
"177",1.65213255298724e-08
"178",0
"179",0
"180",0.00352155651152708
"181",2.05610675291235e-05
"182",0.000323420674099406
"183",0
"184",9.61810964206222e-06
"185",0.00444693108991812
"186",0.0148133018595697
"187",1.4432899320127e-15
"188",0
"189",0.0068483660817642
"190",0.0740907405608034
"191",0
"192",0.186284570079362
"193",4.50715167755744e-05
"194",0
"195",0
"196",0
"197",2.62012633811537e-14
"198",0
"199",0
"200",0.190000703314069
"201",0.0016355737988234
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",2.70053198803133e-07
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",1.34958710873434e-12
"218",1.24043682314667e-06
"219",2.50020892877956e-10
"220",3.83529874525834e-11
"221",0
"222",3.52648029560143e-05
"223",3.67408869994534e-09
"224",1.11022302462516e-16
"225",2.90944573488883e-06
"226",6.8450800583264e-12
"227",1.16573417585641e-13
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0.0355803673880953
"234",0
"235",0.00591565890346057
"236",3.17970210772511e-06
"237",4.54205439925914e-09
"238",0
"239",0
"240",0
"241",0
"242",1.11898185606307e-07
"243",1.11022302462516e-16
"244",8.43297216501782e-07
"245",0
"246",0
"247",1.23599908086192e-10
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",3.51699780409831e-11
"260",0.0926009576772376
"261",2.22044604925031e-16
"262",0
"263",0.011562050923542
"264",7.49760842300162e-09
"265",1.83860423083049e-05
"266",0.0160363034498726
"267",0
"268",8.24886603345565e-06
"269",0
"270",0
"271",0
"272",0
"273",0
"274",6.69865674041148e-09
"275",4.63185045873615e-13
"276",0
"277",3.46056516775661e-13
"278",1.51381622792712e-08
"279",0
"280",0.0591182763253441
"281",1.05173650122303e-07
"282",0.183711448566003
"283",0.0068999066446106
"284",0.294982804157895
"285",0.0303079336811705
"286",2.61339838658614e-11
"287",1.55161517642055e-05
"288",0.211759428645644
"289",0.154161727530674
"290",2.03053270275699e-06
"291",0.766718248208095
"292",0.552159077279026
"293",0
"294",5.02931030155196e-14
"295",1.11022302462516e-16
"296",0
"297",3.16363490959759e-10
"298",0.502519955129863
"299",0.00269612146047737
"300",1.02392927470163e-09
"301",0.00010372614675036
"302",1.33551044112501e-07
"303",0
"304",1.36088396107681e-09
"305",0.155885009466314
"306",0.00738292177263866
"307",0
"308",0
"309",0
"310",0.00733972183123488
"311",0
"312",9.75886038645513e-14
"313",4.29656310529936e-14
"314",6.85985481951867e-06
"315",0
"316",0.000139480879362996
"317",2.01072489536269e-06
"318",0.0671625457097997
"319",0
"320",0
"321",0
"322",0
"323",0
"324",9.61198676208141e-10
"325",0.000172758003881834
"326",0.0517365944897988
"327",3.80373466057904e-08
"328",0.00502997255032323
"329",0.105863737430836
"330",0
"331",0
"332",8.73010452817624e-09
"333",0
"334",0.0027340345544935
"335",1.43541578623285e-09
"336",0.501465767788471
"337",0
"338",0.000601655478278507
"339",0
"340",0
"341",1.11540010561129e-09
"342",0
"343",0.0093973999462762
"344",0.088338979558641
"345",0
"346",0
"347",1.94175450329848e-06
"348",0
"349",6.4602845295525e-10
"350",0
"351",0.00339460500372812
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",1.00253139123652e-12
"361",1.0547118733939e-14
"362",0
"363",0.000646533029587837
"364",0.000217729469424999
"365",0
"366",0
"367",0
