"","x"
"1",0
"2",1.11022302462516e-15
"3",1.67044866827837e-09
"4",0
"5",0
"6",6.97709667818458e-11
"7",7.7715611723761e-16
"8",3.27324327087375e-07
"9",0
"10",0
"11",0
"12",0
"13",9.26289045466433e-11
"14",0
"15",0
"16",0
"17",0.0533687834261113
"18",0.360040211163866
"19",1.13754201835903e-07
"20",0.00149143966375831
"21",0.000238742611146758
"22",0.0706272319949584
"23",0.279278127813555
"24",0.064629450671944
"25",0.000711954177411211
"26",0.105786961552044
"27",0.0546652437816402
"28",0
"29",0
"30",1.47746064937948e-07
"31",0.0128081169482823
"32",0.0142043473357938
"33",0.0240932616674147
"34",3.70106450436891e-05
"35",0.0776166306334982
"36",0.158909763204717
"37",0.00607374608682898
"38",0.0132207473300248
"39",0.0552916913735574
"40",0.0002074857042067
"41",0.177612402892557
"42",0.0756242881250311
"43",0.212529787519961
"44",4.3268374456229e-05
"45",0.000998396078494168
"46",0.273657085893434
"47",0.330839511367137
"48",0.0919128977781545
"49",0.286595566173237
"50",0.056755048012709
"51",0.0026856484098704
"52",0.0129929074586305
"53",0.923099993433358
"54",0.0672807552863909
"55",0.0684267301696377
"56",0.171638548583485
"57",0.0693389007942691
"58",0.00364993011477288
"59",0.000260849616764314
"60",1.94088592186947e-06
"61",1.70385242581617e-08
"62",9.93787856812256e-05
"63",0.027009775980952
"64",0.244640072625861
"65",0.30460355522169
"66",0.00547881993640109
"67",0.0017500510227475
"68",0.0285787131756318
"69",0.0301294038556605
"70",0.254677793342813
"71",0.453761008129269
"72",0
"73",0
"74",0.126136683606365
"75",3.04219422636587e-05
"76",0.00638805010352073
"77",0.220703404038248
"78",0.162331301110206
"79",0.0270995475062058
"80",0.0516661889275696
"81",0.000814664482893357
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0.0916586509023104
"88",4.63179153242788e-06
"89",0.0185110211299468
"90",0.657008249610792
"91",0.00477924509958205
"92",0.00413380332314273
"93",0.267586347659947
"94",0.0158004100374696
"95",0.0152465652054173
"96",0.202664432624576
"97",0.0553387231925053
"98",0.310542973586925
"99",0.00248276961229943
"100",0.671335079076992
"101",0.00779616174528908
"102",0.291989499422655
"103",0.185259223808069
"104",0.824480339923228
"105",0.384982539442348
"106",0.30135063611442
"107",0.000240550787738103
"108",0.0227216706361196
"109",0.00283014535196946
"110",0.0108674892330853
"111",0.132963517143418
"112",0.148387201121763
"113",0.00077451898689751
"114",0.111945935532696
"115",0.460718668156627
"116",0.898570457813188
"117",0.000168436412288586
"118",0.428880347010255
"119",0.04870705044198
"120",0.00214574222210628
"121",0
"122",0.0998580358129489
"123",0.335390733880081
"124",0.331657205251293
"125",0.124814382525242
"126",0.0224395385780825
"127",0.31122317077541
"128",0.0476776674953008
"129",0.0409584174196964
"130",0.0384771917196706
"131",0.0303586275769111
"132",3.69670510328435e-05
"133",0.285071769209728
"134",0.0113370524904106
"135",0
"136",0
"137",0
"138",0
"139",0.000256445111677772
"140",0.000138358828969842
"141",2.18713935851156e-14
"142",0
"143",0
"144",4.81018924292087e-06
"145",0.0281721000850971
"146",2.53666630795069e-05
"147",0
"148",0.111599717925523
"149",0.0420822356638727
"150",4.35342559002017e-07
"151",1.11022302462516e-16
"152",0
"153",0.0747166877155316
"154",0.00546993647261018
"155",0.00498535437880443
"156",0.835037158794168
"157",0.000258865025043686
"158",3.56761287179097e-11
"159",0.000452049776218155
"160",5.35773329035649e-08
"161",0.0503997921030589
"162",0.00292194156197201
"163",8.47675040012152e-05
"164",0.0169818011943821
"165",1.2202994275512e-05
"166",0.638620590853989
"167",0
"168",0.000170570347187482
"169",0.0369562262379732
"170",0.0742418441670418
"171",0.0551190175520454
"172",0.0531561249389951
"173",0.0566935419721137
"174",0.0261967385921772
"175",7.61365204215991e-09
"176",0.00328421421580538
"177",0.00720734590528727
"178",3.29644599461609e-06
"179",0.0215866848825453
"180",0.0199018038914799
"181",0.270427379098934
"182",0.00151521089901918
"183",0.336215376482687
"184",0.124989493627221
"185",2.28969384261646e-05
"186",0.0351300107733621
"187",0.0570036786697954
"188",0.00678703992285645
"189",3.31534124597965e-07
"190",0.455439507120586
"191",0.0788044759744847
"192",0.0463990409130549
"193",0.0962073723237158
"194",0.000463471357095457
"195",0.00188645568817625
"196",0.0232782945972296
"197",0.375761624016869
"198",0.0979198612440285
"199",0.0140276262588797
"200",0.107826415388112
"201",0.593056416087119
"202",0.0609086809389612
"203",0.0252259912722346
