"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",6.18394224716212e-14
"26",0
"27",0
"28",0
"29",1.58317629006532e-08
"30",1.02855390871071e-10
"31",0.0026895124832107
"32",3.36708438908317e-12
"33",0
"34",3.5527136788005e-14
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",1.31439303885372e-12
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",1.32771123539932e-07
"53",1.11022302462516e-16
"54",0.00127858647555501
"55",0
"56",1.97852845218449e-12
"57",0
"58",0
"59",0
"60",8.35109759123043e-13
"61",0
"62",0
"63",1.27759931622951e-05
"64",0
"65",0
"66",0
"67",0
"68",3.33066907387547e-16
"69",0
"70",0.00412553260668413
"71",1.55859214423515e-10
"72",1.64284053028041e-09
"73",8.79551986798788e-12
"74",0.5844450027871
"75",3.33066907387547e-16
"76",0
"77",0
"78",1.93662910485948e-06
"79",1.43803471317483e-05
"80",0.00834236663810584
"81",0.414173490272414
"82",0
"83",1.53810010170563e-05
"84",0.999714487550245
"85",0.651652343228045
"86",8.12535816407944e-10
"87",1.3971046541883e-12
"88",0.00048480373040849
"89",1.69031535190989e-06
"90",1.08844753210491e-08
"91",0
"92",0
"93",0.5687521264472
"94",0.0010227932382082
"95",0.0031297689799078
"96",1.4432899320127e-14
"97",0.0050624218812938
"98",5.04978907894804e-05
"99",0.00132693408265239
"100",0
"101",0
"102",0.0257829630239922
"103",0.0345144061079979
"104",5.26557131230732e-10
"105",0
"106",0.0347789555494475
"107",0.814508046342545
"108",0
"109",0.0615821343230337
"110",0
"111",4.56874937964091e-05
"112",0.000151089872192922
"113",0.000192688411412623
"114",0.441785682390293
"115",0.184332419537857
"116",0.0100727877899314
"117",1.10332814997616e-05
"118",0.153491269258001
"119",0.00247484860007341
"120",0.849722137460983
"121",0.128021088196394
"122",0.00582486066876864
"123",8.59469369656196e-05
"124",0.06642750785356
"125",0.00254771453977176
"126",0
"127",2.4987384092956e-06
"128",0
"129",0
