"","x"
"1",0
"2",0
"3",0.00565161388089297
"4",1.81642593855003e-07
"5",0.000248751660508528
"6",0.499860149130072
"7",0.559116556512339
"8",0.856455468532902
"9",8.913617326467e-07
"10",3.75308156563836e-06
"11",2.88496073030942e-07
"12",2.96266344790297e-11
"13",0.0925506486689881
"14",2.37537020164602e-07
"15",0.109614037435472
"16",0.00846990568428663
"17",1.98504778470276e-06
"18",0.00134994435199454
"19",0.614926248749415
"20",0.0428139205761263
"21",0.773322649603533
"22",6.54594311690904e-05
"23",0.442287756985404
"24",2.38567043944204e-05
"25",0
"26",0.0944725879888625
"27",0.108744996022261
"28",4.91854115214352e-08
"29",0
"30",1.11022302462516e-16
"31",3.08753023148256e-13
"32",2.12628548128535e-05
"33",0.000611286898787311
"34",1.49329225117567e-05
"35",1.03028807707517e-10
"36",3.35389231631567e-06
"37",0
"38",1.67643676718399e-14
"39",7.66053886991358e-15
"40",0.170006027681103
"41",0.000120492712647913
"42",8.68194405256872e-14
"43",2.95501068059423e-10
"44",2.7750801656623e-11
"45",0.0662621139880093
"46",4.58328855479362e-06
"47",6.10311801096941e-10
"48",0.667481881715201
"49",3.33066907387547e-16
"50",0.00297508511843414
"51",0
"52",0
"53",0.0539170211574098
"54",0
"55",0
"56",0.457691734426354
"57",0
"58",0
"59",0.271201208109983
"60",0.0182266744582756
"61",7.85472771723805e-05
"62",0.0240428809060625
"63",0.506122041290202
"64",4.2226767845932e-05
"65",1.86753337683143e-07
"66",9.00027504140422e-05
"67",1.8385660061071e-07
"68",3.88578058618805e-14
"69",0.000288089974838313
"70",7.09732272952124e-12
"71",0
"72",3.74528186242173e-11
"73",6.61050448824696e-08
"74",0
"75",0.84640375970225
"76",2.48963924983636e-05
"77",7.67168550908082e-11
"78",0
"79",0
"80",4.55557480627533e-10
"81",0.174024349543631
"82",4.13158396384006e-12
"83",0.000127962292329808
"84",1.51512136170595e-12
"85",2.46227354394613e-07
"86",0
"87",3.88918155791451e-07
"88",0.000309376762294367
"89",0.247473922867883
"90",0
"91",0
"92",0.00642813991509184
"93",0.000172218820252867
"94",0.0002148807333342
"95",0.0134657909837859
"96",9.21480669546781e-10
"97",0
"98",4.39962295373242e-07
