"","x"
"1",0
"2",0
"3",0.090165732868824
"4",1.13635875181872e-05
"5",0.000589490041254526
"6",4.35372644858045e-06
"7",0.000669960134725089
"8",0.108541416005912
"9",0.00537832888377276
"10",0.00415706882946154
"11",0.0237274123123081
"12",0.00184740613074275
"13",1.40882373544926e-08
"14",0.00371310166933658
"15",0.698933397404943
"16",0.0343230887474705
"17",0.0205735665564496
"18",0.00754141023646038
"19",0.0953361870126632
"20",0.0707433570543725
"21",0.00145409256447837
"22",0.000976766733709944
"23",0.159174299247159
"24",0.0728058901632074
"25",2.84637927006059e-07
"26",0.153584322100369
"27",0.00203787578432668
"28",0.00169223767760651
"29",0.00148007142006823
"30",0.00240839950036109
"31",0.000553593087122217
"32",1.31493815835881e-10
"33",0.159107525785496
"34",0.00101309656058279
"35",0.074692834472578
"36",0.00294570036663988
"37",0.0017887697434249
"38",0.118102116216046
"39",0.12387400837759
"40",0.300751074547201
"41",0.481275540435662
"42",0.0135738046522405
"43",8.53901320863049e-05
"44",0.00389916206156671
"45",0.00133906842728415
"46",0.000925554591132083
"47",0.0116113738598322
"48",0.00299582563313505
"49",0.000799070278618808
"50",0.00479733378952352
"51",0
"52",0
"53",0.379771829932938
"54",0
"55",0
"56",0.000595250296743455
"57",0
"58",0
"59",0.00113538706959249
"60",0.121812856718723
"61",0.182491449764596
"62",0.0191159621620085
"63",0.160741539380602
"64",0.0742735864913957
"65",0.00102861335969784
"66",0.00560528495678647
"67",4.60065240681651e-07
"68",3.92236214556974e-05
"69",3.65168340010769e-10
"70",0.000721912941862524
"71",3.61530955172995e-08
"72",0.0132266569211477
"73",0.00149279974676919
"74",4.48224679594489e-10
"75",0.398545328663534
"76",0.00706463470305008
"77",0.00804978470802453
"78",1.97094270667497e-05
"79",6.44500245504664e-05
"80",0.325996023520936
"81",0.00612924425503136
"82",0.000839581433477732
"83",0.000814920379895723
"84",0.00199247785376688
"85",0.0497094774104296
"86",0.0890573197725222
"87",2.38514755335206e-05
"88",0.000634576968862044
"89",1.66646493116041e-05
"90",2.64337096655964e-09
"91",3.58602036953926e-14
"92",7.75441622425932e-05
"93",3.85663124813362e-06
"94",0.000397862266340421
"95",7.39933192495101e-09
"96",0.0610345894528546
