"","x"
"1",0
"2",0
"3",1.73235535111393e-05
"4",0.0199423795476509
"5",0.169827492751506
"6",0.0104646634020854
"7",0.539389480547452
"8",0.233907585333205
"9",0.00204256910749523
"10",0.00242364628361613
"11",0.000277453228652913
"12",5.83959813837964e-09
"13",1.18291854089847e-09
"14",2.17207839144917e-05
"15",0.232007285178629
"16",0.0312704129201282
"17",0.00398372211291886
"18",0.0631505991479058
"19",4.00602562589114e-06
"20",0.161716131316513
"21",0.000587567535683453
"22",0.154785017215053
"23",0.208725135656254
"24",0.208062220378138
"25",1.22371512145669e-07
"26",0.0162181614602289
"27",0.0771786678457473
"28",1.23529854123561e-08
"29",0.000169148475909098
"30",0.000521090753826559
"31",5.57953683255619e-12
"32",2.33146835171283e-15
"33",2.0106837619438e-05
"34",1.16936832439407e-08
"35",0.0356083602409607
"36",4.82835993409481e-13
"37",8.98947583038989e-13
"38",0.00222997539202041
"39",0
"40",0.000209579858819309
"41",0.00112243213687491
"42",4.08758716430313e-07
"43",0
"44",1.2766921964058e-09
"45",9.52912608487289e-07
"46",0.000385592466484175
"47",2.43995553761422e-08
"48",0.00911507182948845
"49",2.91451504041973e-08
"50",3.11046814404081e-05
"51",0
"52",0
"53",0.012115492403977
"54",0
"55",0
"56",0.229289552717348
"57",0
"58",0
"59",2.1227219700104e-05
"60",0.69461566906953
"61",0.0130411621216197
"62",0.0320140660568853
"63",0.377720216311271
"64",2.21227454022532e-06
"65",9.23997502733087e-07
"66",0.00457314239775641
"67",5.41019340438709e-10
"68",6.66133814775094e-16
"69",0.000187390853468083
"70",0.00282694208169165
"71",7.84927678409986e-14
"72",2.27817764653082e-13
"73",2.16326773672115e-06
"74",0
"75",0.000982910058039854
"76",2.27613627945544e-09
"77",2.18249790573388e-07
"78",1.01995489831808e-09
"79",1.15369340747407e-08
"80",1.94289029309402e-13
"81",0.00139194871552784
"82",1.30760509786665e-06
"83",5.2669234543834e-05
"84",9.7954364619568e-09
"85",7.24927151640742e-09
"86",5.88687226943385e-06
"87",3.36162209180202e-11
"88",0
"89",2.85577073100285e-09
"90",0
"91",0
"92",5.10702591327572e-15
"93",6.00961999941418e-07
"94",2.34306585356059e-07
"95",1.86592241657735e-09
