"","x"
"1",0.00415544944610236
"2",0
"3",0
"4",2.19045299454379e-07
"5",0
"6",0
"7",0
"8",5.34370103721926e-10
"9",2.26718643858703e-12
"10",1.16649764078103e-05
"11",0
"12",0.00123457627587953
"13",0
"14",0
"15",5.60218600620388e-07
"16",7.15871806278301e-13
"17",0
"18",0
"19",3.42315260826176e-06
"20",1.11022302462516e-16
"21",7.45531547607925e-09
"22",3.28652693948328e-09
"23",5.21804821573824e-15
"24",0.015340787814895
"25",0
"26",2.64377164382879e-07
"27",0.108251134975897
"28",0.000369065335270369
"29",8.64419646973147e-13
"30",0
"31",0
"32",0
"33",2.842639901246e-09
"34",2.09892471281226e-05
"35",1.45916723148787e-10
"36",0.0138704220998441
"37",0.000381834891523436
"38",2.07327774837118e-07
"39",1.04820430113506e-09
"40",0.264104713817233
"41",0.000446048437451219
"42",4.17234090588359e-06
"43",0.000495487707775411
"44",0.0103184353117329
"45",0.00447383689381031
"46",0
"47",0
"48",0
"49",1.18857644060277e-07
"50",0.0220142509693655
"51",0.0072746134401428
"52",0.25996463557074
"53",0.0225841238532646
"54",0.406762411842609
"55",0.00096522491337947
"56",0
"57",2.43366204137896e-05
"58",7.38246130893572e-11
"59",2.24265050974282e-14
"60",3.53522000562378e-09
"61",0.000281820580135705
"62",1.77852399474432e-10
"63",0.000464350954709647
"64",0.375534265423813
"65",5.3222751073001e-07
"66",0.0927196766927493
"67",0.159933573204482
"68",0.104716728888482
"69",0.0042359458030532
"70",4.88498130835069e-15
"71",2.08736999884884e-06
"72",0.0402472869847865
"73",0
"74",0.137883704975604
"75",0.385192406870037
"76",0
"77",0
"78",0
"79",0
"80",4.76285677564192e-14
"81",0.766103990501372
"82",0.0202554038720483
"83",0.0382223357754555
"84",0.000126250773267889
"85",0
"86",0.00187286001151643
"87",0.322528589745216
"88",2.1094237467878e-12
"89",0.0616801630881932
"90",0.780126119190778
"91",0.00133186162628307
"92",3.8403867863579e-09
"93",0.188528200535479
