"","x"
"1",0
"2",0
"3",4.28625217441247e-06
"4",1.59167457669529e-06
"5",2.47611708914519e-10
"6",0
"7",0
"8",0.145720785693446
"9",1.64085300902173e-10
"10",0.00334677457503196
"11",3.98287103298145e-09
"12",0.0215306133793415
"13",5.75428593663219e-13
"14",0
"15",5.26059242622612e-06
"16",1.06896258028621e-05
"17",0
"18",0
"19",9.70329372407264e-11
"20",1.02396535694993e-10
"21",2.24605951615331e-08
"22",8.11014016044442e-06
"23",0
"24",7.76029115590049e-06
"25",0
"26",0.0128568948952196
"27",5.32846884393479e-08
"28",7.69418270207822e-08
"29",0
"30",0
"31",5.99520433297585e-15
"32",0.00948211505895158
"33",0
"34",0
"35",0
"36",0.258542293315021
"37",0.00533791701013664
"38",1.58323625831791e-05
"39",0.0296790126678322
"40",0.0276331080397396
"41",0
"42",0
"43",0.910102190193159
"44",0.00172605026622186
"45",0.00073205607620741
"46",0
"47",0
"48",0
"49",0
"50",8.16879756615485e-07
"51",0.000396500648362053
"52",6.49059073259961e-05
"53",1.0467906974565e-07
"54",0.051288675674646
"55",0.00472190872708322
"56",0
"57",1.56963331221505e-12
"58",4.88700180989454e-07
"59",0
"60",0.169418073910553
"61",0.884281007895554
"62",0.000166604354819855
"63",0.000512379485173353
"64",0.127414486611921
"65",0.000283651833803189
"66",0.0160973888953487
"67",0.0200932396326677
"68",0.000127395451076318
"69",7.69547359169565e-09
"70",2.66398014758806e-12
"71",0
"72",0
"73",1.50511858532099e-09
"74",0.152914678646178
"75",0.017922320732888
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0.0675954454764029
"82",0.050323667861915
"83",0.00157287731078448
"84",0.0391075331722326
"85",0
"86",0.0314641112870823
"87",0.00291777214229016
"88",0.000218320470690481
"89",0.0020353344589078
"90",0.0104240948867995
"91",1.47764306523968e-06
"92",0.00165903468371853
"93",0.011239256586293
"94",0.00155804931947157
"95",0.151236883377505
"96",7.62644826934888e-06
"97",0.000127409041189575
"98",4.52364307601538e-06
"99",0.00168991044436906
"100",0.131930218319044
"101",6.70259441148957e-06
"102",0.0669652281584818
"103",0.0560869604854163
"104",9.29926001161929e-05
"105",0.0311734182412019
"106",0.0202396469319557
