"","x"
"1",0
"2",0
"3",0
"4",2.33102426250298e-12
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",5.37903055430888e-13
"15",4.73794969924057e-08
"16",0
"17",0
"18",0
"19",7.09987624247788e-13
"20",7.47636802467255e-08
"21",1.87853999022991e-09
"22",0.0271350349675048
"23",0
"24",0
"25",0.000266260384997996
"26",0.00854690967756877
"27",0.120719405977555
"28",0.0638900292373605
"29",0.0599078490035753
"30",0.000643006034789173
"31",2.82038324583844e-07
"32",6.87722257708412e-06
"33",0.58875199546241
"34",0
"35",0
"36",1.49622801118854e-05
"37",0.000424074081574188
"38",1.23692857657565e-05
"39",0.0682238626231231
"40",2.01188944847219e-05
"41",0.0275455366971016
"42",1.95451320683659e-08
"43",0
"44",0
"45",0.0250164450407745
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0.0235764266228392
"55",0.0450700748897483
"56",0.0409890687338467
"57",1.12083499622662e-05
"58",0.00154329462518565
"59",4.09938438750146e-09
"60",0
"61",0.00024817556512291
"62",6.50853877459667e-07
"63",2.32347474593553e-12
"64",0.0066645874830884
"65",0
"66",0.00593535335974149
"67",0.0728044945503407
"68",0.719449920779465
"69",0.00560364954752135
"70",0.385141225434178
"71",0.102123123544312
"72",0.395245435126897
"73",0.360926030098665
"74",1.0547118733939e-13
"75",0
"76",0.00019309263651035
"77",0.000261760436502723
"78",0.000209362952590775
"79",0.446135719814384
"80",0.000300492190969948
"81",2.55351295663786e-15
"82",0
"83",0
"84",0.0772557964745372
"85",0.0149341780191774
"86",0.20281013472607
"87",0.0676875614564556
"88",2.46274167259308e-05
"89",0.0329037419429623
"90",7.46991142719367e-07
"91",0.000705475993834193
"92",0.00272359123468591
"93",5.95237004774596e-05
"94",0.01242682946415
"95",0.00650871542001985
"96",0.000731146420761775
"97",0.195273955748602
"98",0.00480309696579262
"99",0.297060458416848
"100",0.0576985276638217
"101",0.762550926476215
"102",0.0231754955867549
"103",0.0281760600327458
"104",0.0564079201983636
"105",0
"106",0.00933721793478826
"107",0.356680221423587
"108",0.0232308744163917
"109",0.0813379103047155
"110",0.000274960668568136
"111",0
"112",0.0159670852000067
