"","x"
"1",0.0835943525939218
"2",0.00444224083974176
"3",0
"4",1.74831236310347e-06
"5",0
"6",0.00149068608880432
"7",6.50746012631487e-10
"8",0
"9",3.17933532834047e-08
"10",0.671476218104222
"11",0.0584129863864735
"12",7.37077066048641e-13
"13",5.55588908213167e-12
"14",0
"15",6.8713146283983e-11
"16",0.0016572499940295
"17",6.17693060034341e-08
"18",0.000120078731513096
"19",0
"20",0.305788013827308
"21",3.66100104232103e-07
"22",0.031691663816906
"23",0.00100223024867752
"24",0.0110012159691791
"25",0.00640922714489767
"26",0.0118675884747482
"27",0.00790463740726854
"28",0.00659597078205043
"29",0.00297415675403634
"30",0
"31",0
"32",0
"33",2.62012633811537e-14
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0.525019779735902
"42",0.424326022947161
"43",3.74811293113453e-13
"44",0
"45",0
"46",0
"47",0.019080496108773
"48",0.26028372510326
"49",0.787898325592912
"50",1.12553771620671e-05
"51",0.0121412886284412
"52",0
"53",0.000490321433222363
"54",0
"55",5.50881671541603e-05
"56",0
"57",0
"58",0
"59",0.000770615092016258
"60",0
"61",2.18481899239009e-11
"62",0.139267526720415
"63",0.24161197526863
"64",0
"65",0
"66",0.0931971976434482
"67",9.49391043558734e-08
"68",0.000665118667406595
"69",0.00526789805057115
"70",0.0163031147630783
"71",0.0564730547229558
"72",0.0311924557987754
"73",0.00921631878582341
"74",0.00134951752966428
"75",4.27634743171978e-08
"76",3.02927588125002e-07
"77",0.45662073581868
"78",0.00120133553428015
"79",0.000400713251891505
"80",0.0519140957367247
"81",0.195015791392581
"82",0.757238721324692
"83",0.00546781832969856
"84",0
"85",0.00783417406305831
"86",1.65173777554317e-05
"87",0.00461510408502097
"88",0
"89",0.520439175512054
"90",0.150747588007911
"91",0
"92",0.00351690840494967
"93",5.21471754666436e-13
"94",0.431113700062957
"95",0
"96",0
"97",0
"98",0
"99",1.80470159039103e-07
"100",0.0105486098940294
"101",0
"102",3.10862446895044e-15
"103",0.00278368606131374
"104",2.13919994465073e-05
"105",0.00236975241518023
"106",1.63453976819161e-05
"107",1.67744168333428e-07
"108",0.0133081243852613
"109",0.0905875542003853
"110",0
"111",0
"112",1.65303279865414e-05
"113",0.0170966376180967
"114",7.84757091742971e-05
"115",2.39290553927241e-07
"116",3.19225475862162e-05
"117",1.07940458108358e-05
"118",8.24680224109642e-09
"119",0
"120",0
"121",3.21109805412334e-12
"122",0
"123",4.3677791117247e-07
"124",3.47288916713318e-06
"125",4.97243390906732e-09
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0.00641003648068594
"132",0
"133",0.14161785371377
"134",0.0470732508410511
"135",6.23945339839338e-14
"136",0.00117384546651944
"137",0
"138",0
"139",0.000930677822770787
"140",0
"141",0
"142",0
"143",0
"144",0.000390697696909359
"145",0.0398321492377076
"146",4.46727839453764e-06
"147",5.21714793588757e-09
"148",0
"149",1.03952997820844e-06
"150",1.37667655053519e-14
"151",0
"152",0.00243870506626931
"153",4.3674341920763e-10
"154",0.0456277493543695
"155",0.0699315714090124
"156",0
"157",0
"158",0.000557806242563963
"159",0
"160",2.96681346156902e-10
"161",0
"162",1.58476420140108e-05
"163",1.88027169377714e-05
"164",1.11022302462516e-16
"165",0.0234500131422596
"166",2.54153249825695e-05
"167",2.07728390044792e-10
"168",0
"169",0
"170",0
"171",0.00748064765948075
"172",0.062725829010807
"173",0
"174",0
"175",0
"176",1.4432899320127e-15
"177",2.75742095823261e-09
"178",3.89099863440379e-12
"179",1.53650085027435e-05
"180",0.00476882334109729
"181",1.25900401215517e-11
"182",3.63129748492952e-10
"183",0.00235017645622138
"184",0.000384033786499982
"185",5.232196165883e-06
"186",5.6835395279009e-09
"187",7.288060134647e-05
"188",0.00049765039822669
"189",0.137119156794167
"190",0.00311190868251809
"191",0
"192",1.01573421729118e-06
"193",0.152631802997044
"194",0.0853761828478748
"195",0.00305169600921595
"196",0.324466944843649
"197",1.99540517442642e-09
"198",2.48689957516035e-14
"199",1.62132529624159e-11
"200",1.11022302462516e-16
"201",0
"202",1.20131571357263e-10
"203",8.53165352472374e-05
"204",0.258476631809349
"205",0.00717527429908249
"206",0.000143971666012543
"207",0.0631191793783052
"208",0.000205396828059423
"209",4.34206337551757e-10
"210",0.000944783454999043
"211",0.0238449902646181
"212",0.0016171710647449
"213",8.35402232803872e-05
"214",1.14659837180398e-10
"215",0.00906762467839606
"216",5.96963139565254e-06
"217",0.00119807359544988
"218",7.38421038093406e-07
"219",0.00111847247570718
"220",0.000284922707479152
"221",0.00610669425449917
"222",0.000259866142869214
"223",0.0239118163984959
"224",0
"225",0.825234702378188
"226",0.00100494951280683
"227",2.2804669264076e-08
"228",1.11022302462516e-15
"229",0
"230",3.63171920314542e-08
"231",0.0040706292399828
"232",0.00763278419152702
"233",0.000691060581915148
"234",1.05562348529098e-07
"235",4.44089209850063e-16
"236",0.0525246753427308
"237",0.000283215934253067
"238",1.33618005548897e-10
"239",0.0521232326692658
"240",2.52983189952261e-09
"241",0
"242",0.763423436645647
"243",0.000123399323067708
"244",0.00395705983295092
"245",0
"246",0.00318359114298228
"247",3.90295184613532e-05
"248",6.20673008644435e-06
"249",1.60782498426215e-12
"250",4.80464878993558e-09
"251",3.78047612792365e-06
"252",0
"253",3.25236151343944e-08
"254",0.287150343204236
"255",0.165696875227249
"256",0
"257",3.60817598021868e-10
"258",0.0138092386107485
"259",4.98260922188187e-07
"260",0.0161083901631012
"261",0.00407776953705075
"262",0
"263",0
"264",0
"265",0
"266",0
"267",1.11022302462516e-16
"268",5.71674085192431e-06
"269",0.187449966063437
"270",0.000399589013897028
"271",0
"272",0.437277455100774
"273",2.36263215666055e-05
"274",1.31387123403215e-11
"275",0
"276",1.10902509398159e-10
"277",0
"278",3.3150304723506e-10
"279",2.26669460978712e-07
"280",1.33226762955019e-15
"281",1.11022302462516e-16
"282",1.78779213655389e-12
"283",4.6074255521944e-14
"284",0.396892693948233
"285",2.80209678832355e-05
"286",0.00284193354037598
"287",0.0697435393466126
"288",0.0071229212153967
"289",1.96155368514805e-05
"290",0.000118653094540733
"291",0.00164107487917042
"292",1.49772894086908e-09
"293",0.00292308723197299
"294",8.74029973217949e-05
"295",0.000502597116790682
"296",0.000579864394407381
"297",0.0026750474738737
"298",0.000459227932905981
"299",0.0323476806883616
"300",0.000295694740736208
"301",7.74413866366785e-12
"302",0.1992348674887
"303",0
"304",0
"305",0
"306",7.594057604976e-10
"307",0.000399072630376862
"308",0
"309",0
"310",0.0157734923435445
"311",0.000308573448416949
"312",3.18034412688517e-05
"313",0.14025866863867
"314",0.00538503633661958
"315",0.00383742178928292
"316",1.88058013605996e-10
"317",0.000807182516508242
"318",0
"319",0.00121024943606729
"320",0.00337558509545843
"321",5.45196699813788e-05
"322",9.82769421398189e-13
"323",0.0109660063660717
"324",5.03960359564681e-05
"325",0.00348707620901256
"326",1.11022302462516e-16
"327",0.00104057061110252
"328",0.0244378725514764
"329",3.09496872574755e-12
"330",0.0604180115823626
"331",1.25455201782643e-14
"332",4.70118590321089e-05
"333",0.0527653337878209
"334",0
"335",0.138219050653619
"336",0.000466496684086604
"337",0.0186841889440845
"338",0.000174729431320797
"339",1.71424105835927e-05
"340",0.0127287246329688
"341",0.286950641630516
"342",5.52694342625948e-07
"343",0.0299958668396618
"344",0
"345",0
"346",0
"347",0.00484292648528983
"348",0
"349",0
"350",1.37393206811609e-08
"351",1.15059017868901e-09
"352",3.8986591732737e-12
"353",6.5103020752133e-09
"354",3.73185409241472e-08
"355",0.0112333717443089
"356",2.26638385836253e-08
"357",0
"358",8.34638026780965e-06
"359",0
"360",0.000111926912705229
"361",6.09227568393322e-09
"362",0
"363",0
"364",0.000344980921574312
"365",7.7715611723761e-16
"366",1.29140396436522e-05
"367",3.73189146252173e-10
"368",0.000114589281536404
"369",0.0256685341576237
"370",3.11683567844057e-10
"371",0.000367177660007267
"372",1.66496244990988e-06
"373",0.018514016077911
"374",0.118580460846866
"375",1.9475189194651e-06
"376",1.12839737553827e-11
"377",1.66311409088848e-13
"378",6.04681194005252e-10
"379",6.71751574365942e-08
"380",0
"381",6.0504583565546e-09
"382",0.061218133422539
"383",0.0747851836878277
"384",0
"385",0.0323909493207805
"386",0.0403376521539603
"387",0
"388",2.19154166036795e-07
"389",1.50237178830892e-06
"390",1.19554781630171e-08
"391",0.00409928954733874
"392",0.00102868343342
"393",0.0091947093670085
"394",1.36161591224315e-07
"395",0
"396",0.0879248785372784
"397",0.00463825607003854
"398",8.43037898345944e-06
"399",0
"400",7.97888651704604e-07
"401",1.41171863088374e-09
"402",1.54321000422897e-14
"403",5.53015966353598e-10
"404",0.139557333033766
"405",0.442982850786623
"406",0
"407",0
"408",2.45929691078395e-06
"409",1.4432899320127e-15
"410",0
"411",0.05739069289007
"412",0.00148743768775839
"413",0.013742807424209
"414",0.837385538880557
"415",0
"416",0.117219441407004
"417",0.0151941543669698
"418",4.83935003181557e-09
"419",0
"420",0.598765628682837
"421",1.41433538658475e-07
"422",2.33768338020468e-10
"423",0.00931848476561248
"424",0.0113266856304198
"425",0
"426",0.0347626291570708
"427",0.00010979110284659
"428",0.0197196372389704
"429",0.0857511951476129
"430",0.0420449761245739
"431",3.13438427793633e-05
"432",0.000573033811652079
"433",0
"434",8.30577242206809e-05
"435",0.00564828868393852
"436",4.27435864480685e-14
"437",0.00311798560426213
"438",0.019144871336262
"439",2.0144891852425e-06
"440",0
"441",0
"442",6.26860600094759e-07
"443",6.3269422978518e-07
"444",0
"445",0.00995025178977926
"446",0.00162547311259598
"447",0
"448",0.0191254183407504
"449",0.0101193928634301
"450",0.0247283355268673
"451",0.0111449064438863
"452",3.43116646206454e-11
"453",0.0282394206994007
"454",0.0182594863198895
"455",9.5590202420226e-14
"456",3.0645098458848e-08
"457",0.0312036321048285
"458",0.000291141903539405
"459",0.249509981023401
"460",0.000120776279873058
"461",0
"462",0.738187296901445
"463",0.00432470175197297
"464",0.23213856240462
"465",5.95087989263554e-06
"466",0.000107613560887621
"467",0.0311190171089828
"468",0.000273122811976223
"469",0.0302294099618657
"470",0.00536537551280092
"471",0.00314696370330059
"472",0.0069318926814832
"473",0.0015576233261293
"474",0.0084323562787918
"475",0.000196515941323305
"476",0.0206757074784502
"477",0.0270154344244259
"478",0.0543443602833641
"479",0.0099826601523213
"480",5.13226268594735e-07
"481",0.210154407361313
"482",0.010604234993276
"483",0.000385341251847748
"484",1.45557160868837e-06
"485",0.00246750638977455
"486",0.000690037128698084
"487",0.000890596926877207
"488",0.422299596356943
"489",0.000134581780968146
"490",0.0116627645016252
"491",0.15532817858254
"492",0.012591000488142
"493",3.33066907387547e-16
"494",1.76942336838071e-06
"495",0.0474088622508838
"496",0.611452657435797
"497",0.000194057502653777
"498",0.000141570913093525
"499",0.694087305361834
"500",0.0201152083886939
"501",0
"502",0.000229283415588144
"503",0.00143645982158014
"504",0.000304994770005673
"505",1.4432899320127e-14
"506",0.159136458244947
"507",0.0716254663928199
"508",0.00243224361039707
"509",0.00487807580537025
"510",0.0149957630290598
"511",0.0210289377330288
"512",0.101740876191714
"513",0.0634051141864894
"514",0.173977523801921
"515",0.0177516077205769
"516",0.232218635900698
"517",0.00251784085376416
"518",0.272476059487308
"519",0.0906163389657081
"520",0.47449625493708
"521",0.0138545044511836
"522",0.00148631387621101
"523",0.618080827111552
"524",0.45466538505102
"525",4.7265757974202e-10
"526",0.018439812927019
"527",0.393256319567431
"528",1.11799458579753e-12
"529",0.00187514578019732
"530",0.0066164470727581
"531",0.261637395604097
"532",0.104842923798576
"533",0.194792937661979
"534",0.0025753459092569
"535",0.00227848256629493
"536",0.0055641029321245
"537",0.553951915156531
"538",1.18571819029967e-12
"539",1.99945416021752e-05
"540",0
"541",0.0349563790515826
"542",1.61198240200555e-07
"543",0.00153111263238725
"544",0.00943681912005645
"545",0.00563848948162682
"546",9.67337321355899e-13
"547",0
"548",8.76477779243601e-11
"549",1.37667655053519e-13
"550",0.00033603584661912
"551",0
"552",9.95494797706442e-11
"553",5.33340265799209e-05
"554",0.000399801339826977
"555",0.171883910736672
"556",0.00166336360660235
"557",0
"558",6.00270741596409e-05
"559",0.0088784649599124
"560",0.00123810718979012
"561",0.000206376463650848
"562",0
"563",1.44295686510532e-12
"564",0.0880035872341907
"565",2.22833947516321e-07
"566",0.0249006661224658
"567",0.336620528652992
"568",1.36074257498509e-05
"569",0
"570",0.811793973020118
"571",2.99760216648792e-15
"572",9.5276662764654e-05
"573",0.020454891828072
"574",4.19606571711029e-11
"575",5.78337311374355e-07
"576",0.00263851571515039
"577",0.06994011587372
"578",0.00803978699453867
"579",0.360001374992227
"580",0.815976289381599
"581",0.00232397618797775
"582",3.7916607729116e-06
"583",0.557444474121074
"584",0
"585",3.33066907387547e-16
"586",0.0189251706279032
"587",0.00454971484613154
"588",0.108272785928114
"589",0.000681743092600606
"590",0.0183854762718282
"591",3.55874218982422e-11
"592",0.00275152783635224
"593",3.33486896308965e-06
"594",0.680565196800985
"595",0.0243528149676968
"596",0.000321810134085609
