"","x"
"1",0.00479500748977557
"2",0.00661412902561487
"3",0
"4",2.38973618844618e-05
"5",0
"6",0.0264295705126105
"7",1.08293645295632e-06
"8",0.21911590498778
"9",3.28081927158941e-06
"10",0.104742925583326
"11",0.0130366468831076
"12",0
"13",4.32682778495064e-11
"14",1.18146159522325e-10
"15",1.19926180097707e-10
"16",3.10826586691348e-10
"17",5.90609783301943e-11
"18",7.28295590501915e-08
"19",0
"20",0.000723511616606776
"21",3.22560556043072e-09
"22",0.0477840435486846
"23",5.25949190866015e-07
"24",0.00137575004915869
"25",0.0196399617823799
"26",2.42692705043623e-07
"27",0.00250910829522699
"28",4.32973451647278e-07
"29",5.22274206836704e-05
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0.000293088449684675
"42",0.00372557073955249
"43",2.65879945452463e-05
"44",0
"45",0
"46",0
"47",0.0075700161921135
"48",0.0157688722992736
"49",0.00192223198993535
"50",8.02894422217149e-05
"51",0.000143956793789646
"52",0
"53",2.98551964117433e-06
"54",3.83174729516877e-05
"55",9.84006521820291e-08
"56",1.34532385231978e-11
"57",0
"58",0
"59",0.000343576775705845
"60",0
"61",2.14759765526651e-10
"62",0.00899171049097713
"63",9.60102631936133e-05
"64",0
"65",1.66533453693773e-15
"66",0.139961321681772
"67",0.000603439184672983
"68",0.0307138959847532
"69",2.87634123422587e-05
"70",0.0161680912523117
"71",0.00200918749621415
"72",2.55300346896359e-06
"73",0.000311724455632323
"74",6.51456673294026e-05
"75",0.00591217312076897
"76",1.54872072631873e-05
"77",0.000298368052700893
"78",0.000747201358107796
"79",0.00162974372808955
"80",5.10255317998087e-08
"81",0.0186822542098963
"82",0.00162380352810665
"83",1.29466232179354e-08
"84",0
"85",4.28252544870666e-07
"86",0.765038606097552
"87",0.0050077600704802
"88",0
"89",5.13281385249309e-05
"90",0.000736319573208077
"91",0
"92",9.31993075492521e-07
"93",0.00217483555668474
"94",0.00468841655077779
"95",5.35127497869325e-14
"96",3.88022947106492e-13
"97",0
"98",0
"99",1.0569607631683e-05
"100",6.76338559932876e-05
"101",0.147456203296045
"102",0.000201307162794873
"103",0.00485550885726327
"104",3.43453890450096e-06
"105",3.82194690207172e-06
"106",0.0174118231352202
"107",0.000448987852718741
"108",0.102956532794627
"109",1.51373967294255e-06
"110",0
"111",7.41262606851478e-12
"112",4.48673774433583e-06
"113",5.84653743196384e-08
"114",2.63928495725096e-08
"115",0.050709343529768
"116",1.75510717070892e-11
"117",0.00371865499165036
"118",0.279901101096925
"119",0
"120",0
"121",0.000124399323153446
"122",0
"123",5.59444155445732e-08
"124",4.08513683303191e-06
"125",0.0286407286343426
"126",0
"127",1.80076910938354e-07
"128",0
"129",0
"130",1.41695288835564e-09
"131",0.325196800794968
"132",5.88088688857624e-10
"133",0.283390690180768
"134",0.000454344659371775
"135",0.00715504350011542
"136",0.0109361902303275
"137",0
"138",4.44089209850063e-16
"139",0.079894930355754
"140",1.11022302462516e-16
"141",0
"142",0
"143",2.14027850997667e-09
"144",0.000756587790714858
"145",0.299171314719013
"146",0.0146984153968638
"147",0.017449427087502
"148",9.24510601407746e-09
"149",0.000224681143735417
"150",0.0081988854670979
"151",1.0841052945354e-06
"152",0
"153",0
"154",0.00527643155458657
"155",0.0929717597839729
"156",1.284585728345e-06
"157",4.1225689528801e-11
"158",0.0324355787474823
"159",0.0239197234362235
"160",0.893252686507656
"161",0.368504630305642
"162",7.12772743486356e-05
"163",0.242555698234711
"164",0.0021888260668298
"165",1.45052870605955e-05
"166",9.10572839352142e-10
"167",0.0417586661591842
"168",0.036907636853676
"169",9.52666295517268e-07
"170",0.000752299072368401
"171",0.0274170568793504
"172",0.0328737033366169
"173",2.00706537389905e-07
"174",3.76365605347928e-13
"175",8.81149353775257e-05
"176",8.37108160567368e-14
"177",0
"178",0
"179",6.63597865546706e-09
"180",0
"181",0.0249393274340456
"182",0.00342158004284543
"183",0.000309959997031428
"184",0.185508672601223
"185",3.8359553500289e-07
"186",0
"187",1.58117963167115e-12
"188",0.0203756730425284
"189",0.0247835099113755
"190",1.08708006485436e-06
"191",0
"192",0.347986807784418
"193",0.000397613439767297
"194",0.0236660991117833
"195",0.00149477002774911
"196",0.0006100501819577
"197",0.00538508600794407
"198",0.0505653102730004
"199",0.000214809645041614
"200",1.64361579901851e-09
"201",0
"202",2.53019827312073e-13
"203",0.100399442525371
"204",0
"205",0.000119230338603726
"206",9.58680145601853e-07
"207",0.00026771857913499
"208",0.00121634623085243
"209",1.89616100598755e-11
"210",5.63750712778699e-10
"211",0.000765294595609811
"212",0.170785610956304
"213",0.000113500481919937
"214",0.379449698547748
"215",0.0675370326204859
"216",8.15890171956823e-06
"217",1.34783545538975e-05
"218",0.200188962250305
"219",0.200300555278722
"220",0.00204818470111789
"221",0.0248570879192109
"222",0.338071305721551
"223",0.0785396970825436
"224",0
"225",2.22044604925031e-16
"226",0.0382890033396819
"227",0.000900235848253383
"228",0
"229",1.31006316905768e-14
"230",0.00149363338599084
"231",0.00930061145384209
"232",0.670624542100764
"233",0.102369961917563
"234",9.38471522715645e-13
"235",0.00404816725953716
"236",0.232409524379345
"237",0.00260207149396885
"238",0
