"","x"
"1",0
"2",7.71271591037959e-09
"3",0
"4",0
"5",2.36548114429525e-10
"6",1.49826373530004e-10
"7",0.00238620921344301
"8",0.090216862841173
"9",0.210402537877251
"10",0.306131015488168
"11",0.0316375203435849
"12",0
"13",0.000414153763097058
"14",0.0508630103767693
"15",0
"16",0
"17",0
"18",8.70414851306123e-14
"19",0.0204924671436132
"20",0.715202788315599
"21",0.0574381349133104
"22",0.114364699706877
"23",0.181214712095095
"24",0
"25",0.68048382294069
"26",0.409810626503157
"27",0.000117292416654036
"28",0.103106096116123
"29",0.014025233090278
"30",0.0306751535603954
"31",0
"32",0.000292733948666135
"33",2.01996663296011e-06
"34",1.49018854922467e-07
"35",4.57771215703895e-05
"36",0.0025235790315371
"37",0.0328582960197719
"38",0.408927793503119
"39",0.0575899290309894
"40",4.34541624905194e-10
"41",3.30635099010657e-06
"42",0.000229601628527809
"43",0.00824217273526784
"44",1.49189412147477e-05
"45",0.014030940543058
"46",0.00165554461389084
"47",0.00418561755279012
"48",0.0106469144079722
"49",0.17926139594938
"50",0.0561853367161804
"51",0.00428937082134007
"52",2.95585778076202e-12
"53",8.11000590017485e-08
"54",0.000137630997115723
"55",0.672374341941879
"56",3.72441210130248e-05
"57",0.0364903248758791
"58",0.080662829481186
"59",0.0705097884135313
"60",0.00104445925499519
"61",0.000654626589307705
"62",0.0471200018297904
"63",0.0168718102641584
"64",0.147086065321639
"65",1.56190218647545e-07
"66",6.47997627511998e-06
"67",0.00927385867254782
"68",7.29250898656719e-06
"69",0.188568992750205
"70",0.0214105493090041
"71",0.000659254581952928
"72",0.260924283208617
"73",0.464516166385322
"74",0.323565502056474
"75",0.283807059381599
"76",0.000289864623240654
"77",0.00256724039367817
"78",0.103539422930299
"79",0.493821210027011
"80",0.763363109982885
"81",0.000306482801965768
"82",0.00607529416894037
"83",0.000461839132812614
"84",1.51279877513844e-10
"85",9.89589673539015e-08
"86",2.47101306083408e-09
"87",0.0520409325211365
"88",0.0884470132953601
"89",0.00510991333109079
"90",1.86824470460589e-06
"91",0.0424000887505793
"92",0.11233002542138
"93",0.164084935681551
"94",0.0396404212036815
"95",0.0134341758544392
"96",0.0113032904289366
"97",0.0310203634705425
"98",0.197815712747114
"99",0.0784525891513854
"100",5.97857611395192e-06
"101",0.0287515767445714
"102",0.000853705113015413
"103",0.000109665641744194
"104",0.282186008781914
"105",0.00102860143895933
"106",0.239176581453365
"107",4.14997708607645e-05
"108",0.00197100143643281
"109",0.0249401245873169
"110",0.0638212412036573
"111",0.0404919178470707
"112",3.59203470492453e-05
"113",2.50555904094396e-05
"114",7.47161721381673e-09
"115",0.000558171382918582
"116",0.0237469626585999
"117",0.212968158604723
"118",0.000219449704053964
"119",0.00142409179216396
"120",0.000902978646436514
"121",0.0482516904487265
"122",0.00418172125847815
"123",0.00284984584106363
"124",1.18914864233322e-06
"125",0.280722368205507
"126",2.58335309444302e-06
"127",0.000936386294477454
"128",0.000849785515588564
"129",1.58837664132605e-08
"130",0.00158724090617302
"131",0.00046728872065871
"132",0.0431041537797541
"133",0.0530626044352913
"134",0.0636421468321741
"135",0.798599056367114
"136",8.17916841588939e-06
"137",0.00235229634480105
"138",0.0848972902839022
"139",0.00847340657483309
"140",0.363976604522142
"141",0.00158539137918723
"142",0.000331594941365809
"143",0.639837230707216
"144",2.30661822975264e-10
"145",9.57303369908402e-09
"146",1.63153934806815e-11
"147",4.90232432426296e-09
"148",0.61605977698704
"149",0.518269604679863
"150",0.0381309221523125
"151",2.61218563879506e-05
"152",1.87146365626667e-07
"153",0.958337526329609
"154",0.00137564108065558
"155",0.0284916295181189
"156",0
"157",0.0406924858724234
"158",0.0361345028997542
"159",0.0803585357185783
"160",0.00605498633465162
"161",0.0189840176609961
"162",0.0131100780561857
"163",0.00108577278931754
"164",0.193747841172548
"165",0.00279485312998828
"166",3.36145494772566e-08
"167",4.12240241942641e-11
"168",0.0028023666626138
"169",0.299855000925673
"170",0.297869975682316
"171",0.440659903047279
"172",0.939801188383515
"173",7.49799454180522e-06
"174",0.143209797243346
"175",0.37254725809275
"176",0
"177",0.00332605682402842
"178",0.00675602541848408
"179",0.0315410768016059
"180",0.357673880545019
"181",0.00677654487270873
"182",0.0342002411126431
"183",0.0123715801264851
"184",0.199605243664937
"185",0.400537205068327
"186",0.112515090731019
"187",0.0569217107473888
"188",0.35148594344441
"189",0.00319890990608629
"190",0.00132771853082481
"191",0.000632583817065879
"192",5.74362779559578e-12
"193",0.493414627994364
"194",0
"195",0
"196",8.43659772084004e-05
"197",0.0158414527988996
"198",0.0162054334176618
"199",0.00733946346891812
"200",0.275513863672212
"201",0.0201551891445524
"202",0.384042427534688
"203",0.182643104457348
"204",0.00712901018960588
"205",0.0166259161389684
"206",0.00223240902952859
"207",0.00608471273949451
"208",0.151949016480858
"209",0.000481836751528464
"210",0.184899839683427
"211",0.226269287472815
"212",0.202462112618832
"213",0.902645589044506
"214",0.00109857902371946
"215",0.0311086770898453
"216",0.0439673835544181
"217",0.782808464539062
"218",0.0311790053312636
"219",0.0479765923006169
"220",0.346388592365653
"221",0.236359486636234
"222",0.000310920391966674
"223",0.325805381318187
"224",0.332604000526003
"225",0.278075603975909
"226",0.0405482994315653
"227",0.201090852747697
"228",0.130258470335829
"229",0.482756975941653
"230",0.282973081173192
"231",0.652403677584598
"232",0.0464149700338813
"233",0.331069503560021
"234",0.271020424871102
"235",0.0969126668039388
"236",0.492392277044692
"237",0.0199425084889636
"238",0.0115519500341222
"239",0.000369017492703017
"240",0.0327134581485895
"241",0.036703526342027
"242",0.132886793433414
"243",0.497149243754124
"244",0.0177066347228324
"245",0.117765418212922
"246",0.400176187459111
"247",0.358094064816589
"248",0.0905828223066406
"249",0.356617854661873
"250",0.459753673287024
"251",0.0524303004450981
"252",0.0410474076043846
"253",0.00110011643558616
"254",0.130008620184242
"255",0.0577563531319379
"256",0.323806311775921
"257",0.00800756933020619
"258",0.0617459550171989
"259",0.00212196370226014
"260",0
"261",0.0206694748986621
"262",0.00416158293663571
"263",0.0232514313066575
"264",0.131046134626084
"265",0.109507338412028
"266",0.0899874771549666
"267",0.00670555241022375
"268",0.0924364533269806
"269",0.12059993753677
"270",0.42673279122174
"271",0.893543605971549
"272",0.00475004728769324
"273",0.0173732983227632
"274",0.00192995619336223
"275",0.34602107549218
"276",0.176903911759166
"277",0.000393224527564184
"278",0.0159948469382234
"279",0.137332681656838
"280",0.000538296149595996
"281",0.022838798914684
"282",0.020839211380285
"283",0.00826433750769651
"284",0.00127410427414876
"285",8.48393876053954e-05
"286",0.256895769971803
"287",0.00422883856263279
"288",0.00317861846208978
"289",0.0112112812252028
"290",0.254758313407062
"291",0.299677553117876
"292",0.00721629873062102
"293",0.000723873195054181
"294",0.45120033208857
"295",0.00191876743523367
"296",0.00409805915236927
"297",0.000376287531738462
"298",0.028595083933818
"299",0.022832928343741
"300",0.217822200114354
"301",0.184843425898508
"302",0.158591937817937
"303",0.113955274441679
"304",7.86756995996285e-07
"305",0.0241482521793587
"306",0.0328161977124931
"307",0.882161312083818
"308",0.17657915740597
"309",0.11640480240517
"310",0.00736795930304979
"311",0.000222615374282586
"312",0.000179980871829688
"313",0.668306812798317
"314",0.0020983697788457
"315",0.00191932184323951
"316",2.0188150634759e-05
"317",0.111691472690222
"318",0.00149628400667501
"319",0.901972281708096
"320",0.561185626601195
"321",0.000464441526817017
"322",0.0901549441748505
"323",0.0254750793877488
"324",0.0104439552711381
"325",0.00286181413192488
"326",0.0654515517319537
"327",0.471482553294611
"328",0.0198574152317436
"329",8.53831982988718e-05
"330",0.00180322576210079
"331",0.0906358177280995
"332",0.000196234689074926
"333",0.000155789643536353
"334",0.0969162574686717
"335",0.0121970673840591
"336",0.178090208147267
"337",4.80669981262061e-07
"338",0.274422998672603
"339",0.172119923543725
"340",0.00314809676942374
"341",0.204602705885651
"342",0.00958408890112306
"343",0.00112795450318104
"344",0
"345",4.08562073062058e-14
"346",6.06060313046441e-10
"347",0.0426565518939667
"348",0.000155866175956643
"349",0.0318256913209679
"350",0.0334508482124632
"351",0.403431705557875
"352",0.0197960266036802
"353",0.0141140615514432
"354",0.00185368176483602
"355",1.91606995503246e-06
"356",0.000281391268411979
"357",0.0725749524319035
"358",2.06086884846357e-06
