"","x"
"1",0
"2",9.10382880192628e-15
"3",2.19269047363468e-13
"4",0
"5",0
"6",3.82149867306225e-12
"7",0.00182243740397336
"8",9.0472074276704e-13
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",5.93122151393288e-09
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.430248011086239
"27",0
"28",0
"29",8.4593821358947e-07
"30",0
"31",0
"32",0
"33",0
"34",0.0547849710811243
"35",8.23515382553097e-08
"36",0
"37",0
"38",0
"39",0
"40",2.1253421111922e-06
"41",0
"42",8.24895707296491e-14
"43",0.319620246054289
"44",0.000148727277325289
"45",0
"46",6.93889390390723e-14
"47",2.98073695280676e-05
"48",0.035530062877984
"49",0
"50",0
"51",6.42896518243674e-07
"52",0.389934630919651
"53",0
"54",0.400173410067373
"55",2.13140616267538e-12
"56",0.308800983634212
"57",7.8441941446683e-05
"58",0
"59",0
"60",0
"61",1.11022302462516e-16
"62",0
"63",0
"64",0
"65",0
"66",2.04980477036543e-12
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",3.24167248599849e-10
"77",0
"78",0
"79",2.33362329460363e-10
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",4.32986979603811e-15
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",1.4432899320127e-15
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0.258344706168895
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0.73950046460875
"142",0
"143",0
"144",9.07431294377981e-05
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0.00137658224430981
"153",0
"154",6.83872958262555e-11
"155",0.863932936129341
"156",0.0328754395674208
"157",0
"158",0.000205990064686246
"159",0
"160",0
"161",0
"162",0.0442245540344219
"163",0
"164",0
"165",0
"166",0.32290160558545
"167",1.81553656886102e-07
"168",0.0218999119958133
"169",0
"170",0
"171",0
"172",0.002287625762875
"173",0
"174",0
"175",0.0809305123426524
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0.3671175611757
"182",1.72029721134948e-07
"183",0.42812753245303
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0.173962733744874
"199",1.87505682569533e-06
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0.00216898928791009
"265",0
"266",2.33146835171283e-15
"267",0
"268",0
"269",0
"270",0
"271",2.22676392047649e-06
"272",0
"273",1.11022302462516e-16
"274",0.00287786172006455
"275",0
"276",0
"277",1.14799816341993e-06
"278",1.37687822822086e-05
"279",0.00322082985599692
"280",3.03329202677727e-06
"281",0
"282",0.17572684663868
"283",0.00106476461960769
"284",0
"285",0
"286",0
"287",1.27745593693218e-05
"288",1.07478470567912e-11
"289",0
"290",0
"291",8.89105411516766e-09
"292",0
"293",0.000983547520129413
"294",0
"295",0
"296",2.16934692431892e-10
"297",0
"298",2.22044604925031e-16
"299",7.00886015891911e-11
"300",0
"301",0.00169496849198703
"302",6.77906267009254e-05
"303",4.17557704750493e-05
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0.0121335890763079
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",4.54125771274239e-05
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0.194399767349636
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0.000250443682936807
"404",0
"405",0.00574737203194164
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0.0419067207020876
"412",0
"413",3.26640623689034e-05
"414",9.28146448586631e-14
"415",0
"416",0
"417",4.02019528777942e-11
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",1.40174538643123e-11
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",3.71971139178084e-05
"436",9.95725724095564e-12
"437",0
"438",0
"439",0
"440",3.5438318946035e-13
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",1.11022302462516e-16
"456",0
"457",0
"458",0
"459",0.00328583546878947
"460",2.40696689657316e-06
"461",0.00507894455440372
"462",0
"463",0
"464",2.03392858111329e-13
"465",0
"466",1.85144899411682e-10
"467",5.3292259494242e-11
"468",0
"469",0
"470",3.22178267454509e-05
"471",0
"472",3.2799318816501e-12
"473",8.21553602925462e-10
"474",4.00444122305998e-11
"475",0
"476",2.22044604925031e-16
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",7.50597917154039e-10
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",3.12339043517795e-12
"498",6.79902445843705e-06
"499",0
"500",0
"501",0
"502",0
"503",0
"504",3.55604434787438e-13
"505",0
"506",0
"507",0
"508",0.00202022688050463
"509",0
"510",0
"511",1.08434339396446e-07
"512",0.107577076451813
"513",4.37264844466156e-06
"514",0
"515",1.51514228940997e-08
"516",0
"517",0.0966686617676582
"518",0
"519",0.0330742745037413
"520",5.6621374255883e-15
"521",4.73469516709679e-05
"522",0
"523",0
"524",0
"525",8.97466308765749e-05
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0.00123709124606086
"545",0
"546",1.11022302462516e-16
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",6.55031584528842e-15
"564",0
"565",0
"566",0
"567",2.79443135298152e-13
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",4.35698884929669e-05
"582",0
"583",7.29994802428635e-06
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0.945379168903565
"641",0
"642",5.47204029940351e-05
"643",6.7207132903313e-07
"644",0.99441166708573
"645",9.45589364999e-05
"646",0
"647",0.576553271858359
"648",4.90373238748454e-06
"649",0
"650",0
"651",2.22044604925031e-16
"652",0
"653",0.0266420183052735
"654",0.0529240287193741
"655",0
"656",0
"657",7.5652213382682e-09
"658",0
"659",0.288565245884008
