"","x"
"1",0
"2",0.0495722867133984
"3",0.330870880879133
"4",0
"5",0
"6",0.00140948195711432
"7",0.952649789854952
"8",3.68536943295972e-06
"9",0
"10",0.141857162309664
"11",0
"12",5.68169303827304e-08
"13",0
"14",0
"15",0.244780570647927
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.782864326967657
"27",0
"28",0
"29",0.274106228248873
"30",2.53084886381316e-10
"31",2.22044604925031e-16
"32",0
"33",0
"34",0.618001414531028
"35",0.00207072710077227
"36",0
"37",0
"38",0
"39",0
"40",0.011517585564208
"41",0
"42",0.0114789549203457
"43",0.967152352785026
"44",6.24083185907232e-07
"45",0
"46",1.46626328689781e-06
"47",0.42627276540258
"48",0.970702935348785
"49",0
"50",0
"51",0.00226760344397203
"52",0.678202640086065
"53",0
"54",0.338075019033485
"55",0.0342249340510511
"56",0.123462024025592
"57",0.296441941917846
"58",0
"59",0
"60",0
"61",0.00145098540357502
"62",0
"63",0
"64",0
"65",0
"66",3.33066907387547e-16
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0.000680243450309481
"77",8.40765323861792e-06
"78",0
"79",0.0021378097579583
"80",2.16581974576968e-10
"81",2.15228687094893e-08
"82",0
"83",9.16282605345486e-11
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0.00677024849645702
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",6.61850074745729e-09
"102",0
"103",0
"104",0
"105",1.11022302462516e-16
"106",6.47061050851327e-07
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0.492489613924575
"116",0
"117",2.22044604925031e-16
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",1.3199871196079e-09
"136",1.97424188108641e-10
"137",0
"138",0
"139",0
"140",2.03903360862512e-09
"141",0.0282974737609235
"142",2.63710608905399e-10
"143",0
"144",0.219351966912435
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0.0127011069147904
"153",0
"154",0.0125470950719505
"155",0.825634311091365
"156",0.0241925762239056
"157",0
"158",0.684069858310845
"159",0
"160",3.70968922247528e-10
"161",0
"162",0.428815762662071
"163",0
"164",0
"165",0
"166",0.526325402574848
"167",0.65173420918277
"168",0.310359739832537
"169",0
"170",0
"171",0
"172",0.129801072943878
"173",0
"174",0
"175",0.156202386877359
"176",0
"177",0
"178",0
"179",0
"180",0.00188453625931828
"181",0.0821360865181097
"182",0.000382533221484183
"183",0.301474846914828
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",1.65023550380283e-12
"191",0
"192",0
"193",0
"194",0.00497539269903824
"195",0
"196",0
"197",0
"198",0.54756007031918
"199",0.512352560014844
"200",0
"201",0
"202",7.36292999903299e-08
"203",0
"204",0
"205",0
"206",0
"207",8.91823526139035e-09
"208",0
"209",0
"210",0
"211",0
"212",3.3888122641379e-08
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",2.22044604925031e-16
"222",0
"223",0
"224",0
"225",1.11022302462516e-16
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",7.78997533146253e-10
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",9.63067231740666e-07
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",7.7715611723761e-16
"264",0.0065845305205946
"265",0
"266",1.11022302462516e-16
"267",0
"268",0
"269",0
"270",0
"271",1.40628277245369e-07
"272",0
"273",3.94573262951781e-13
"274",0.0015496314617035
"275",0
"276",0
"277",1.70297667079211e-08
"278",5.11781241685494e-06
"279",0.172035054661555
"280",4.65266172144929e-07
"281",0
"282",0.0627358714720699
"283",1.06879852412867e-07
"284",0
"285",0
"286",0
"287",1.63007697340234e-08
"288",1.11022302462516e-16
"289",0
"290",0
"291",0.000622337202550116
"292",6.34381436270814e-13
"293",0.0396444572941916
"294",2.25033350320647e-06
"295",9.10382880192628e-15
"296",6.84104952686226e-08
"297",0
"298",1.11022302462516e-16
"299",0
"300",0
"301",9.34462207613507e-09
"302",4.98608268906242e-06
"303",5.0829011999376e-08
"304",0
"305",0
"306",0
"307",0
"308",5.45816724151216e-07
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0.0175941097590024
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",3.02081692993283e-11
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",9.34075039538129e-12
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",5.8741256314665e-07
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0.918598934038471
"395",0
"396",2.22044604925031e-16
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0.100047240638604
"404",0
"405",0.13847069183708
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0.197288801984935
"412",0
"413",0.1880604683795
"414",0.0941592820076654
"415",9.95857232788389e-07
"416",0
"417",0.0267695344072953
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0.0249493189335579
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0.310721122561174
"436",0.00296936283226401
"437",0
"438",0
"439",6.66133814775094e-15
"440",1.009088901327e-08
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",5.55111512312578e-16
"456",0
"457",0
"458",0
"459",0.065509746593217
"460",0.0424370759220054
"461",0.147456630990236
"462",0
"463",0
"464",0
"465",0.000694595790166286
"466",3.16451435199427e-05
"467",3.09063205328197e-06
"468",0
"469",0
"470",0.0176959674789554
"471",0
"472",0.0276629819774903
"473",0.0340124887311263
"474",0.0238856733339371
"475",0.000140946179571722
"476",1.6905583674065e-05
"477",2.22044604925031e-16
"478",0
"479",5.88418203051333e-15
"480",0.00086729768919791
"481",0
"482",0.00066763123105551
"483",0
"484",0.00931842420845197
"485",0.00490347993904228
"486",0
"487",0.220642204395177
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",2.70615111963579e-06
"498",4.15068456272039e-08
"499",0
"500",1.55431223447522e-15
"501",0
"502",0
"503",0
"504",0.00398232307844626
"505",2.32970209790295e-09
"506",0
"507",0
"508",0.0185689524165431
"509",0
"510",0
"511",0.00259964891466635
"512",0.0487176516784222
"513",0.00140815000983685
"514",6.7331251685232e-11
"515",5.52920548235747e-08
"516",0
"517",0.000464948330544668
"518",3.13577221966455e-08
"519",0.599205090827468
"520",0.00553223175311024
"521",0.0657345913899284
"522",4.9293902293357e-14
"523",0
"524",3.83302167783484e-10
"525",1.15411997547721e-05
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0.0135875112805091
"545",0
"546",0.000238112406244384
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",5.41302036527469e-09
"564",0
"565",0.000326991703684443
"566",0
"567",0.000105527852436227
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",8.7404767867838e-09
"582",0
"583",0.00259188640551744
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",2.22044604925031e-16
"636",0
"637",0
"638",0
"639",0
"640",0.638655954919798
"641",0
"642",0.33977264068342
"643",8.64837375216254e-05
"644",0.838014710944287
"645",0.0953082395457219
"646",0
"647",0.824848641255884
"648",0.00518990521174023
"649",0
"650",0
"651",0.00175609143134658
"652",0
"653",0.466943144957995
"654",0.966832252297993
"655",0
"656",0
"657",0.120363372980038
"658",0
"659",0.872018294035685
"660",0.000541589711964718
"661",0.836062540626948
"662",0.00332567848128273
"663",1.61073498838871e-06
"664",0.00561472373972016
"665",0.952603871754434
"666",1.11022302462516e-16
"667",0
"668",0
"669",0
"670",0
"671",0.688282246738527
"672",0
"673",0.556025366400713
"674",0
"675",0
"676",0.583521406597508
"677",0
"678",0.00360148216535716
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0.31651188360208
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",2.65639051938438e-05
"699",0
"700",2.5300337560541e-06
"701",0
"702",0
"703",0
"704",0
"705",0
"706",5.79792791555178e-09
"707",0
"708",0
"709",0
"710",0
"711",0.000956714719508422
"712",0
"713",0
"714",0
"715",3.79105635772703e-11
"716",0
"717",7.7715611723761e-16
"718",0
"719",4.80769770694334e-06
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",6.54482643985821e-05
"730",6.85145795037423e-05
"731",0
"732",0.0112931923754727
"733",0
"734",0
"735",0
"736",0
"737",0.147650043667744
"738",0
"739",0
"740",0
"741",0.426547706037424
"742",0.208421444390241
"743",0.519462739716677
"744",0.00582516433510583
"745",3.30091509681552e-12
"746",0.130437859754323
"747",0.00165743774836669
"748",0
"749",0
"750",0.00446830757680694
"751",0
"752",0
"753",6.29499563586933e-10
"754",0
"755",0
"756",2.40063060541473e-08
"757",0
"758",0.00475015346412244
"759",2.02056196219047e-08
"760",1.11022302462516e-16
"761",7.99360577730113e-15
"762",0.00233307461717724
"763",1.25880417201074e-11
"764",0
"765",0
"766",0.0251564782627985
"767",0.00114889948273966
"768",0
"769",0
"770",0
"771",1.11022302462516e-16
"772",0
"773",0.00218383914041176
"774",0
"775",5.20325527109122e-09
"776",0
"777",7.061018436616e-14
"778",0
"779",0
"780",0
"781",0.0539456423393324
"782",2.23551127498389e-07
"783",0
"784",9.69494589031505e-06
"785",0
"786",3.2893045024629e-05
