"","x"
"1",0
"2",0.0601212729209379
"3",0.89812670149228
"4",0.107309911800434
"5",0
"6",2.44652704317616e-07
"7",0.477414397140266
"8",2.87004975341176e-10
"9",0.000193128796574071
"10",0.00271205799560403
"11",0
"12",1.18585103991986e-06
"13",0.678368975530271
"14",0.00708994573225852
"15",0
"16",0
"17",5.05454900157076e-10
"18",0
"19",4.56784292612866e-08
"20",1.7774977933982e-08
"21",0.000340138845139282
"22",0
"23",0
"24",0
"25",3.2085445411667e-14
"26",0.224001786054658
"27",0
"28",0
"29",1.65978342181461e-13
"30",0.369489338226652
"31",0
"32",0.0965994507438552
"33",0.0012930050970924
"34",0.698360674606557
"35",0.0704485091870554
"36",0
"37",1.43319800471886e-11
"38",0
"39",0
"40",0.00272025150083877
"41",0.000336047176162313
"42",0.0488390605971641
"43",0.247005911007066
"44",6.58897894911803e-06
"45",0.700052766274841
"46",0.0784889272849134
"47",0.00145282764880339
"48",0.182677403886719
"49",0.118849038906856
"50",0.675505630235506
"51",0.000513945621450462
"52",0.260979972076597
"53",0.708328051442594
"54",0
"55",0.632444566880014
"56",0.658192329720538
"57",0.131951144658875
"58",0
"59",0
"60",0
"61",0
"62",0.0179243024189728
"63",8.85855833132609e-11
"64",0
"65",0
"66",0
"67",1.02799990742142e-11
"68",0
"69",0
"70",0
"71",0
"72",0
"73",2.22044604925031e-16
"74",4.05329515507091e-08
"75",8.23243044290045e-07
"76",0
"77",0
"78",0
"79",4.43367564884056e-12
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",1.67643676718399e-13
"88",0
"89",0
"90",0
"91",0
"92",1.84074977482851e-13
"93",0
"94",0.000412621924154921
"95",0.00267658525540926
"96",1.62991842245219e-12
"97",0.0054229626742256
"98",2.85611367079053e-06
"99",0
"100",0.00780912438604842
"101",0
"102",0.0494577017333638
"103",0
"104",1.65589764122842e-12
"105",0
"106",0.1601533418351
"107",0
"108",0
"109",9.28008625368237e-05
"110",0
"111",0
"112",0.758929218333255
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",9.04111230326521e-11
"122",0.00789648200896831
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0.00695816517916525
"134",0
"135",0
"136",1.75867952042497e-05
"137",1.29304500440242e-09
"138",0
"139",1.08135476200033e-05
"140",0.480590357066325
"141",0
"142",0.0613675230922635
"143",0.358896767244255
"144",0.100875014015776
"145",0.0162905033305571
"146",0.413181044567289
"147",0
"148",0
"149",0
"150",5.88418203051333e-15
"151",0.0685772261997807
"152",4.66293670342566e-15
"153",0.0466171139308644
"154",0.463993672755022
"155",0.243289106902395
"156",0.157421879750456
"157",0.342211432627134
"158",0.516059773715142
"159",0.797304708349412
"160",8.68747129005865e-05
"161",0.00756960873999957
"162",0.840037479266968
"163",9.78342518109798e-10
"164",0.13487618823211
"165",0.649566901436725
"166",0.06239105640878
"167",0.00898143255182515
"168",2.46533725740683e-05
"169",0
"170",0.000553755580917081
"171",6.66133814775094e-16
"172",6.20503131099071e-08
"173",1.44606219221188e-08
"174",0
"175",7.83484388477973e-13
"176",4.02793977628546e-05
"177",0
"178",2.1231252311793e-09
"179",1.24340981955129e-10
"180",8.57324100600465e-10
"181",0
"182",9.46909217702796e-13
"183",2.93555245667321e-07
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0.00812610692263216
"190",0
"191",0
"192",0
"193",0
"194",1.5879175752076e-10
"195",0
"196",0
"197",0
"198",0.0218176927931683
"199",1.39230854481198e-05
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",4.89002142112227e-08
"218",0
"219",0
"220",0
"221",5.70185909598564e-09
"222",8.31557045444242e-13
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",6.71971589483178e-10
"243",0
"244",0
"245",0
"246",1.50647314622887e-08
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",2.46470621689809e-11
"254",0
"255",0
"256",0
"257",0
"258",2.11006353718624e-05
"259",1.15135291839374e-05
"260",5.71346119084826e-05
"261",0
"262",0
"263",0
"264",0.0498909985528143
"265",0
"266",0.350709623112428
"267",2.09061502542962e-06
"268",0
"269",0.00289583546768812
"270",0.0904696131182885
"271",0.0406810166469403
"272",0
"273",4.27701984939688e-10
"274",0.00654812570066332
"275",0.0725538848645801
"276",3.16468275717297e-05
"277",0.00315638205714674
"278",0.18418549695106
"279",0
"280",8.1601392309949e-13
"281",0.182500165952403
"282",0.681893981110802
"283",0.22550490221216
"284",0
"285",1.11022302462516e-16
"286",0
"287",0.0157324193839697
"288",0.000267989422883308
"289",0
"290",0
"291",0.32000840799314
"292",0.193853212797266
"293",0.00484925906836942
"294",0.00101742629417811
"295",0.126878195464905
"296",0.134765009666371
"297",0.133021536722173
"298",0
"299",0.0289937163389893
"300",0
"301",0
"302",0
"303",9.93008800964645e-07
"304",0
"305",5.93947113713966e-12
"306",0
"307",0
"308",1.13242748511766e-14
"309",0
"310",0
"311",0
"312",0
"313",0.000248761205320247
"314",0
"315",0
"316",7.14060751794143e-06
"317",7.29992363679433e-05
"318",8.44058196702857e-06
"319",0
"320",0
"321",0
"322",4.44089209850063e-16
"323",0
"324",1.05844222275664e-11
"325",2.63214516581511e-05
"326",0.000233615663055353
"327",1.34980915333927e-12
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0.0455612495782161
"354",0
"355",0
"356",0
"357",0
"358",4.0667402345651e-07
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",1.17251254660999e-06
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",6.21511466769586e-05
"382",0
"383",9.92425397416952e-09
"384",0.0796848553439489
"385",0.52718947339984
"386",4.42470504680159e-11
"387",0
"388",0.0833047781378418
"389",1.36996125554845e-09
"390",0.000115305367510254
"391",0.497185850044852
"392",4.57158482181086e-08
"393",6.99440505513849e-15
"394",0.0207302742342348
"395",0.00060675041403413
"396",0
"397",0.00665879129236024
"398",0
"399",0.0114122829558583
"400",0
"401",0
"402",1.29141289662016e-07
"403",1.33956196476381e-05
"404",0.00256465992817256
"405",1.01599545206943e-05
"406",1.49264267612637e-09
"407",0
"408",0
"409",4.82686176139779e-07
"410",1.2506337504492e-06
"411",0.000269218748628952
"412",6.3162567731645e-08
"413",0.000786899418168785
"414",1.092231917732e-05
"415",0
"416",0
