"","x"
"1",0
"2",0.12652299823077
"3",0.140505812726031
"4",0.0304074078950776
"5",0
"6",0
"7",0.317905248359847
"8",1.17532384588115e-05
"9",3.08645343571889e-06
"10",0.013958962935447
"11",0.0113244488187048
"12",0.00125266695020709
"13",0.00810481515970018
"14",0.0151614144828206
"15",0
"16",0
"17",3.39006600569292e-12
"18",6.98550977062951e-08
"19",0.000254922506632838
"20",0.000578030724184053
"21",2.55854792224897e-05
"22",0
"23",1.04538460665715e-07
"24",0.000992048468611784
"25",0.00413847741427686
"26",0.0590815331166475
"27",0
"28",0
"29",0.0103400437616595
"30",0.431066501604936
"31",0.0167158498141742
"32",0.0277925724772999
"33",1.7750245717707e-12
"34",0.176080087257224
"35",0.0592751208844245
"36",0
"37",0
"38",1.81989978642605e-11
"39",0
"40",0.00731865813529819
"41",0
"42",0.26798304331126
"43",0.00794909773486352
"44",0.0564684027214569
"45",0.0115798781224309
"46",0.116549815014584
"47",0.0697157857769475
"48",0.1406389947012
"49",0.0202487180183509
"50",0.0175217420716681
"51",0.0268667804660127
"52",0.000579106495324222
"53",0.0116554028231199
"54",4.04580146363687e-05
"55",0.594281150346176
"56",0.0333285124233283
"57",0
"58",0
"59",0
"60",0
"61",1.55431223447522e-15
"62",2.80786620410201e-06
"63",1.04959829716478e-09
"64",0
"65",0
"66",0
"67",0.366698451984935
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",3.70894426282575e-11
"75",1.87284860952985e-08
"76",0
"77",1.29689592398563e-11
"78",0
"79",4.5253800706746e-12
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",4.54316029241397e-10
"93",5.48897298724427e-08
"94",5.7230413852416e-08
"95",2.53014698734511e-05
"96",9.15186919581146e-08
"97",0.00461859896280137
"98",3.36839334202921e-10
"99",0
"100",4.98292085687746e-05
"101",2.34368080498371e-13
"102",0.0330815330708526
"103",0
"104",0
"105",0
"106",0.0447725199595521
"107",0
"108",0
"109",6.99440505513849e-15
"110",0
"111",0
"112",1.18418386207964e-09
"113",0
"114",0
"115",4.67784766891022e-05
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",7.21644966006352e-15
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0.00564548072849036
"134",0
"135",0
"136",1.47325485144734e-11
"137",0.00055181479009192
"138",0
"139",0.0155233562133792
"140",0.479501206833198
"141",0.000285966062935183
"142",0.15459741365951
"143",0.00369937672686893
"144",0
"145",0.315799327498383
"146",0.000252696546227282
"147",0
"148",0
"149",0
"150",0
"151",0.791105087697028
"152",0.237385952337644
"153",0.00515514407562312
"154",0.663195614456763
"155",0.383842960334062
"156",0.363233685684835
"157",0.33156162728774
"158",0.952767682532777
"159",0.588890608194443
"160",0.181323431724288
"161",0.0709320049203712
"162",0.832395248549982
"163",0.00115082396417121
"164",0.12810808426648
"165",0.184717537798374
"166",0.0383996396637356
"167",0.00223575754658489
"168",0.000249458642056388
"169",0
"170",0.00118171864619954
"171",0
"172",4.20901657971484e-09
"173",7.97316657141778e-11
"174",2.55351295663786e-14
"175",2.55351295663786e-15
"176",1.20839644572879e-05
"177",0
"178",4.17305160971271e-06
"179",2.39808173319034e-13
"180",2.53103316083525e-10
"181",0.000294689784615887
"182",0
"183",0.000167841907774635
"184",0
"185",0
"186",0
"187",0
"188",0
"189",3.7189009649552e-09
"190",1.11768228006071e-09
"191",6.07361799542794e-05
"192",2.24222296285603e-09
"193",0.00318717553029302
"194",0.0166328947989715
"195",0
"196",0
"197",0
"198",0.0063804189586526
"199",7.40526239528805e-06
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",5.55111512312578e-16
"213",0
"214",0
"215",0
"216",0
"217",0.0138827149456244
"218",0
"219",0
"220",0
"221",4.29277607905121e-08
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",4.91828799908944e-14
"239",0
"240",2.22044604925031e-16
"241",0
"242",1.69095193403024e-09
"243",0
"244",0
"245",0
"246",3.91384702425057e-11
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",6.8553140941674e-10
"254",0
"255",0
"256",0
"257",0
"258",0.000381299656064815
"259",1.36573369229342e-05
"260",0.00608034097637955
"261",0
"262",0
"263",0
"264",0.000187636464337948
"265",0
"266",0.0705083124856888
"267",0.0867930980825669
"268",0
"269",0.00758736725947995
"270",0.00588693159311682
"271",0.000351996337171867
"272",0
"273",0.00295004831694656
"274",1.22270070876951e-05
"275",0.000839932503833629
"276",0.0679106131647893
"277",0.000361482947997205
"278",0.0665946998351146
"279",0
"280",0.00120583660667917
"281",0.0791322580985511
"282",0.179345166715169
"283",0.0116193109257056
"284",0
"285",3.49760775897323e-10
"286",0
"287",0.00067834470482564
"288",0.0207634857152295
"289",0
"290",0
"291",0.33273120766571
"292",0.48981415192177
"293",0.00469176758056988
"294",0.109696018375149
"295",0.00169150565504883
"296",0.498845916411527
"297",0.320501986126401
"298",0
"299",9.34758355883858e-05
"300",0
"301",0
"302",3.25315774318824e-10
"303",0.104933798875819
"304",0
"305",0.00259326549593697
"306",0
"307",0
"308",1.66904998033512e-06
"309",0
"310",0
"311",0
"312",0
"313",0.00684109643604391
"314",0
"315",0
"316",1.00841557326703e-12
"317",2.25600001568793e-07
"318",0.0139534627764613
"319",0
"320",0
"321",0.00343342884475861
"322",2.15560407654802e-05
"323",3.83275242491488e-05
"324",0.0222636485398151
"325",1.15106398967946e-07
"326",0.0171393799616503
"327",0.0258365869426495
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0.00448796482076763
"354",0
"355",0
"356",0
"357",0
"358",2.96398736665537e-07
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0.000927656039282576
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0.00224573363637037
"382",0
"383",2.53119747384289e-12
"384",0.211164608491432
"385",0.00196571038746662
"386",0
"387",1.45297551767953e-10
"388",0.000770700108442823
"389",1.09349751475918e-10
"390",3.28115312697719e-12
"391",0.000708471081609763
"392",1.26684064508664e-05
"393",4.34097202628436e-14
"394",0.0044607496188438
"395",6.73172658172128e-07
"396",9.99200722162641e-16
"397",0.000419158775094908
"398",0
"399",0.000143707051303399
"400",0
"401",0
"402",4.43755242106603e-05
"403",1.90840303759821e-06
"404",0.0920231280496814
"405",0.150575642077571
"406",7.19344352861917e-07
"407",0
"408",3.33066907387547e-16
"409",3.75885312875468e-08
"410",1.11022302462516e-16
"411",2.98326228780343e-05
"412",2.47176168421959e-10
"413",7.42125250141612e-11
"414",4.19889012448493e-10
"415",8.20290277891988e-06
"416",0
"417",0.012516401362805
"418",0.23388469932811
"419",1.90433933794365e-05
"420",0.00557039616815502
"421",0.00123968299030031
"422",6.82630391746208e-06
"423",8.17724265189668e-07
"424",2.10656835308853e-08
"425",0.182911980914468
"426",2.64233079860787e-14
"427",7.47286597180263e-06
"428",1.92402180987372e-06
"429",0
"430",0.000849520391757008
"431",0
"432",2.68318700591408e-12
"433",0
"434",0
"435",0.000101055743900957
"436",0
"437",0
"438",0
"439",0.588741828591563
"440",0.171591737705179
"441",0.0879272777058843
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0.0524738798575162
"448",0
"449",0
"450",0.000189263114898641
"451",0
"452",0
"453",0.0101777396281423
"454",0.673913739908015
"455",7.50657977999225e-08
"456",0.00028336988974309
"457",0.890172900660507
"458",0.0434377930455889
"459",9.61586332670628e-07
"460",1.99843828487811e-05
"461",0.185246095001154
"462",0
"463",0
"464",0.304538967344673
"465",0.000167862239845551
"466",0.0801063388118054
"467",7.07897144236469e-08
"468",0.176181852039407
"469",0
"470",0.000699888022561712
"471",0.0806523704303922
"472",2.58597937508043e-08
"473",0.00649949958503337
"474",0.0547426365958339
"475",0.00709398607969736
"476",6.19084681859894e-05
"477",0.194705737680564
"478",1.44151257597258e-09
"479",0.301978607231251
"480",0.324191930149529
"481",0.674165876171492
"482",9.97827548021579e-06
"483",6.1626700643691e-06
"484",0.040147152705919
"485",0.0045909753836656
"486",0.0328464870901179
"487",0.00106392837590397
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0.0209138130116999
"497",0.147771088330645
"498",0.000832178597439226
"499",0
"500",0.337881285097058
"501",0
"502",1.02140518265514e-14
"503",0
"504",0.217158221197903
"505",0.0239482002517283
"506",0.364585870823355
"507",0.387960323357333
"508",0.0252209819404389
"509",0
"510",5.21804821573824e-15
"511",0.404456896273446
"512",0.00123789616103054
"513",0.154746608934973
"514",0.249616703901764
"515",0.000735393426717912
"516",0
"517",0.97217786600701
"518",0.033638109719612
"519",0.62756764658546
"520",0.0438191954222646
"521",2.23399237803124e-05
"522",0.660396593936691
"523",0
"524",0.896780581305472
"525",0.351424867393342
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0.0921994488865361
"534",0
"535",0.0142659559645772
"536",3.77475828372553e-15
"537",6.15063555642337e-14
"538",5.27419013240937e-07
"539",0.0416999820977424
"540",4.51643178855932e-06
"541",0
"542",0
"543",0
"544",0.000765065094432305
"545",0
"546",0.00127203441474633
"547",3.33617710357448e-06
"548",0
"549",0.0444776316701302
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0.00343682767686748
"561",0.0413290957499647
"562",0.0255340670656337
"563",2.10478745876763e-07
"564",0
"565",0.00827584279934268
"566",0
"567",2.20036669762447e-06
"568",0.00790296721301986
"569",0.00350470088828814
"570",0
"571",0
"572",0
"573",5.34916011485365e-09
"574",0
"575",0
"576",0
"577",0.138926043419662
"578",0
"579",0.0173393481253272
"580",0.00120835573001365
"581",3.44255326356624e-07
"582",0
"583",0.448175718426689
"584",0.316168072144323
"585",0
"586",0
"587",0
"588",1.82153205852131e-08
"589",0
"590",0
"591",0
"592",9.99200722162641e-16
"593",0
"594",0
"595",0
"596",6.95010495821435e-08
"597",0
"598",0
"599",0.0150613355809827
"600",0
"601",0.0849546461666925
"602",0
"603",0
"604",2.41035893530084e-05
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0.00383767024508608
"625",0.0230978678779991
"626",0
"627",0
"628",0
"629",3.71960633460677e-06
"630",3.9589675022933e-05
"631",0
"632",0.00486191099229738
"633",0
"634",0
"635",4.0116050173955e-06
"636",1.88737914186277e-15
"637",0
"638",0
"639",0
"640",1.71085867695098e-09
"641",0
"642",8.98358246681497e-08
"643",6.66133814775094e-16
"644",6.95036659670301e-07
"645",3.11686575660275e-07
"646",4.42679447675287e-05
