"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0.0360513158615396
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",2.1094237467878e-15
"18",0
"19",0
"20",0.00107803783875859
"21",6.18505247018675e-13
"22",1.42785783197041e-12
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.000134770114843863
"33",0
"34",5.21757192957217e-05
"35",0
"36",0.323747204856042
"37",0
"38",3.96531873880779e-06
"39",0.000897500674935103
"40",1.8058221584738e-11
"41",0.129185321178977
"42",0.299349259361694
"43",0.431078941665605
"44",0
"45",0.0258124989006785
"46",0
"47",0
"48",0
"49",4.9090680775965e-07
"50",0
"51",9.11879372011981e-09
"52",0
"53",0
"54",1.00816993642283e-08
"55",0.178232579114844
"56",0
"57",0
"58",0
"59",7.53586082424818e-12
"60",4.63812358220128e-06
"61",0.000819283006679883
"62",0.000575730138508646
"63",0
"64",7.68591998778767e-06
"65",8.83110591413105e-05
"66",1.07299724660948e-11
"67",4.46359615935421e-11
"68",0.00713276604605939
"69",0
"70",0
"71",0
"72",3.54342111208439e-11
"73",0.470195974538621
"74",0.0207137796297784
"75",2.10826911484219e-11
"76",0.0124860671674974
"77",9.24476122940998e-05
"78",7.18348013561965e-06
"79",6.15099600588254e-05
"80",0
"81",0.0468825661763486
"82",3.83391585145887e-09
"83",5.46673817325427e-13
"84",0.000423576949114546
"85",0
"86",1.91779030767059e-07
"87",0.236330016969882
"88",0.000499510464400998
"89",1.17853518943889e-06
"90",1.39926075171104e-08
"91",0.0813201648888349
"92",0
"93",0
"94",0.530299520889755
"95",0.00148270028865471
"96",0
"97",0.748936413392352
"98",0
"99",0.00172959199406764
"100",2.67017539637981e-05
"101",5.04767450060228e-10
"102",0.0623343234988978
"103",0.0685119848229844
"104",0
"105",0.00471739523414594
"106",3.04843488230233e-08
"107",6.04196768172471e-08
"108",0
"109",0.0014412150243468
"110",0
"111",0.000248057029885396
"112",2.22044604925031e-16
"113",0.00260637439927858
"114",1.06015232019807e-05
"115",0
"116",0.106010434283879
"117",0.000134245307358727
"118",7.76997676199542e-08
"119",0.232392957430079
