"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0.11308718707337
"9",5.58851999832299e-06
"10",0
"11",0.232314525584409
"12",5.14847340671309e-06
"13",0.00176011717487234
"14",2.24111828106555e-06
"15",6.27740965468693e-05
"16",3.21395481864828e-05
"17",8.71979710659332e-10
"18",1.96896866588858e-08
"19",0.0264753532759188
"20",3.34814398428307e-11
"21",4.74637662506439e-09
"22",1.20198400451743e-05
"23",0.111302486845252
"24",0
"25",0
"26",0
"27",1.23234755733392e-14
"28",0
"29",0
"30",0.0611572830509888
"31",0.00155827848504575
"32",5.251663922623e-07
"33",0.00476728319897712
"34",0.0135186526960278
"35",0.000468724644083318
"36",0.00112804160352808
"37",0.000307078280550099
"38",1.59802119277241e-05
"39",0.0343539551504261
"40",1.96034061206163e-08
"41",9.49491566248906e-06
"42",0.000237358292407563
"43",0.0392511527789476
"44",0
"45",6.94854362937036e-09
"46",0
"47",0
"48",0
"49",0
"50",7.46517236915878e-09
"51",2.83772313539599e-05
"52",0.0147255559929328
"53",4.27223811882982e-11
"54",0
"55",0.000118166746125747
"56",1.28563826251593e-13
"57",0.0785650793472991
"58",9.14425593334656e-05
"59",3.33066907387547e-16
"60",0.00103170459703705
"61",0.0100982997553267
"62",0.000209920160461063
"63",0.000308940812064007
"64",9.37114316557075e-06
"65",1.35694983371959e-05
"66",0.0079651360546229
"67",1.2977694145988e-06
"68",0.0990094508310413
"69",0.00215912369524118
"70",0.00121992837021212
"71",0.00442664779173563
"72",4.03851977415215e-08
"73",2.61313193306023e-12
"74",0.000195616762644901
"75",1.37637317099149e-07
"76",6.16384564500194e-08
"77",1.37414133494218e-05
"78",0.340390913105563
"79",0.0124503388880214
"80",3.21007179315824e-06
"81",0.01052774013149
"82",0.000165874506130148
"83",0.00474716724731472
"84",0.0626993301327488
"85",0.00125219782895047
"86",0.0815032607365971
"87",0.00101531285207612
"88",0.0260116865834374
"89",0.0336321325824591
"90",0.000957823278149528
"91",0.0559183964258134
"92",0
"93",0
"94",0.0237957369054327
"95",0.000128051248083683
"96",0.00767261296168609
"97",0.155438666787171
"98",0.00164251815761296
"99",0.0035306490995286
"100",0.0466992783791049
"101",0.00122294839274406
