"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.191625150244535
"7",2.18027491616368e-07
"8",2.31852226306728e-09
"9",0
"10",0
"11",2.32460717342065e-10
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",1.57935442501866e-10
"19",0
"20",0
"21",0.00629036357194734
"22",3.26405569239796e-14
"23",0
"24",0
"25",0
"26",5.88694696468384e-06
"27",8.54871728961371e-15
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",5.96762417259811e-10
"35",0
"36",0
"37",0
"38",0
"39",2.27648666584201e-09
"40",0
"41",0
"42",1.4799259595577e-09
"43",3.65065667506936e-05
"44",4.75321061732537e-07
"45",0.00286790715095475
"46",0.00673531764355173
"47",3.28240586200401e-06
"48",0.220323651784655
"49",0.00816164640359607
"50",4.30502394099808e-06
"51",0.00145300378529511
"52",0
"53",0
"54",0.000181539315826207
"55",3.52194966826147e-05
"56",5.76095837701018e-11
"57",0
"58",1.27622900569779e-06
"59",0
"60",0.304886653905176
"61",7.61176669472619e-08
"62",3.86357612569554e-14
"63",0
"64",0
"65",8.7020457173459e-08
"66",0.0107137613596942
"67",0.00624305192899244
"68",0.0278478087164159
"69",0.0497195268442989
"70",0.00185663548949799
"71",0.052913485224707
"72",0.0474839753753165
"73",0.297290064390301
"74",0
"75",0
"76",7.8486825794144e-07
"77",9.86175127037914e-06
"78",0
"79",1.35219169195011e-10
"80",0
"81",3.61469743026532e-11
"82",9.84648341528782e-07
"83",2.32036612146658e-14
"84",0
"85",0
"86",0
"87",0
"88",2.22044604925031e-16
"89",1.26121335597418e-13
"90",7.53064277603244e-13
"91",0
"92",0
"93",2.85920978004839e-08
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",2.19824158875781e-14
"101",0.0466304445077634
"102",8.18497097876403e-08
"103",0
"104",0
"105",0.000157009286051446
"106",0
"107",0
"108",3.84563603184063e-09
"109",0.00925793932889696
"110",0
"111",0
"112",0
"113",0
"114",4.6220886533388e-05
"115",0.00029387055563368
"116",3.72144925986362e-09
"117",1.70648939423756e-10
"118",0.0905334829778752
"119",6.1978203902413e-08
"120",0
"121",6.99850764129817e-06
"122",0.00045936243891409
"123",0.00131229583197434
