"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.00853100747810265
"7",3.1402690581217e-07
"8",1.78821453711286e-06
"9",0
"10",0
"11",3.08994422271169e-08
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0.074451554695882
"22",0
"23",0
"24",0
"25",0
"26",1.5329830034494e-05
"27",0
"28",0
"29",4.44089209850063e-16
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",2.56461518688411e-14
"40",0
"41",0
"42",7.82808262655976e-09
"43",0.00203292233836883
"44",0.000354584935817526
"45",0.00101212863469491
"46",2.81390942926674e-05
"47",0.294337388385826
"48",0.00126140674402597
"49",0.0340441557416105
"50",0.000859357789857795
"51",0.000783394939846693
"52",0
"53",0
"54",0.00429854988587319
"55",0.000845978504141365
"56",1.7601903379294e-08
"57",0
"58",7.4347079341841e-06
"59",0
"60",0.0203319832704771
"61",9.55107805067357e-08
"62",3.33066907387547e-15
"63",0
"64",0
"65",2.59464911556151e-07
"66",0.00163469365839941
"67",0.0169236590221479
"68",0.0257228516759869
"69",0.0172190622659204
"70",0.00937770362799983
"71",0.13663652458681
"72",0.00749337656333227
"73",0.151316524602407
"74",0
"75",5.78426195829707e-14
"76",1.03628085112994e-07
"77",2.82469503343208e-09
"78",0
"79",2.49156251186378e-12
"80",0
"81",4.49640324973188e-14
"82",1.78519826699031e-08
"83",0
"84",1.88737914186277e-15
"85",0
"86",0
"87",0
"88",0
"89",3.59157148466238e-13
"90",0
"91",0
"92",0
"93",4.43756142942675e-13
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",6.66133814775094e-16
"101",0.00238565939411173
"102",6.66133814775094e-16
"103",0
"104",0
"105",4.44057466686409e-06
"106",0
"107",0
"108",0.000306362404749905
"109",0.000953094451866421
"110",0
"111",0
"112",0
"113",0
"114",4.30477875568158e-12
"115",4.09953349045367e-09
"116",2.20926610339234e-11
"117",4.6385117968839e-13
"118",1.69772709646132e-05
"119",1.18936397708325e-06
"120",0
"121",3.23539972590936e-10
"122",5.43857465307163e-06
"123",1.7827793685754e-09
"124",1.34336985979644e-14
"125",0
"126",0
"127",0
"128",0
