"","x"
"1",4.48530101948563e-14
"2",0
"3",0
"4",8.99280649946377e-13
"5",0.0114599821384054
"6",0.00953405928063966
"7",8.34573110508607e-06
"8",1.97432603599168e-09
"9",0
"10",3.6242453482771e-11
"11",0.000135131924696719
"12",0.000345265064112699
"13",0
"14",3.97876176450040e-11
"15",1.738609256563e-13
"16",1.11022302462516e-16
"17",7.14950307845186e-08
"18",7.20616418825593e-06
"19",0
"20",0
"21",0.0885211582040323
"22",1.78844007050483e-05
"23",0.0237282515973432
"24",0.00022957181988803
"25",0
"26",5.10702591327572e-15
"27",1.21065349301119e-07
"28",5.3179682879545e-14
"29",5.93340931942521e-11
"30",2.72352013552801e-06
"31",0.00107796858832399
"32",0.0132640796283225
"33",0
"34",3.05188007976298e-06
"35",0
"36",0.000206310693462219
"37",0
"38",0.00766489522052383
"39",0.000139461113820571
"40",1.77868458839381e-06
"41",0
"42",0.00794647151487871
"43",6.18130640228642e-07
"44",0.00143963715373541
"45",0.175874030031998
"46",0.00029831007840575
"47",0.00298804369370032
"48",3.5044789977734e-05
"49",0.13021663213612
"50",0.000693461467016543
"51",1.78433232578268e-06
"52",0
"53",0
"54",0.000463993115828676
"55",3.49070027287901e-05
"56",1.61452857661004e-06
"57",3.00407446696127e-08
"58",0.00207324007908194
"59",0
"60",0.0193444370459067
"61",2.40020531505625e-06
"62",0.000415428154627695
"63",2.08821948349813e-05
"64",0
"65",0.108078546263027
"66",0.25262996278647
"67",0.000357291927209347
"68",0.00948589011557421
"69",1.26738619599109e-11
"70",0.743812531261857
"71",0.0751224536267731
"72",0.00358385093158597
"73",0.00118527551499903
"74",5.34732169654717e-09
"75",2.4550672605983e-10
"76",0.226747816718456
"77",2.13706830010096e-12
"78",1.72736602799262e-10
"79",0.0491348589328277
"80",1.36668454331357e-13
"81",1.81823112122004e-10
"82",1.89039688680559e-07
"83",2.60902410786912e-14
"84",3.5043319274175e-06
"85",9.75030056693527e-11
"86",1.6153745008296e-13
"87",1.56090498193429e-07
"88",8.0926410084281e-07
"89",8.36766170464465e-06
"90",0.000453987078456453
"91",0.000502935120524128
"92",2.33511880609605e-07
"93",6.30163699000263e-11
"94",2.11950212936074e-09
"95",1.89319294019441e-07
"96",2.30893975564639e-05
"97",3.31042515622215e-09
"98",0
"99",4.49468240404371e-11
"100",0.000241436839239828
"101",2.61779958821151e-08
"102",7.9483822446047e-07
"103",1.52898804728352e-10
"104",7.29519000763901e-10
"105",0.000301601389281148
"106",6.55603254906545e-07
"107",0.000487791174880181
"108",1.16213193956938e-07
"109",0.000311363962750111
"110",0.00010585362647586
"111",4.76310102470734e-11
"112",0
"113",7.38681065770574e-06
"114",0.000104910609676212
"115",2.30783863003348e-05
