"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.267429182256549
"7",0.0548136533008117
"8",0.00017892376750861
"9",0
"10",0
"11",2.08235669929557e-07
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0.0227746903606674
"22",1.11022302462516e-16
"23",0
"24",0
"25",0
"26",0.000240771890576585
"27",9.88098491916389e-15
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1.02590117090351e-06
"35",0
"36",0
"37",0
"38",0
"39",2.06730704777058e-08
"40",0
"41",0
"42",2.32924790566358e-13
"43",1.41750281512643e-07
"44",0.0858844912653566
"45",0.00241444640851873
"46",0.00456951492902891
"47",0.275680452595145
"48",0.000882080362661686
"49",0.0588799590501206
"50",0.0634903195719806
"51",0.036419150628772
"52",0
"53",0
"54",0.000166343641027855
"55",0.000492358953159022
"56",0.0991859272044288
"57",8.88178419700125e-16
"58",3.49341168235373e-05
"59",0
"60",0.049001813285575
"61",0.0726338387194336
"62",1.13288961944846e-06
"63",0
"64",0
"65",2.79657247326259e-06
"66",1.04714429204344e-05
"67",0.0551641511729167
"68",0.463120421691079
"69",0.0981327774779014
"70",0.000388627082582915
"71",0.00955203813696892
"72",0.0120706527557726
"73",0.0155092134667975
"74",0
"75",0
"76",3.61159552431101e-06
"77",0.0829737545792789
"78",0
"79",0.0018116856666206
"80",1.24344978758018e-14
"81",9.70933144994746e-09
"82",1.23560051079608e-11
"83",0
"84",4.44089209850063e-15
"85",0
"86",0
"87",0
"88",3.59183904841132e-10
"89",2.02847738606238e-11
"90",0
"91",0
"92",0
"93",1.17118814646489e-09
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",2.08933981227233e-11
"101",0.00647708385987666
"102",3.345629073781e-08
"103",2.04888328525499e-11
"104",0
"105",4.3981073782895e-07
"106",0
"107",3.39829275830539e-11
"108",0.0822086474939426
"109",0.0138591481188304
"110",0
"111",0
"112",0
"113",2.5380777479711e-09
"114",4.74176253817404e-13
"115",4.44089209850063e-16
"116",0
"117",8.65973959207622e-15
"118",0.104014516326226
"119",0.174752787699114
"120",0
"121",1.4768507846652e-06
"122",0.00658104027913398
"123",0.529861793138274
