"","x"
"1",2.20474388523684e-07
"2",8.09612296426288e-07
"3",0.0135277844373564
"4",0.000701318451083344
"5",4.99763793682106e-07
"6",0
"7",3.64121954810059e-10
"8",0
"9",7.59904328843097e-05
"10",0.0458454673868735
"11",0.00368329007687784
"12",0
"13",7.15627890279791e-10
"14",2.27817764653082e-12
"15",1.02325820705573e-07
"16",2.08775033272435e-06
"17",4.40276517132965e-07
"18",1.11022302462516e-16
"19",0
"20",0
"21",0
"22",0
"23",0
"24",1.17224383227033e-05
"25",0.00178069906139844
"26",0
"27",8.66856717574027e-06
"28",5.68879381601661e-07
"29",0.00209759157766121
"30",0.00702882872149213
"31",0
"32",2.16617401793684e-09
"33",0.0603621294890544
"34",0
"35",0.00324955673128002
"36",0
"37",0
"38",0.317418615081561
"39",0.277541031752041
"40",0.00163648555889784
"41",0.565165119740714
"42",0
"43",0
"44",2.15161222172355e-13
"45",0.0014956002755192
"46",0.00102307923682521
"47",4.32571922726055e-09
"48",0.464161051679821
"49",0.0241905501461706
"50",0.0242301649096657
"51",0.0881186641569427
"52",1.02706732008073e-12
"53",0.654661429484905
"54",0
"55",9.90890900101071e-05
"56",0.022170736789028
"57",0.0666756482742554
"58",0.0473013812429985
"59",3.91084317848955e-05
"60",1.11022302462516e-16
"61",0
"62",0
"63",0.144082937803037
"64",0.00403595016911806
"65",0.760658533398122
"66",0.0019992886583079
"67",0.00023943055389164
"68",6.70587812446888e-05
"69",0.0609363282734841
"70",0.00730983925657669
"71",1.06691100834055e-05
"72",0
"73",2.39244257738136e-09
"74",3.73480447279917e-06
"75",0.000502994839906346
"76",1.1172860936437e-07
"77",0.0287417372984139
"78",1.49036116781076e-10
"79",6.20170359511008e-09
"80",3.20918589369334e-07
"81",1.03194752743008e-09
"82",0.00316790073676598
"83",1.27875487976326e-12
"84",9.690114299854e-08
"85",1.68381426867148e-05
"86",0.000308457525834083
"87",6.27689147325583e-08
"88",1.40998324127395e-14
"89",2.76684922151382e-06
"90",5.83690401567694e-08
"91",0.000515863294609731
"92",9.98143908526039e-07
"93",0
"94",2.35589325825458e-13
"95",0
"96",2.98305824486533e-12
"97",0.04591992756061
"98",7.59267505490158e-06
"99",7.87179428196616e-07
"100",0.00413090359253587
"101",0.0007309213994251
"102",0.0295025051488802
"103",0.00162969577808481
"104",8.45224134371492e-06
"105",0.239296696558536
"106",2.62393440308983e-11
"107",0.00860613101283403
"108",9.15097366727124e-05
"109",5.13777935751136e-07
"110",2.29195001089089e-07
"111",3.64102274519329e-06
"112",0
"113",0
"114",0
"115",0.000157393527896343
"116",0.0244982773497808
"117",4.72659197758851e-05
"118",1.0463441224573e-10
"119",0.00303205734836309
"120",3.51283360178201e-08
"121",0.0433204270428353
"122",0.000352873918355034
"123",0
"124",1.34935041903317e-05
"125",0
"126",0.00754277247835367
"127",0
"128",2.04321256114248e-06
"129",6.77589871767026e-07
"130",0.000515472414568841
"131",1.7466028623403e-12
"132",3.69482222595252e-12
"133",3.3294034196274e-10
"134",0.0597705250417755
"135",4.66293670342566e-15
"136",0
"137",0
"138",8.96873453282154e-09
"139",0.0083863965058949
"140",1.60868984799833e-09
"141",8.6434492896359e-10
"142",3.07374290797746e-07
"143",9.57877888119185e-09
"144",0.00171856860935637
"145",8.28622606308116e-07
"146",1.39744538163455e-09
"147",5.1366999542779e-10
"148",1.0893508317622e-12
"149",2.21131655675499e-06
"150",9.56640640725759e-06
"151",1.27414962568517e-05
"152",6.37773903222616e-06
"153",1.38445025776868e-07
"154",4.12450706110956e-06
"155",8.00599057049212e-07
"156",4.01353350554245e-09
"157",7.09748184224424e-07
"158",6.84562702679692e-06
"159",0.000255889179702318
"160",0.0021596746233784
"161",1.49118495329503e-11
"162",1.04455537552894e-08
"163",0.000277847537853648
"164",0.00798375080825497
"165",7.88107842786268e-06
"166",0.150381513726979
"167",0.00296798116512575
"168",2.03651095986856e-10
"169",4.75896377860607e-09
"170",8.83552439434609e-07
"171",7.23902049415415e-11
"172",3.92724075481965e-10
"173",0.0185417948710567
"174",3.32447118056578e-07
"175",0.00731531633883709
"176",2.69813667908014e-06
"177",0.0034865893572571
"178",3.39576342178738e-06
"179",5.4300958063358e-08
"180",0.000397707039339168
"181",0.0020045984955146
"182",0.119916812075464
"183",2.63799083355387e-07
"184",0.0188324862337684
"185",0.0121234364047513
"186",1.30861589091591e-05
"187",0.000218669221227152
"188",0.00845763488612317
"189",0.000960684451237759
"190",2.8475506600012e-05
"191",0.000321597071897384
"192",0.00597998854882831
"193",5.87163651033507e-12
"194",0.000972274436913945
"195",2.45962139544531e-11
"196",4.5841564899618e-07
"197",0.000117544656329738
"198",4.11324186487816e-05
"199",0.0134045985187954
"200",0
"201",0
"202",0
"203",0
"204",0.182263267696754
"205",0.0377887371624194
"206",0.00149941525015063
"207",5.41157727940167e-06
"208",0.000219211162717725
"209",0.0388973262665814
"210",0.0144871285622046
"211",0
"212",0.0127543599603662
"213",1.13977051130476e-07
"214",0
"215",0.000597998482738893
"216",3.21623852955755e-05
"217",9.41704175083657e-07
"218",0.000428279130360365
"219",6.59451348472562e-06
"220",7.08116185688112e-08
"221",0.00821699670770504
"222",3.24570370580091e-11
"223",1.37313816206408e-07
"224",1.13645349881786e-05
"225",1.19371858731121e-07
"226",4.81296653043195e-06
"227",2.29816166097407e-14
"228",0.00418176311153762
"229",0.00244067468922349
"230",0
"231",7.77543540220194e-07
"232",0
"233",1.93096889045119e-05
"234",1.33226762955019e-15
"235",3.97113279593242e-07
"236",6.13842310315249e-13
"237",7.53527597897596e-05
"238",0
"239",0.0153690698216411
"240",5.995920950852e-07
"241",0
"242",2.78697065425604e-11
"243",6.43586797521856e-06
"244",1.17564566405326e-05
"245",4.15841088509117e-05
"246",1.42954303949949e-09
"247",8.65973959207622e-15
"248",0
"249",0.00149987035845556
"250",0
"251",0
"252",5.29600585608136e-10
"253",0.000710606956626614
"254",0
"255",0
"256",0
"257",3.19383188784883e-08
"258",3.61038524743229e-07
"259",9.52238288220997e-13
"260",0
"261",2.32324159910036e-11
"262",4.0192378668813e-05
"263",3.44283796016587e-06
"264",0.00190058798398751
"265",2.43022637569368e-08
"266",0.000402258373406128
"267",2.68344235720974e-11
"268",4.49448256389928e-11
"269",2.95815150153089e-10
"270",1.60950771599389e-08
"271",3.72497162426377e-06
"272",7.99360577730113e-15
"273",3.47841688785877e-09
"274",1.63450919465902e-10
"275",0.000190175146515315
"276",4.08209570035289e-07
"277",9.15933918221867e-06
"278",0.000331939969592576
"279",0.000185261896948674
"280",2.68809599413e-06
"281",0.000802528776925548
"282",0.000785054530182516
"283",0.000178149380582915
"284",1.58243418368897e-11
"285",1.11022302462516e-16
"286",5.77493608489021e-12
"287",9.90443780324313e-08
"288",2.1281306272769e-07
"289",0.089728267049448
"290",3.10747499621122e-07
"291",3.61971076001666e-07
"292",3.04308903631423e-08
"293",3.98203303664246e-09
"294",1.03951924845802e-09
"295",2.100106555325e-08
"296",2.30121005584394e-08
"297",3.87578857896642e-13
"298",1.32279480169473e-06
"299",5.66295394417438e-05
"300",4.90143133458076e-06
"301",3.81065245804724e-05
"302",0
"303",1.40680053810627e-05
"304",1.65538905472218e-07
"305",7.89657228494889e-12
"306",2.77555756156289e-15
"307",0
"308",0
"309",0
"310",8.43346619205931e-08
"311",1.42516736323373e-06
"312",9.56238257576736e-06
"313",6.66133814775094e-16
"314",5.79203351946944e-13
"315",1.37767284524859e-06
"316",1.7954526754238e-12
"317",0
"318",0
"319",1.79879444672792e-11
"320",8.94533447315382e-10
"321",0.00423484714833788
"322",4.6684613444814e-05
"323",0.00113994623800828
"324",0
"325",2.50832409287582e-08
"326",8.99180345703687e-06
"327",0.00307448633791618
"328",0.00158834758320181
"329",0
"330",3.99547062102101e-11
"331",3.43204820735243e-05
"332",5.58655300364475e-05
"333",3.54285296888524e-06
"334",0.00770804074925369
"335",1.32206467995388e-11
"336",0.0316174902639701
"337",0.0145700215409538
"338",0.0010107927558386
"339",8.50423403883083e-05
"340",2.5135515890895e-10
"341",1.05582209641852e-13
"342",0.00136933871670841
"343",6.12178419068243e-10
"344",0.00386666447397288
"345",9.06087423169222e-06
"346",0
"347",3.33066907387547e-16
"348",2.22589447151922e-06
"349",2.08377759491896e-12
"350",0.000124890272948264
"351",0.016058645412468
"352",6.71458659784463e-08
"353",3.18799987486518e-05
"354",4.67503702417105e-10
"355",7.52491589484094e-07
"356",2.48153646517091e-05
"357",8.56395072634797e-08
"358",0.0710321067910363
"359",0.0582513684946072
"360",1.59118553194615e-05
"361",0.00144889378271484
"362",0.29831014047728
"363",4.26573039846723e-06
"364",0.128715916839231
"365",9.78106222127018e-07
"366",0.0549415228118202
"367",0.00892889597323698
"368",1.17378609953978e-06
"369",0.0603629923405303
"370",0.114450742774346
"371",0.00872599735187141
"372",0.00019744325928972
"373",0.00137772078304021
"374",0.178140664386703
"375",0.0558122157743162
"376",0.10661014259944
"377",0.0343260146318474
"378",0.0998687065165913
"379",0.00103237963715197
"380",1.82978827645286e-08
"381",0.000596678361096226
"382",0
"383",0.0220354027478438
"384",0.0460972475426249
"385",0.872844346368705
"386",0.051029270163516
"387",0.027604921079851
"388",0.00119208530228132
