"","x"
"1",0
"2",0
"3",1.60043867047932e-10
"4",4.6665227237952e-11
"5",0
"6",0
"7",0
"8",0
"9",0
"10",2.37452686402406e-08
"11",5.981505291075e-10
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",2.75358624790556e-11
"26",0
"27",5.70878027073007e-07
"28",0
"29",6.28397334168085e-12
"30",3.23472360008736e-11
"31",0
"32",0
"33",0.0118152323323909
"34",0
"35",3.62099239481495e-12
"36",0
"37",0
"38",0.00153594432592563
"39",0.00303987840859066
"40",0.00042348745157117
"41",0.49431765279332
"42",0
"43",0
"44",0
"45",0.000238259165161181
"46",4.47347816123767e-07
"47",0
"48",0.746742129567228
"49",0.0149946826868167
"50",0.0570967209236091
"51",0.0113853989104054
"52",7.14203918228407e-10
"53",0.192637332893306
"54",0
"55",0.0249497745772362
"56",0.000605128218309492
"57",0.0128820543654145
"58",2.94908477638245e-08
"59",0.000126172307311712
"60",0
"61",0
"62",0
"63",0.328598379192403
"64",0.0446339790390398
"65",0.232871451219417
"66",3.68948847657702e-05
"67",0.177564214486507
"68",0.0629050726258402
"69",0.0639673398438765
"70",0.00935174156406271
"71",0.00720792916926172
"72",0
"73",3.2463033999397e-05
"74",0.00277805323824054
"75",0.00444210748186302
"76",2.06348824746128e-05
"77",0.00503720587543832
"78",6.41031792991686e-06
"79",0.00205136470164291
"80",2.24013838767689e-06
"81",0
"82",0.0122352844313527
"83",1.86192394835416e-10
"84",0.00358565494425489
"85",0.00160627128106683
"86",0.000628600888737618
"87",0.000171744109879413
"88",2.77555756156289e-15
"89",5.43741450764745e-06
"90",0.00180684138868914
"91",0.0540825597613732
"92",0.00193786844858623
"93",0
"94",0
"95",0
"96",8.88178419700125e-15
"97",0.0233219874767221
"98",5.84404058479038e-09
"99",0.181873252982778
"100",0.0212987359350805
"101",0.0282515659048144
"102",0.00244269249993834
"103",0.0111300023541889
"104",0.000128753040496754
"105",0.000450615373582153
"106",0.015846510045897
"107",0.00340963069711575
"108",0.0132243907182836
"109",3.34088579023728e-08
"110",0.000412814290247643
"111",0.00226316029612361
"112",0
"113",0
"114",0
"115",0.131720451544439
