"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",4.07741063135347e-10
"10",0.00145616892935485
"11",1.49206078259301e-06
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0.000870249933533573
"25",0.00125513085513684
"26",0
"27",5.82822679007222e-12
"28",5.37587148574659e-07
"29",2.59160115922974e-07
"30",4.8382556849802e-09
"31",0
"32",0
"33",0
"34",0
"35",0.00011750790681142
"36",0
"37",0
"38",4.41476991208667e-05
"39",0.00172470521814605
"40",0.572467196051916
"41",0.00945168639341232
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0.00125572565588206
"50",0.00698160677460291
"51",0.0477851836447248
"52",0
"53",0.0636456343292484
"54",0
"55",0.015336126915426
"56",0.0102602018719964
"57",0.0280729719949356
"58",1.53417278880852e-11
"59",0.0570903221866913
"60",0
"61",0
"62",0
"63",0.166164257828955
"64",0.000189733074789533
"65",0.0461262675469464
"66",0.177619570689402
"67",0.0908789177460798
"68",0.00194913619542914
"69",3.15855936638965e-06
"70",8.24980095348593e-09
"71",0
"72",0
"73",0.0383291260408182
"74",3.49362248353025e-07
"75",0.00180662788245267
"76",0.000182851928190453
"77",4.49751347275651e-13
"78",9.00390872971002e-14
"79",4.92650603145517e-06
"80",0.000976174266253405
"81",1.39777078800307e-13
"82",2.00517824566759e-09
"83",7.45348227582099e-12
"84",1.94777039319582e-06
"85",0.129387981876902
"86",0.152582520869084
"87",0.00240672554049959
"88",0
"89",1.28920708575286e-05
"90",2.23301599433512e-10
"91",0.00881707160019818
"92",3.70289529150192e-07
"93",0
"94",0
"95",0
"96",0
"97",0.000222150273361255
"98",1.4606205134271e-11
"99",1.70062805417981e-05
"100",0.00255989052171335
"101",0.207560846525519
"102",0.00703822244099217
"103",0.0392859926725992
"104",0.0123543590374198
"105",0.13243835465446
"106",0.0331332168473697
"107",4.31493483346035e-05
"108",0.432191405482334
"109",3.04207147769908e-05
"110",0.901921803502325
"111",4.15501808204155e-06
"112",0
"113",0
"114",0
"115",2.45062700576781e-07
"116",7.54550095942719e-05
"117",0.000709452775785491
"118",2.12009957711867e-06
