"","x"
"1",4.32986979603811e-15
"2",2.53178926490349e-07
"3",6.78346268045971e-14
"4",1.15889520202472e-11
"5",0
"6",0
"7",0
"8",0
"9",0
"10",5.5081272876123e-11
"11",0
"12",0
"13",0
"14",0
"15",8.10795874883752e-13
"16",0
"17",2.22044604925031e-16
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",2.39853207373297e-06
"26",0
"27",2.61065058460019e-10
"28",0
"29",1.97591286508203e-05
"30",1.33462019213937e-10
"31",0
"32",0
"33",2.88657986402541e-14
"34",0
"35",0
"36",0
"37",0
"38",0.010676700607766
"39",0.270154081541309
"40",0.0303914705111501
"41",0.291695808377893
"42",0
"43",0
"44",0
"45",1.73194791841524e-14
"46",0
"47",0
"48",4.56018045147388e-06
"49",0.00238448826671078
"50",0.00132535900611219
"51",0.0739070458799861
"52",0
"53",0.0424992053762915
"54",0
"55",0.286286052814173
"56",0.00102696215036746
"57",0.0120832057695691
"58",6.78115149588265e-08
"59",1.21964482199255e-05
"60",0
"61",0
"62",0
"63",0.17558980676642
"64",0.169340329424409
"65",0.668520123596692
"66",1.13386273592475e-07
"67",0.0355411357116385
"68",4.66624959077899e-05
"69",4.91325856223357e-05
"70",5.11939730496458e-07
"71",3.18300941160032e-13
"72",0
"73",3.2404521277396e-07
"74",2.15966483233521e-05
"75",2.43273497946284e-06
"76",0.00484983096809688
"77",0.0352489570459608
"78",6.39599484486553e-13
"79",1.59907975749718e-09
"80",0.00148678750338127
"81",9.59354762297693e-09
"82",5.75378284528583e-06
"83",5.32302502076476e-08
"84",2.01210710315536e-06
"85",0.0896042610319234
"86",0.00240947828493487
"87",0.000158744828455459
"88",0
"89",6.74580125969992e-06
"90",0.000361745895458232
"91",0.00685973862549827
"92",7.29780609054487e-07
"93",0
"94",0
"95",0
"96",0
"97",0.231473264042825
"98",0
"99",0.257763381732678
"100",0.00565808195982331
"101",0.000278689593177228
"102",0.0632151543879608
"103",4.71350519656299e-05
"104",0.00111481780886846
"105",0.222221119561132
"106",0.000179470538280935
"107",0.141721832077116
"108",0.000302126360264054
"109",9.69078669421641e-07
"110",1.73001947734175e-06
"111",2.41635755293679e-07
"112",0
"113",0
"114",0
"115",5.2653703880301e-06
"116",0.0256872081143256
"117",0.00843084112478698
"118",1.23211729707862e-09
"119",0.0189401364353734
"120",2.56859029046375e-07
"121",0.118860994673177
"122",7.50347229144799e-05
"123",0
"124",0.0191483750411802
"125",0
"126",0.0098442095418726
"127",0
"128",6.13067818733271e-10
"129",8.96454375622913e-05
"130",0.00271397997324196
"131",0.00650896560781211
