"","x"
"1",0.00345874678413516
"2",3.28685172079624e-06
"3",0.0783004323281381
"4",0.00984793525611127
"5",0.00545022037754428
"6",0
"7",4.77701863954572e-07
"8",3.92696986040164e-12
"9",0.00680586754599555
"10",0.465758629851236
"11",0.0801533813483005
"12",0
"13",1.13855899386284e-06
"14",0.00029656206546369
"15",1.14904783099501e-06
"16",0.000726337262018539
"17",0.000851142180283704
"18",5.89342709078622e-08
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0.000600152811024324
"25",0.183935228006469
"26",0
"27",0.0118928688495634
"28",0.0367049244711745
"29",0.0657173522586938
"30",0.0635258021249955
"31",0
"32",3.77467601619941e-09
"33",0.172789541934164
"34",0
"35",0.159460614023766
"36",0
"37",0
"38",0.0181217564282901
"39",0.02445305934561
"40",0.37543793519632
"41",0.0642636498098469
"42",0
"43",0
"44",9.53914724988181e-12
"45",0.00139759668782735
"46",0.00555228179252865
"47",7.39147560935294e-08
"48",0.2490198171553
"49",0.000611075523664684
"50",0.0108330036046717
"51",0.133172705909622
"52",2.97591390419072e-08
"53",0.420087283039437
"54",0
"55",0.00389204564725809
"56",0.00175209531591192
"57",0.000827703126861645
"58",0.269275287305594
"59",0.00109948750396527
"60",3.48210349443434e-11
"61",0
"62",0
"63",0.00400197466919805
"64",0.0164797649032139
"65",0.575481681629239
"66",0.102820092784193
"67",0.00152444272233809
"68",0.0068626987526782
"69",0.00293388904589631
"70",0.000403542487819153
"71",0.00127474786246939
"72",0
"73",0.00685550301803939
"74",0.000881221834185375
"75",0.000868490824465828
"76",1.62489675048505e-07
"77",0.000164318876912151
"78",1.00413847864411e-05
"79",0.0083066783085014
"80",5.25989807265148e-10
"81",1.00858678075966e-08
"82",0.00120324417869533
"83",0.000126047821358943
"84",4.82727054329501e-05
"85",2.58843920741825e-07
"86",0.369649834984624
"87",2.70510602806695e-08
"88",4.06363326224124e-05
"89",0.00830535152899614
"90",2.82281309438304e-10
"91",0.0885922747879974
"92",0.00334321180440511
"93",0
"94",3.14681614099754e-12
"95",0
"96",1.82009962657048e-12
"97",0.492901347742994
"98",1.65381098704565e-07
"99",0.0030074164014382
"100",0.0281830303292355
"101",0.0211630507844214
"102",0.00368659294270746
"103",0.00141465768339533
"104",0.00126141292385529
"105",0.0641621605844183
"106",0.000106283856002753
"107",0.000127396818047187
"108",0.000974561668940721
"109",0.00517368196208667
"110",0.0304926508026745
"111",0.0129871372838867
"112",0
"113",0
"114",0
"115",9.22910679979072e-06
"116",0.000222177223112463
"117",0.000139836461668263
"118",1.43461397206224e-08
"119",0.0325180406400921
"120",0.00607752110400728
"121",0.487637132834902
"122",0.00228253792754574
"123",0
"124",0.000338209416859692
"125",0
"126",0.00743907294896884
"127",1.35384259358773e-10
"128",1.29993782879145e-05
"129",7.30918087685772e-05
"130",0.000102585148336276
"131",6.27785966544891e-08
"132",3.44910953131716e-08
"133",2.72170949329187e-05
"134",0.100671554480224
"135",1.92055660264145e-09
"136",0
"137",2.92378232735757e-10
"138",1.6928599411159e-08
"139",3.89918120250465e-05
"140",0.0130680299339395
"141",1.36199540534676e-09
"142",0.0248701922173137
"143",1.03754219094032e-06
"144",1.4569819795085e-08
"145",2.37637171052185e-08
"146",2.36247876972406e-06
"147",3.01970696447995e-06
"148",3.20650990981441e-07
"149",3.70573963104359e-06
"150",9.83140099330981e-08
"151",4.01409201900016e-06
"152",1.31909217992998e-08
"153",1.78730668946026e-05
"154",1.05465440756181e-05
"155",2.76220778472336e-08
"156",2.72819092095311e-07
"157",5.43082634418823e-09
"158",1.02140518265514e-14
"159",1.95743447695129e-06
"160",1.34575683929938e-11
"161",4.08232720072732e-07
"162",8.12150013906887e-10
"163",1.62197139474962e-06
"164",3.25665155953558e-07
"165",0.000122079710845435
"166",8.39233344995804e-06
"167",2.75935407856309e-09
"168",0.0021838104986498
"169",9.56547982933209e-07
"170",0.000137454098049328
"171",1.49330547927207e-11
"172",1.15974130299179e-09
"173",1.95223003717215e-05
"174",4.16846444029062e-08
"175",3.64746331630306e-05
"176",5.93708552321104e-08
"177",6.68605859566185e-09
"178",4.8529624763205e-11
"179",2.79323342233795e-10
"180",1.80626624768365e-11
"181",1.78698249531095e-07
"182",0.0135709659011608
"183",1.53498955324238e-07
"184",0.00181737057531284
"185",4.01237931768605e-11
"186",2.79633842747984e-08
"187",0.00121901895709997
"188",0.00185724510283003
"189",5.27879574052648e-05
"190",0.00137237839247628
"191",2.18559632503279e-07
"192",0.0537673766158963
"193",5.10842368406372e-10
"194",0.000495075663237587
"195",2.94497759512069e-12
"196",5.67918395200095e-07
"197",6.39179525085964e-07
"198",0.0019133191802635
"199",0.021997383498247
"200",0
"201",0
"202",0
"203",0
"204",0.000877685612271084
"205",0.0376354017513267
"206",0.00368605541697908
"207",0.00052215315530757
"208",0.196161976674065
"209",0.171129721992049
"210",0.13352943943455
"211",8.70906211924982e-07
"212",0.0844410877542149
"213",0.00244863669558526
"214",0
"215",0.0668181252491273
"216",0.00154114569134634
"217",0.000330289410766071
"218",0.00990046393645683
"219",0.000560908700393825
"220",5.35173881444084e-06
"221",0.00022052404539874
"222",0.00124402951784419
"223",0.00123339271487588
"224",0.000147325704471291
"225",3.37165798405259e-05
"226",0.00310139072829063
"227",7.50696934170847e-07
"228",0.0125878334839066
"229",2.21560290238898e-05
"230",0
"231",0.000196894879603615
"232",0
"233",0.00247697616906106
"234",2.37683206449901e-11
"235",0.00799968123428774
"236",4.49085213460876e-13
"237",0.000140139515937943
"238",0
"239",7.25569114778946e-06
"240",0.00374774131454081
"241",0
"242",6.03372907193034e-12
"243",0.000396068081516598
"244",0.000412278490667273
"245",2.82117107763824e-06
"246",7.9269014685579e-09
"247",3.10862446895044e-15
"248",2.99760216648792e-15
"249",0.000127805519388846
"250",0
"251",0
"252",2.40493870767855e-05
"253",0.0028426605446501
"254",0
"255",0
"256",0
"257",0.000152865458877494
"258",0.0181384251212241
"259",1.48769885299771e-13
"260",5.00081120957674e-09
"261",1.42648878083129e-05
"262",0.00885095858799723
"263",4.59588402890176e-08
"264",0.0744662235191698
"265",7.71660547316255e-06
"266",4.5852210917019e-14
"267",1.83646797768944e-09
"268",1.14734130272076e-05
"269",1.73973790928983e-08
"270",2.1069235467408e-08
"271",0.000538839354474741
"272",4.95714580495132e-13
"273",0.0660053919089157
"274",9.28514307885209e-07
"275",0.000131694389706172
"276",3.01488814100637e-05
"277",6.0112940887258e-06
"278",2.06356829740573e-05
"279",1.47870604649825e-12
"280",0.00468636437160508
"281",5.66969390493055e-05
"282",8.94394003303489e-10
"283",9.72000937182749e-07
"284",2.88253807279037e-06
"285",0
"286",8.53438997250322e-09
"287",4.47124781643993e-10
"288",2.64677169070637e-12
"289",1.99625777697054e-05
"290",0.00136427559206842
"291",1.18286935801848e-09
"292",3.0689316865562e-08
"293",7.71565979281741e-05
"294",0
"295",1.58323021359763e-10
"296",1.85446158962321e-06
"297",4.55248727604385e-10
"298",1.67964118058528e-07
"299",0.0399857017324236
"300",8.14438006357943e-06
