"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0.000112400183909345
"12",5.45929281893232e-05
"13",0
"14",2.15707173456536e-07
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0.0314755102919068
"23",0
"24",2.42420195029069e-10
"25",0
"26",0
"27",0
"28",0
"29",2.6113000650696e-11
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0.00467625137374805
"38",0
"39",0
"40",0.0129237267505578
"41",0
"42",3.21964677141295e-15
"43",0
"44",0
"45",0
"46",0
"47",1.51878509768721e-13
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",2.75335310107039e-14
"58",0.0124751795418514
"59",0
"60",0
"61",0
"62",0
"63",9.43689570931383e-15
"64",0
"65",0
"66",0
"67",0.0559526093316008
"68",0.00199310211479209
"69",0
"70",0.000230701367546438
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",1.00485793574911e-07
"82",0
"83",3.35500282000467e-08
"84",3.86893260762022e-08
"85",0
"86",0.000505306747534684
"87",0
"88",0.0323319178060482
"89",0
"90",0
"91",0
"92",0
"93",0
"94",4.44089209850063e-16
"95",0
"96",0.0160993093317222
"97",0
"98",0
"99",0
"100",0.00511677019013845
"101",0
"102",1.5325128943644e-09
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0.0239649184677068
"109",0
"110",0
"111",0.524748197557381
"112",6.0319195194225e-09
"113",4.81735972902575e-05
"114",1.17017506795491e-13
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0.0146650834873291
"121",0.00618236880653289
"122",0.0174387007068952
"123",0
"124",0
"125",0
"126",0.895819713247754
"127",8.82004469460185e-10
"128",0
"129",1.34656698014268e-08
"130",0
"131",0
"132",0
"133",0
"134",0.366071695255392
"135",0
"136",0
"137",0
"138",1.22683752046271e-10
"139",0
"140",0
"141",0
"142",2.1070944952184e-06
"143",0.349531687095856
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",3.51142973186169e-05
"151",0
"152",0
"153",0
"154",0
"155",0
"156",1.39145794882944e-05
"157",0
