"","x"
"1",0
"2",1.08452817948468e-07
"3",0.00797033167398842
"4",0
"5",1.1306573455272e-08
"6",1.22073429461578e-05
"7",0.00077733289577242
"8",2.68305827555437e-08
"9",0
"10",0
"11",0
"12",6.92066848273498e-10
"13",1.88737914186277e-15
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",1.90176763226191e-11
"22",1.58579480991072e-07
"23",0
"24",5.55111512312578e-16
"25",0
"26",2.20468088230064e-12
"27",0
"28",8.66127236598402e-09
"29",0
"30",0
"31",0
"32",1.06645021251683e-05
"33",1.19904086659517e-13
"34",0
"35",4.89186469110336e-11
"36",1.50966208289915e-06
"37",0
"38",1.29116695113396e-09
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1.17792101628211e-08
"46",0
"47",0
"48",0
"49",0.000788424192827986
"50",0
"51",4.9134879942514e-08
"52",2.11365060120983e-07
"53",3.19392290393239e-11
"54",8.83434119890447e-05
"55",0
"56",0
"57",0.0037886992937245
"58",2.42805259786927e-07
"59",0
"60",0.000157537710849587
"61",0.000220303646573439
"62",0.000161088483905947
"63",1.70002242584344e-05
"64",0
"65",0
"66",0
"67",0.00838846573603591
"68",0.00511302085074516
"69",0.00714667707912064
"70",0.00200701631645006
"71",0
"72",1.4432899320127e-15
"73",0.00161456821702
"74",0
"75",1.3483636429612e-10
"76",0
"77",0
"78",0
"79",1.26381802800779e-08
"80",0.0102175210641524
"81",7.7715611723761e-16
"82",0
"83",0
"84",0.0032363414222023
"85",0
"86",0
"87",2.46688314220478e-09
"88",0.0010705093816834
"89",0
"90",3.15162771946653e-06
"91",1.66921628673711e-05
"92",0
"93",0
"94",0.00311232263630656
"95",0.000233844234796998
"96",7.59656804127928e-09
"97",2.97560087680893e-10
"98",3.94328363217955e-06
"99",0
"100",0
"101",0
"102",0
"103",0
"104",2.08365925624676e-08
"105",0
"106",0
"107",0
"108",2.1094237467878e-15
"109",0
"110",3.21964677141295e-15
"111",2.35889852584492e-06
"112",0
"113",0
"114",3.99680288865056e-15
"115",0
"116",0
"117",0
"118",0
"119",0
"120",5.217271059621e-12
"121",0
"122",0
"123",0
"124",5.7382543161566e-10
"125",1.81973736079755e-09
"126",6.08827432913017e-11
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",1.95443772743609e-06
"134",0
"135",0
"136",0
"137",1.59607882466162e-11
"138",7.16707912562509e-06
"139",0
"140",0
"141",0
"142",4.48798109786708e-10
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0.0882931634428229
"151",0
"152",2.30468235051795e-07
"153",0
"154",0
"155",0
"156",0
"157",0
"158",6.66133814775094e-15
"159",0
"160",0.0566087554915062
"161",0
"162",0
"163",0
"164",0.0471254063697316
"165",0
"166",0
"167",0
"168",0
"169",0.000442920500254185
"170",0
"171",1.59108382994377e-05
"172",1.00619731161489e-05
"173",9.05223462854821e-09
"174",3.56979503735033e-08
"175",0.375725105044996
"176",5.195385688328e-08
"177",1.31682398982758e-05
"178",1.8681352487171e-07
"179",0
"180",0.00447079410385176
"181",2.04431688022311e-07
"182",5.7829027788614e-08
"183",0.458226193784158
"184",1.84572349322121e-05
"185",0.144452291285505
"186",0.03129636840954
"187",0.00169190709962785
"188",0.0227982470093875
"189",0
"190",0.000611899720464937
"191",0.000251311093160567
"192",0.000154171061589992
"193",0.00290576619841287
"194",0
"195",3.93185484170999e-12
"196",2.23575808699916e-06
"197",0
"198",0.0010508687650278
"199",0.0821240305489289
"200",0.0395963981783835
"201",0.034226169296381
"202",5.27110532111408e-07
"203",0.178112875784304
"204",0.00321459452293871
"205",4.73484858209972e-07
"206",0
"207",0
"208",0
"209",0.0107112618486116
"210",0.000279081765293121
"211",0.0804198289919988
"212",0.0378490869535317
"213",1.65683820052553e-05
"214",0.000114670733084465
"215",0
"216",0
"217",0.00808715496969148
"218",5.18369915880612e-08
"219",0.00669316199782122
"220",0.000129110242388819
"221",5.04346531204902e-09
"222",1.67643676718399e-14
"223",7.51438867796494e-07
"224",1.66573693248795e-05
"225",2.82857350142329e-06
"226",0.000232687325689929
"227",3.23841485825316e-05
"228",0.0245196002993712
"229",0
"230",0
"231",1.75457759432618e-10
"232",1.58814176243194e-05
"233",2.24265050974282e-14
"234",3.92442408146954e-05
"235",0
"236",2.03859151781671e-12
"237",7.76234646104879e-06
"238",1.28644320496196e-06
"239",4.86490722695354e-06
"240",8.99336161097608e-12
"241",2.07730294015107e-05
"242",0
"243",0
"244",1.7374436546147e-06
"245",0
"246",1.15585369431237e-05
"247",6.28493671772645e-05
"248",4.05817066617686e-08
"249",0.36550764195926
"250",7.2308984191416e-06
"251",0.00411189790243394
"252",3.46859208022465e-11
"253",8.23343518030484e-07
"254",0
"255",0
"256",5.57046940052874e-06
"257",0
"258",2.82521195327234e-07
"259",0.000457453888977222
"260",0.000639336030566318
"261",0.00010419873254941
"262",0
"263",3.73521708307845e-06
"264",0.000107267331048488
"265",0
"266",0.0323427818056069
"267",0.0353454475763914
"268",0.410851152641745
"269",0.395470847463748
"270",0.00689312671027109
"271",5.20788496616298e-06
"272",0.249607127563383
"273",0.0187190509448333
"274",0.00047309145662966
"275",1.0325074129014e-14
"276",0
"277",0.0119588531862083
"278",6.6152754119031e-07
"279",0.00011690814486931
"280",1.05932403959841e-08
"281",0.0196168177878907
"282",0
"283",0
"284",3.18024173173725e-05
"285",3.4469792408065e-05
"286",7.97436100633542e-05
"287",0.0340756489408083
"288",0.000109861296662128
"289",0.0123883436377635
"290",0.000539070000039499
"291",0.00631761412332377
"292",0.232440778853568
"293",0
"294",0
"295",8.35119828845876e-09
"296",0.0142321799227491
"297",3.26162485908554e-09
"298",5.80435602914875e-08
"299",0
"300",5.52623724558998e-09
"301",0
"302",0
"303",0
"304",0
"305",0
"306",4.61018112574152e-10
"307",1.79246617548756e-11
"308",6.13314218633754e-07
"309",0
"310",1.85634002614066e-08
"311",0
"312",1.48225753893172e-09
"313",3.17523785042795e-14
"314",0
"315",0
"316",0
"317",1.42378897560747e-09
"318",6.20906992487846e-10
"319",0
"320",1.51760489730535e-08
"321",1.11022302462516e-16
"322",0
"323",0.0103536805768246
"324",0
"325",0
"326",0
"327",0.00210531995976204
"328",1.60603340528809e-05
"329",0
"330",0.000113874705853778
"331",1.25289447747701e-05
"332",0.000376586726536621
"333",1.67078547008703e-06
"334",0
"335",1.41598044400837e-09
"336",1.79546639267336e-06
"337",2.10127570898777e-09
"338",3.77480768865013e-09
"339",4.36641611756272e-10
"340",1.24773780617593e-05
"341",1.31405997194634e-12
"342",0
"343",1.91172214725199e-08
"344",0
"345",0.0443045280813462
"346",0
"347",0.000564290949632729
"348",3.12521985512682e-07
"349",3.07043279690333e-12
"350",1.68412667911344e-06
"351",0.00146325064502872
"352",0
"353",9.97931036494926e-06
"354",0
"355",0.00238326032158187
"356",8.40442160310317e-11
"357",7.7715611723761e-16
"358",2.87349699590322e-09
"359",0
"360",0
"361",0
"362",0
"363",0
"364",6.57696119787943e-13
"365",0
"366",7.6894559570384e-05
"367",1.29540822513263e-12
"368",0
"369",0
"370",7.03138581803486e-07
"371",0
"372",0
"373",4.66091198981777e-05
"374",5.16535350780778e-06
"375",0
"376",0.110835111415338
"377",4.55110155450633e-07
"378",0
"379",0
"380",0
"381",0
"382",1.89659499216788e-09
"383",0
"384",2.41436681758245e-08
"385",0
"386",0
"387",0
"388",0
"389",2.51386827321287e-06
"390",0
"391",0
"392",0
"393",2.51719329824596e-08
"394",0.000176464623819927
"395",0
"396",0.000150234260925752
"397",0
"398",1.50912171648088e-09
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
