"","x"
"1",0
"2",0
"3",0
"4",0.0069473819319068
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",2.38547918496312e-06
"13",9.62806392390547e-08
"14",5.5857708072371e-05
"15",0.00900503851357382
"16",0
"17",0.000190609062879599
"18",0.0201665375530314
"19",0
"20",3.6507685763354e-11
"21",0.000190073762595833
"22",0.0103480020999224
"23",6.37723428731363e-07
"24",5.01625975202202e-08
"25",1.32734560720493e-06
"26",0
"27",0
"28",0.0169584919324485
"29",0
"30",6.1837834852696e-10
"31",0.00313610443611734
"32",0
"33",0.00439479060756376
"34",0.0383007028016005
"35",0.304428148780696
"36",8.26960844788616e-05
"37",0
"38",0
"39",0.0498255289157168
"40",0
"41",0
"42",0.364602288246606
"43",0
"44",0.0105582304589181
"45",2.5251366475576e-07
"46",0.0581237803278909
"47",0
"48",0
"49",0
"50",0
"51",0.17347882596549
"52",2.70228284193763e-13
"53",1.90873025607274e-07
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",7.15407226348219e-07
"61",0.000503511307262894
"62",0.153999333045148
"63",8.51881054475534e-07
"64",9.46909217702796e-13
"65",0.00128489171577717
"66",0
"67",0.147172256631368
"68",0.356691020235024
"69",3.50485351852114e-09
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",2.50496389376798e-05
"81",3.11594416935179e-10
"82",0.0173207510709125
"83",1.33226762955019e-15
"84",0.502812625314998
"85",0.00162306660678968
"86",0.00169417712941522
"87",3.01992233346926e-05
"88",0.0054054736163982
"89",0.00500849178305407
"90",1.15048923182703e-05
"91",0.00861506374251353
"92",6.16600622560526e-06
"93",5.44986278327997e-12
"94",0
"95",0
"96",0
"97",0.00213541424206143
"98",0.00577907011524648
"99",0.00467963918472514
"100",5.0821891028896e-08
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",1.63979940737136e-13
"112",0
"113",0
"114",0
"115",0
"116",1.09499961109538e-06
"117",3.02648514737269e-05
"118",7.38448891853816e-05
"119",0
"120",7.44897313962323e-05
"121",0
"122",0
"123",0
"124",0
"125",0.00227514928541106
"126",8.84947896850896e-07
