"","x"
"1",0
"2",0
"3",1.33226762955019e-14
"4",0.066369315609623
"5",0
"6",0
"7",0
"8",0
"9",5.55111512312578e-16
"10",0
"11",6.38822328369315e-13
"12",0.00389338476757262
"13",2.14273496661477e-05
"14",3.44285133735411e-09
"15",0.00163787890847056
"16",0
"17",1.37406952005481e-06
"18",0.000350965468317699
"19",0
"20",9.43689570931383e-15
"21",0.000115799416249951
"22",0.12783859340923
"23",5.85887988124867e-08
"24",0
"25",1.1731705653828e-05
"26",0
"27",0
"28",3.26807242500005e-05
"29",0
"30",7.76617526954126e-08
"31",4.44674538901957e-06
"32",4.48415792275725e-08
"33",1.8367730669766e-09
"34",5.56018176944839e-07
"35",7.7715611723761e-16
"36",6.49147402498329e-13
"37",0
"38",0
"39",0.0034203153422937
"40",0
"41",0
"42",2.41595758954105e-08
"43",3.47786088816804e-09
"44",0.00159448810785945
"45",0.0455323686698538
"46",1.11022302462516e-16
"47",0
"48",0
"49",0
"50",0
"51",1.2179146580138e-11
"52",0.0161729787037319
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",1.55431223447522e-15
"62",9.76996261670138e-14
"63",0
"64",0.00229297153234242
"65",0.00539936405126773
"66",4.19139769789467e-05
"67",7.3928412452906e-06
"68",0.0184052376421477
"69",4.8888651371648e-07
"70",0
"71",0
"72",0
"73",0
"74",0.122594220048728
"75",0
"76",0
"77",0
"78",0
"79",0.00753630407261474
"80",0.00117975686324867
"81",0.000165310003038988
"82",1.72305153228747e-05
"83",0.000173270885545196
"84",0.000101250507133721
"85",0.0147713977297617
"86",2.92807670895234e-05
"87",0.0103750112693273
"88",9.44867819097084e-07
"89",8.11655285095636e-05
"90",0.450706760952823
"91",0.00479619087651395
"92",0.00317178524562867
"93",0.0209814704426591
"94",0.00930320612907576
"95",0.0841546705161815
"96",0.220725850230091
"97",0.000958549308962997
"98",0.0189856221005245
"99",0.000620018266525579
"100",2.31813184048413e-06
"101",1.13545839397489e-10
"102",4.66293670342566e-15
"103",6.66133814775094e-16
"104",0.00118462869285996
"105",0
"106",0
"107",3.95779688566744e-05
"108",1.77635683940025e-15
"109",4.88512316487721e-07
"110",3.13738479640335e-10
