"","x"
"1",1.09788500153307e-05
"2",9.99200722162641e-16
"3",3.47640488085332e-06
"4",1.84325082208669e-06
"5",0
"6",0
"7",0.0024188380935215
"8",0.00020702318308452
"9",6.28396971125156e-08
"10",0.000736801000215781
"11",0.00794560634101726
"12",0.443325400095192
"13",2.89152594724618e-05
"14",0.0234048239152846
"15",0.0201611869954604
"16",0
"17",0.000157126948536312
"18",2.74179541068786e-05
"19",0
"20",3.97126788576063e-06
"21",0.0117922595362158
"22",0.0118734833579501
"23",0.00052742621831825
"24",4.29248660205328e-06
"25",0.00355293231515275
"26",0
"27",6.6713888968728e-08
"28",0.00744645581667225
"29",0
"30",0.000755118004391098
"31",0.157921043647662
"32",2.97534851756431e-07
"33",0.035810610010469
"34",0.00149055319073088
"35",4.31806582579242e-06
"36",0.00213168223368598
"37",0
"38",2.55351295663786e-15
"39",0.127304417841882
"40",0
"41",0
"42",0.0115890777387402
"43",8.81627560997966e-05
"44",1.80199166388562e-06
"45",0.486649220462724
"46",0.00222169683834106
"47",1.26050448412407e-07
"48",0
"49",3.27055074134108e-08
"50",0.000487338232984857
"51",0.00210072734028932
"52",0.0133726903987158
"53",0.000587594823179605
"54",1.68198788230711e-13
"55",0
"56",0
"57",0
"58",4.84994588934029e-09
"59",0.568130599134259
"60",9.65148313525344e-06
"61",0.0168856770005047
"62",0.000251418974933748
"63",2.24316733182794e-05
"64",0.000784556028337602
"65",5.71952469130554e-06
"66",2.50060985029776e-07
"67",5.138456671272e-08
"68",0.00615096517473368
"69",2.32627052310086e-06
"70",0
"71",0
"72",0
"73",0
"74",2.97960960649046e-06
"75",0
"76",3.4376377411327e-08
"77",2.00210958922753e-11
"78",0
"79",0.00188247673419251
"80",6.26234799572245e-08
"81",2.33666513138608e-07
"82",2.98894172742203e-05
"83",4.20705592585335e-08
"84",3.68549051721345e-07
"85",2.70283795344994e-12
"86",7.4703189079095e-06
"87",0.0166714118704575
"88",4.91081619813372e-10
"89",0.000754024501640638
"90",8.95576178705504e-06
"91",1.68538649703009e-08
"92",6.79791783514405e-05
"93",1.01858403880328e-05
"94",0.57369044882459
"95",6.25766423645313e-06
"96",0.0184164226612648
"97",3.46450917356744e-05
"98",0.0205154445718084
"99",0.00018306359069109
"100",3.87217339070656e-06
"101",2.35248106428276e-06
"102",0.00540871902602091
"103",7.80754683127327e-10
"104",1.88111815013770e-09
"105",1.11022302462516e-16
"106",5.14033260401447e-14
"107",1.19595322534138e-09
"108",0
"109",9.31406453272832e-05
"110",1.27727047605219e-07
"111",5.85383424627217e-05
"112",1.41350417115493e-06
"113",0
"114",0
"115",0
"116",0.372091675719357
"117",0.000623713329638953
"118",5.0852436985549e-05
"119",0.000484460940083808
"120",0.00165511896467374
"121",1.64797885426893e-06
"122",0.000894464973729359
"123",7.63180885154924e-09
"124",0.000253817755058061
"125",0.00255561681037675
"126",0.0436784077657361
"127",3.68752238303349e-05
"128",7.69203465478263e-05
"129",2.47330757437991e-05
"130",0.00531294346319611
"131",4.28401758512109e-12
"132",1.02388241927098e-05
"133",0.000308834241154465
"134",1.5746116285964e-05
"135",1.68403369027459e-09
"136",2.97302115789266e-05
"137",0
"138",1.74327219326642e-12
"139",0
"140",2.10061512946336e-05
"141",6.85200929329e-09
"142",1.01774144667388e-12
"143",1.05480794099222e-08
"144",0
"145",4.79616346638068e-14
"146",2.63426486957208e-07
"147",5.04621612107403e-06
"148",4.38773853916885e-08
"149",0.00101637683376743
"150",6.95695390184881e-10
"151",2.81441536742477e-13
"152",3.20999360425844e-09
"153",0
"154",0.00026349495274447
"155",3.19809290161288e-10
"156",0
"157",0.00422274157968949
"158",2.65112605202233e-08
"159",0.26835915727304
"160",0.00456597688176519
"161",2.60384812433845e-06
"162",0.00503553576511795
"163",2.09574357867837e-10
"164",1.60685731387389e-08
"165",0
"166",4.65008584979998e-05
"167",0
"168",0
"169",3.15625392488528e-09
"170",4.34573229624036e-08
"171",4.9915627187147e-13
"172",0
"173",0
"174",1.31450406115619e-13
"175",0
"176",5.40502005497157e-06
"177",4.61386987504753e-08
"178",4.25747779192465e-05
"179",1.66160418757499e-11
"180",0
"181",1.88523197053314e-10
"182",1.25902641645581e-08
"183",1.22124532708767e-15
"184",0.000309332340436064
"185",2.33146835171283e-15
"186",6.03201670927866e-05
"187",3.61200437559717e-07
"188",0
"189",6.40084297465204e-06
"190",1.22716281580892e-11
"191",6.9363206889328e-07
"192",1.16818907880401e-08
"193",1.42611478182175e-10
"194",5.10702591327572e-15
"195",1.11022302462516e-15
"196",2.41871022998996e-06
"197",7.37647054549484e-10
"198",2.92966553339102e-06
"199",0.0620011149812174
"200",4.60899674981086e-07
"201",3.78295444192212e-07
"202",0.00379796836554092
