"","x"
"1",0
"2",0
"3",0.17160031875028
"4",0.526665071235162
"5",0
"6",0
"7",0
"8",0.0011486846412706
"9",0
"10",0.0202226510022507
"11",0.00481502556785607
"12",0.0581244573156817
"13",1.99417236834698e-07
"14",0.33560197430361
"15",0.297861734349782
"16",0
"17",0.0666259653870721
"18",0.0296204200785708
"19",0
"20",0.00349660817436115
"21",0.199277232275417
"22",0.279932419737364
"23",0.00141350517179406
"24",0.203175761864669
"25",0.573159451328311
"26",0
"27",0
"28",0.00627295646187132
"29",0
"30",0.000226790870889282
"31",0.00188779002731199
"32",0.000179731960262108
"33",4.47387682456224e-11
"34",0.0274155333196288
"35",0.143814535461256
"36",0.425440458588639
"37",0
"38",9.82584009712184e-08
"39",0.270717935393041
"40",0
"41",0
"42",0.0191741056644503
"43",0.0306506094898727
"44",0.127180329056683
"45",0.000154531752322495
"46",2.90416366344193e-06
"47",2.01895611340319e-10
"48",0
"49",3.38137742039724e-06
"50",5.78298522539988e-05
"51",1.06152615173549e-05
"52",0.000496244311078198
"53",0.119521972948517
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0.00132345831116454
"60",0.000398715498112212
"61",1.83788242706928e-05
"62",9.35997488404894e-08
"63",7.11970038480558e-10
"64",0.00118702249199409
"65",0.147125907375008
"66",1.42863734028387e-05
"67",0.0122478523593395
"68",0.0181395135298197
"69",0.000292825387644746
"70",0
"71",0
"72",0
"73",0
"74",0.00125721186715166
"75",0
"76",0
"77",0
"78",0
"79",1.71821197270106e-08
"80",0.0037211773158512
"81",0.00599179765460689
"82",3.1756930640725e-08
"83",0
"84",0.0524060762001639
"85",0.000405197565063076
"86",0.00335115062543845
"87",0.00246261743748599
"88",0.00229463255453011
"89",0.0332088264487774
"90",0.00243391607346088
"91",0.0143295727765316
"92",4.53706201368753e-05
"93",0
"94",0.0370964017594326
"95",0.588949209296437
"96",0.0353200407531656
"97",0.00680100831613339
"98",0.0206871153431578
"99",0.00305845924849668
"100",0.190465856950847
"101",5.01027330435111e-06
"102",6.66133814775094e-16
"103",0
"104",0
"105",0
"106",0
"107",4.44089209850063e-16
"108",0
"109",6.74216238394365e-12
"110",1.41584344248713e-09
"111",7.97417687437019e-11
"112",0
