"","x"
"1",0
"2",0
"3",0
"4",2.20865548072879e-11
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",1.67643676718399e-14
"13",8.18190958939979e-06
"14",6.72855104966175e-11
"15",1.23756560554966e-12
"16",0
"17",0
"18",1.11022302462516e-15
"19",0
"20",0.00163775655629361
"21",4.88498130835069e-15
"22",0.00481588519550968
"23",0.211567610798307
"24",0
"25",0
"26",0
"27",0
"28",1.11022302462516e-16
"29",0
"30",0
"31",0
"32",4.62073348472813e-05
"33",0
"34",0.261630502318617
"35",0.00675743161928199
"36",2.22044604925031e-16
"37",0
"38",0
"39",0
"40",0
"41",0
"42",1.19137913756617e-07
"43",0
"44",0.352204031964792
"45",0.00187764554167558
"46",2.57775911727265e-10
"47",0
"48",0
"49",0
"50",2.72029637704563e-08
"51",3.1983415915704e-11
"52",3.35905969706118e-10
"53",6.33916145686975e-07
"54",0
"55",0
"56",0
"57",0
"58",0
"59",5.08668684950919e-09
"60",0
"61",1.19582121982376e-12
"62",4.85564843888397e-09
"63",0
"64",2.48735486652052e-08
"65",2.33534046545358e-08
"66",0
"67",0.000486715197210552
"68",0.0244247832392642
"69",1.07690830521978e-05
"70",0
"71",0
"72",0
"73",0
"74",0.013629433211941
"75",0
"76",0
"77",0
"78",0
"79",0.00783600875873924
"80",0.0621828714487611
"81",0
"82",0.0059742302011484
"83",0
"84",0.0112715168672934
"85",1.15794769978139e-05
"86",1.66477915564123e-07
"87",0.000278471267779801
"88",0.0189529821173879
"89",9.31750232524564e-11
"90",0.000717118057006361
"91",0.00166466921993202
"92",0.358778232070758
"93",0
"94",0.0165497269575203
"95",0.213059009715127
"96",0.502570259251708
"97",0.376776090850002
"98",0.00882209864059025
"99",0.347290203260476
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",2.22044604925031e-16
"111",1.77013959046235e-11
"112",0
"113",0
"114",0
"115",0
"116",5.23068809040739e-05
"117",1.85525483864524e-10
"118",6.91427470833617e-10
"119",0
"120",7.79614472978807e-09
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",2.1094237467878e-15
"129",8.97146201772614e-09
