"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.00020349094315808
"10",4.87211203858973e-06
"11",2.20161627069171e-05
"12",0
"13",0
"14",2.55804089466238e-07
"15",0
"16",0
"17",0
"18",0
"19",1.33226762955019e-15
"20",9.04831765069503e-14
"21",2.50953514623342e-05
"22",0.00136689604303564
"23",0.0649958594789866
"24",0.408565101090208
"25",0
"26",0.0892607579335759
"27",0
"28",0
"29",0.00876457680242759
"30",0.0342737162774063
"31",0.291685164400378
"32",0.228334376903954
"33",1.53542779601779e-08
"34",5.09387837799302e-07
"35",2.22044604925031e-16
"36",6.71587842004939e-08
"37",2.38770043736736e-08
"38",0.00398718123209629
"39",1.70030656221343e-11
"40",3.83811821202951e-06
"41",0.000372575161247668
"42",0.000711353377816359
"43",0
"44",0
"45",0
"46",0
"47",1.76058916334654e-08
"48",1.44840490567955e-06
"49",0
"50",0.000394190569354302
"51",0.00179246778164266
"52",0
"53",0
"54",0.00114193093713544
"55",0
"56",8.89762497013891e-09
"57",0
"58",1.67905636616617e-07
"59",1.73752662724347e-06
"60",4.71349459463255e-09
"61",0.0717771026691817
"62",0
"63",0
"64",0.000204409340711642
"65",0.578392383766355
"66",1.4410783684693e-05
"67",0.0069994895368567
"68",2.23734275073273e-06
"69",0.000115795623964132
"70",0.000768510830951863
"71",0.0118509825752136
"72",0
"73",0
"74",0
"75",0.000152236458807686
"76",0.135036670613413
"77",0
"78",0
"79",0
"80",8.2905188431126e-05
"81",8.82494077814044e-12
"82",0.00897493460821919
"83",0.00924853259479586
"84",3.13150616548796e-11
"85",0.144377839794252
"86",0.00525808014284257
"87",0.000148863499728535
"88",0.175314147192341
"89",0.00844887370641023
"90",8.04922491521864e-05
"91",0.0861721157428179
"92",0
"93",0
"94",0
"95",0
"96",0.000531938700192192
"97",0.341789398886098
"98",0.00028457578549701
"99",0.00952582394177015
"100",0.000153050347249328
"101",0.000395283090465215
"102",0.0123887414920292
"103",1.38241570680764e-05
"104",0.00156985438198498
"105",6.5123725190297e-08
"106",0.00144913458808782
"107",0
"108",0.0089712466921148
"109",0.214547389682646
"110",0.00297626124161132
"111",0.81157825920101
"112",0.00801514300009798
