"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",5.96189764223709e-14
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",8.25233659185187e-10
"22",2.47086452964673e-06
"23",2.42112161430441e-07
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",1.41320177782234e-10
"32",0
"33",0
"34",0
"35",0
"36",0
"37",2.01281589728985e-07
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",2.66453525910038e-15
"55",1.33226762955019e-15
"56",0
"57",0
"58",0
"59",0.0253465946823072
"60",0.0301487877741169
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0.000307584848268094
"77",0
"78",0
"79",0
"80",0.00313419337459009
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0.0517914138531417
"89",0.0488882393017883
"90",0.0065227632843704
"91",0.649862498635456
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0.185314835253725
"101",0
"102",0.836613787307181
"103",0.000721759652924203
"104",0
"105",0.00303866459872548
"106",0.00304468828316395
"107",0
"108",0.478729061635412
"109",0
"110",0.0185030607850768
"111",0.0300505037402525
"112",0.308712363147434
"113",0
"114",0
"115",0
"116",0.205760034322758
"117",0.0556035650166935
"118",0.025770225767462
"119",0.109185714664037
"120",0.0796469356055377
"121",0.0179237837446151
"122",0.0484052965949461
"123",0
"124",0
"125",0.905037193939466
"126",0.839917451533901
"127",0
"128",0.00429872735026593
"129",0.162854699696275
"130",0.875016490794497
"131",0
"132",2.15375273171503e-10
"133",0
"134",0
"135",0.19161753327084
"136",0
"137",0
"138",0
"139",0.597520478365186
"140",0.00182559652387693
"141",0.31249065185094
"142",0.556674617628414
"143",0
"144",0
"145",0
"146",0.804060064037659
"147",0.150614703101527
"148",0
"149",0
"150",0.622910530586138
"151",5.38085132006927e-11
"152",0
"153",0.467114756988506
"154",2.29134844431655e-09
