"","x"
"1",0
"2",0
"3",2.46821540983433e-09
"4",1.25431119779584e-06
"5",1.09235488220394e-05
"6",2.6963802316482e-05
"7",0
"8",0.00282604094535488
"9",0.00578607019595556
"10",0
"11",0
"12",0
"13",0
"14",4.28941993035892e-10
"15",0
"16",5.81616635964011e-08
"17",0.180958211781589
"18",1.06137321154165e-13
"19",0
"20",0
"21",0.0380555928987654
"22",0
"23",0.364525314738432
"24",0.0211969389250509
"25",0.827029938764653
"26",0.189971540283826
"27",0.00040024338066913
"28",4.02917810109482e-05
"29",0.0055425568516273
"30",0
"31",0
"32",0
"33",0
"34",5.83763491435185e-07
"35",0.116910972355494
"36",0.179469593663497
"37",0
"38",0.991588160755763
"39",0.244655570588279
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0.0136483899968108
"46",2.5486662846852e-06
"47",0
"48",0
"49",0.0041890970384032
"50",4.66293670342566e-13
"51",4.47641923528863e-13
"52",1.47326595367758e-13
"53",2.24698037953885e-12
"54",0
"55",1.64471095620566e-05
"56",4.77395900588817e-15
"57",2.06012984449444e-12
"58",0
"59",1.66533453693773e-15
"60",0
"61",3.35065308831872e-13
"62",0
"63",2.10986783599765e-12
"64",0
"65",5.49896107537862e-08
"66",0
"67",0
"68",0.00109088615779263
"69",2.6089063410728e-06
"70",3.80071529804127e-11
"71",0.000252442505789152
"72",0.0231104686130029
"73",0.105207361377292
"74",0.12630125332305
"75",0.00231044418713067
"76",2.69863020818661e-11
"77",0
"78",0.0129565978658961
"79",3.94877464060528e-11
"80",0
"81",7.57416351859774e-12
"82",2.25431895373163e-11
"83",0
"84",3.80218079243377e-12
"85",0.000535079038176511
"86",0
"87",7.52872764131496e-10
"88",0
"89",0
"90",0.000208914668577975
"91",3.51034121154337e-05
"92",0
"93",1.17698248924825e-08
"94",0
"95",0.00104074174256108
"96",5.02288211023938e-11
"97",1.56963331221505e-12
"98",5.27952943377707e-05
"99",0.242698055509658
"100",2.84328116606503e-13
"101",0
"102",0
"103",0
"104",0.112904504319397
"105",0.0114251820278595
"106",0
"107",4.54347233169727e-08
"108",3.32207036102261e-07
"109",4.06810906961041e-07
"110",0
"111",0.000679016845649749
"112",0
"113",0.0256598934470924
"114",0
