"","x"
"1",0
"2",0
"3",0
"4",0.00038779001165945
"5",0
"6",2.51559530584089e-06
"7",0
"8",0.554666506280207
"9",0.0416375133011454
"10",0
"11",0
"12",0
"13",0
"14",1.38425883311477e-06
"15",0
"16",0
"17",0.0144969405686572
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0.167689710255666
"24",6.68549782378847e-06
"25",0.00988939368453545
"26",0.0820830921024625
"27",0.23374347046126
"28",0
"29",0.0729631369638296
"30",0
"31",0
"32",0
"33",0
"34",0.000167784036080532
"35",1.04329178158835e-05
"36",0.00376812089745204
"37",0
"38",2.9350621710833e-08
"39",0.165162373743018
"40",0
"41",0
"42",0
"43",0
"44",0
"45",9.89149566994474e-05
"46",2.82162071485459e-11
"47",0
"48",0
"49",0.0695306580031632
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",9.8411437887691e-09
"69",0.000234056552150141
"70",0
"71",0.0789766965671158
"72",0.691759490858206
"73",0.000633751750649836
"74",0.550151046588755
"75",1.11022302462516e-16
"76",0
"77",0
"78",0.00404986433376242
"79",1.55431223447522e-15
"80",0
"81",1.11022302462516e-16
"82",2.44249065417534e-15
"83",0
"84",0
"85",5.38017408402425e-11
"86",0
"87",0.000123996104451241
"88",0
"89",0
"90",3.60406545718561e-08
"91",1.11022302462516e-16
"92",0
"93",0
"94",0
"95",0.0114345171258883
"96",2.05519268270393e-10
"97",0
"98",6.0609602268169e-06
"99",0.0385856402368774
"100",0.000616314109898042
"101",0
"102",0
"103",0
"104",0.0052705943857706
"105",0.000304651152815971
"106",0
"107",2.67162671985233e-07
"108",0
"109",0
"110",0
"111",2.57928911562288e-09
"112",0
"113",0.000111546410407892
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",1.26150235812972e-08
"130",1.05710968988371e-05
"131",3.10841913427895e-05
"132",0
"133",0
"134",6.66133814775094e-16
"135",3.47312644555231e-06
"136",0
"137",0
"138",8.41774651998417e-05
"139",0
"140",0
"141",1.14548370788725e-11
