"","x"
"1",1.57205808370975e-08
"2",0.62204963537637
"3",0.0169257214737919
"4",0.0934413848164427
"5",0.0914272003968365
"6",0.00264226575778626
"7",0.00853772970771827
"8",0.233474487593518
"9",0.112607543818013
"10",0
"11",0
"12",0.0046411731998256
"13",3.33066907387547e-16
"14",6.1920523775072e-07
"15",8.83737527601625e-14
"16",0.0610728832209807
"17",0.0864629266067052
"18",0.0282352841633513
"19",0.000122176811834351
"20",3.33066907387547e-16
"21",0.758796985953057
"22",1.30439196199816e-06
"23",0.133036013203673
"24",0.648776560094889
"25",0.859656494139457
"26",0.427032663538337
"27",0.784943295161042
"28",0.0260639390899713
"29",0.0307425522664658
"30",9.66621379288046e-05
"31",9.06426439203356e-05
"32",9.57992150052434e-08
"33",0
"34",0.00220546084381457
"35",0.287341511192677
"36",0.0300393067133378
"37",0.277184755564172
"38",0.9649163197874
"39",0.019404866188508
"40",3.76580977512475e-09
"41",6.42882413970369e-11
"42",7.47457651328887e-12
"43",0
"44",0.000299556907866094
"45",0.364730764007179
"46",0.000170138757927263
"47",1.11022302462516e-16
"48",0.000820528796402931
"49",0.0224538682117529
"50",0.000686471621594298
"51",1.57500691425616e-05
"52",0.0672134734155133
"53",0.070327358973148
"54",2.8510527272374e-13
"55",0.00353005646545157
"56",2.50956283531778e-08
"57",0.0499093482567057
"58",1.77149117597253e-08
"59",2.8746919392364e-05
"60",2.09807282658403e-10
"61",1.56990702734339e-05
"62",1.31822639937162e-06
"63",2.49279764819033e-06
"64",2.1094237467878e-14
"65",4.26593972369105e-07
"66",5.27265648331277e-06
"67",9.8691055328004e-12
"68",0.00295810787950823
"69",0.0132593034555687
"70",4.38575793410001e-05
"71",0.0418561631283482
"72",0.277104081476292
"73",0.00361948150334845
"74",0.0731779643319609
"75",0.0407798722161601
"76",7.67155083902793e-09
"77",3.07985709380176e-07
"78",0.152187676223854
"79",0.00294537657337057
"80",2.74676248412931e-09
"81",0.00409539714058182
"82",0.0153163921924122
"83",0.00162751606292799
"84",5.58490648933097e-05
"85",0.170551023250416
"86",5.19621007222248e-07
"87",0.00443990973188435
"88",0
"89",0
"90",0.00912809236184975
"91",1.11069974959577e-05
"92",2.25430785150138e-12
"93",0.000677506560286312
"94",1.80691042551695e-05
"95",0.079864484896211
"96",1.92559394651681e-06
"97",4.30958695152306e-06
"98",2.55488742115784e-05
"99",0.554099669511001
"100",2.96375387565107e-08
"101",1.49545931193984e-11
"102",0
"103",1.09124947078598e-07
"104",0.0154103917034651
"105",0.1113216661941
"106",0.000870812429518253
"107",0.0112318639988782
"108",0.00106081175405393
"109",0.00080731887469554
"110",1.37777721453958e-07
"111",0.000488615710874329
"112",4.49595916052203e-11
"113",0.00375330119122919
"114",4.49075031494495e-07
"115",1.09245945623115e-13
"116",2.09368386516751e-06
"117",4.41454428568022e-10
"118",0.00259135234954655
"119",0
