"","x"
"1",0
"2",0
"3",0
"4",4.84561030387187e-05
"5",1.26255672583397e-10
"6",0.00144046031331668
"7",0
"8",0.0299785096449027
"9",0.000460064917969127
"10",0
"11",0
"12",0
"13",0
"14",3.64993257839785e-10
"15",0
"16",0
"17",0.0917777499365307
"18",0
"19",0
"20",0
"21",6.77236045021345e-14
"22",0
"23",0.0178442755891275
"24",0.000163527348792547
"25",4.37095721061986e-07
"26",0.000696862728022163
"27",0.0101384729736831
"28",3.06421554796543e-14
"29",0.0266362390528698
"30",0
"31",0
"32",0
"33",0
"34",7.43849426498855e-15
"35",1.42709466466329e-09
"36",0.000602874019946187
"37",0
"38",0.0815764853827887
"39",0.000254992956339573
"40",0
"41",0
"42",0
"43",0
"44",0
"45",2.44048222630688e-07
"46",0
"47",0
"48",0
"49",0.0409258394840264
"50",0
"51",0
"52",0
"53",0
"54",0
"55",1.01586783429752e-09
"56",0
"57",0
"58",0
"59",2.26263452418607e-13
"60",0
"61",0
"62",0
"63",1.84771598021882e-09
"64",0
"65",1.36396149930107e-09
"66",0
"67",0
"68",5.06517050524735e-11
"69",3.91906673490316e-05
"70",0
"71",0.00206459624773081
"72",0.197397472878049
"73",1.68744803740184e-05
"74",0.0419896943234322
"75",8.41638285900004e-05
"76",6.40935761220263e-06
"77",0
"78",0.0196482768182552
"79",0
"80",0
"81",0
"82",0
"83",7.58282325818982e-14
"84",0
"85",6.42708108955503e-13
"86",0
"87",0.0159042123678773
"88",0
"89",0
"90",1.29142252447423e-11
"91",7.74369457445800e-11
"92",0
"93",0
"94",0
"95",0.00849032219110302
"96",3.67398986722556e-06
"97",2.81098728738272e-08
"98",2.31107015833398e-05
"99",0.000980172815213454
"100",2.70460205252787e-05
"101",0
"102",0
"103",0
"104",9.58518871893022e-05
"105",0.000817521026518553
"106",0
"107",4.09995670885843e-05
"108",0
"109",1.02473585172902e-13
"110",0
"111",6.74027500480179e-12
"112",0
"113",0.0044655240853323
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0.00107635853978405
"130",4.02222577466915e-09
"131",1.08132151233065e-07
"132",0
"133",0
