"","x"
"1",0
"2",0
"3",0.00143362231183386
"4",0
"5",0.0580700967360273
"6",0
"7",2.48089794152584e-07
"8",0.000183102315175709
"9",0.00553369318965191
"10",0
"11",2.49167353416624e-12
"12",8.4150330035726e-05
"13",1.04475724405084e-07
"14",0
"15",0
"16",0
"17",5.46131544587602e-05
"18",1.76146497388174e-09
"19",0.00110125023419949
"20",5.95528552471691e-07
"21",4.2414621814757e-09
"22",6.0960478021066e-07
"23",1.31118434590904e-05
"24",0
"25",5.00805204195487e-06
"26",8.86413165090971e-12
"27",0.0114557853486424
"28",0
"29",0.00147320687327213
"30",0.000117517118999544
"31",0.000199372137040577
"32",1.33369327803834e-08
"33",0.00137621939339205
"34",0.267701151954372
"35",7.91434189717499e-06
"36",1.01626773774122e-06
"37",0.000421215151304444
"38",6.87984824110366e-07
"39",0.0709610549458207
"40",0.00261079858690094
"41",0.000239371287133694
"42",2.49858265720659e-05
"43",4.7788552354211e-06
"44",0.00985216142351952
"45",0.00897265939265268
"46",0.554415306208809
"47",0.0329391887777364
"48",0.000695481379674345
"49",0.00617902575607165
"50",0.00441917728837837
"51",0.00728581862056954
"52",0.00067325212362257
"53",0.00485022648778977
"54",0.167856442394282
"55",0.170156540286929
"56",0.0394925109755515
"57",0.109985799881524
"58",0.224059671222948
"59",0.188587393462204
"60",0.00207706085003379
"61",0.172502952254396
"62",0.173918412343221
"63",0.204769320111677
"64",0.860844579661718
"65",0.0219760888587633
"66",6.0068134350999e-05
"67",0.0151534735493211
"68",0
"69",6.07891239027269e-05
"70",0
"71",0.0134186608585081
"72",0.000277546920762317
"73",0.110717339611652
"74",0.313533824320969
"75",0.00330485070282582
"76",0
"77",0
"78",0.0560672430452587
"79",0.000954658496609362
"80",0.00021108536090142
"81",0.00170399163785218
"82",0.000155245199649268
"83",0.417799231259941
"84",0.00978881161104206
"85",3.45221407016538e-10
"86",0
"87",0.00387032143069121
"88",0.156312750003528
"89",0.504155851712283
"90",1.33099695731609e-06
"91",0.000190391124489597
"92",0.000877386439111949
"93",0.00886457303730592
"94",0.00264482038836167
"95",0.00421522159542087
"96",0
"97",0.0485556671644114
"98",4.82396667056406e-09
"99",0.000419613605588953
"100",2.41094589792379e-06
