"","x"
"1",2.37805652947287e-09
"2",0
"3",0.139706296777525
"4",0
"5",0.0546082732858761
"6",2.98610358658857e-05
"7",0.0382829121833888
"8",0.0475521122918515
"9",0.00171789615737772
"10",0.000611342663172088
"11",1.34166865395358e-08
"12",0.000409666693369726
"13",1.69309011255336e-13
"14",2.93985491506277e-09
"15",0
"16",0
"17",1.09693153449442e-08
"18",2.01384020570572e-10
"19",0.00062921208448119
"20",6.54887366557944e-10
"21",3.58463463356884e-07
"22",0.00432531297316419
"23",1.55377972256288e-05
"24",6.27717646848325e-05
"25",5.85792573781774e-07
"26",2.64815092076987e-09
"27",0.000306355217061238
"28",0
"29",2.05156897414849e-06
"30",0.104295251156632
"31",0.00494366630545084
"32",1.59960753531863e-08
"33",0.00200336420730629
"34",0.158253955632583
"35",0.0893393475671066
"36",0.000229383154814244
"37",0.0700435180040968
"38",0.0209182048985889
"39",7.48412305462409e-08
"40",0.431218672777875
"41",0.0647470854376926
"42",0.0455435493013414
"43",0.00562990774732608
"44",0.0526393505709712
"45",0.00881496951206984
"46",0.00230833676629627
"47",0.648366602629823
"48",0.00827239666773105
"49",0.00103242944633442
"50",0.435321760128146
"51",8.42990206452177e-05
"52",0.204399894814831
"53",0.00614943802081314
"54",0.389984982803351
"55",0.113692459028624
"56",0.495351149473788
"57",0.046596760967719
"58",0.225029516111912
"59",0.0953672172062381
"60",0.285739569884384
"61",3.73189441379429e-05
"62",0.00341387679706662
"63",0.0503759120722355
"64",3.86980976386786e-05
"65",0.478942690185122
"66",0.092153542632321
"67",0.270036462080026
"68",0.00136502919983617
"69",0.00208982048022754
"70",1.34336985979644e-13
"71",0.00749496774904768
"72",0.00274983044551769
"73",0.238369839037148
"74",0.0347692526957466
"75",0.000314813512873213
"76",5.74420610811588e-05
"77",2.17833528992628e-11
"78",1.75400533352077e-05
"79",3.93443194934839e-06
"80",0.0118409376183534
"81",1.17314722380968e-08
"82",0.0530998504986501
"83",0.0472591457124896
"84",0.00796812051713924
"85",0.000104841448243964
"86",5.75222594645375e-06
"87",0.0322321926953412
"88",0.299414496551932
"89",0.0376910768725451
"90",3.79035321194099e-05
"91",0.250468294408492
"92",6.27359255692683e-05
"93",0.260552616915973
"94",0.0172705276110374
"95",0.000101865338643981
"96",5.68794752076052e-07
"97",0.117209126331511
"98",1.51908188028571e-07
"99",0.0020131557270896
"100",0.00312528171555826
"101",3.11470764735589e-08
"102",1.38844491459622e-11
"103",0
"104",0
"105",0
"106",0.00457927005481673
"107",0
"108",6.33524077642278e-09
"109",0.00113815133651529
"110",0.00813957227278095
"111",0
"112",1.42454394080893e-06
"113",1.17433391899624e-08
"114",0.112607243691999
"115",0
"116",0
"117",3.05422354074381e-12
"118",5.90816284784523e-11
"119",7.92004883309883e-06
"120",0.0080022999422702
"121",6.36909414097886e-11
"122",0.000380796757741608
"123",0.00016693643895771
"124",6.52322862393362e-10
"125",1.0991207943789e-14
"126",0
"127",3.13180641420274e-08
"128",2.19780860177821e-11
"129",7.88258347483861e-15
"130",4.0689334823707e-06
"131",0.00034123532715491
"132",6.04356085176505e-08
"133",1.05340297262835e-07
"134",6.48487854526536e-08
"135",0.00133137252665882
"136",2.46435773185727e-05
"137",8.5778294839356e-06
"138",7.60726457649241e-05
"139",1.31709088080356e-11
"140",0.0172400662870892
"141",1.69899915103411e-06
"142",3.65178498551444e-09
"143",1.50214844329977e-06
"144",0.00833159153506846
"145",0.00667325356133841
"146",3.23510107591574e-11
"147",3.66612969415758e-06
"148",1.1558642931675e-11
"149",0.000739699914310998
"150",5.30891527406041e-08
"151",0.0105480098622109
"152",0.127582683685174
"153",2.30402625867043e-08
"154",1.86577497895968e-09
"155",0.0301546737996899
"156",0.164500719968894
"157",3.50848507632007e-05
"158",4.36615640809768e-05
"159",2.13486469196056e-05
"160",0
"161",0.00730945062012467
"162",0.000295096873619172
"163",4.45392833725577e-10
"164",2.38415562969774e-05
"165",1.96214438885622e-06
"166",0
"167",0
"168",2.44745379518463e-09
"169",7.23006773339918e-08
"170",2.90376724110253e-07
"171",4.66293670342566e-15
"172",9.84961908045978e-06
"173",9.92371897967637e-06
"174",3.34310357175127e-12
"175",3.5816232838437e-06
"176",1.87189319600378e-09
"177",0.0034074174296338
"178",1.25464306410805e-06
"179",2.696171118588e-07
"180",0
"181",0.000799895756130486
"182",1.02166497484291e-10
"183",2.25811397358555e-07
"184",3.21604920472396e-09
"185",1.34904309945227e-10
"186",1.03561660635965e-06
"187",0
"188",0
"189",0.0530569575422415
"190",4.36317648677687e-14
"191",3.2723845855287e-10
"192",1.01628733206738e-08
"193",0
"194",1.06531050647618e-08
"195",3.33066907387547e-16
"196",1.11022302462516e-16
"197",4.05697253569315e-10
"198",0
"199",1.42575840023085e-10
"200",1.48036694014309e-10
"201",2.95046098663931e-10
"202",0
"203",0
"204",0.015963544585935
"205",0
"206",0
"207",8.12186520260383e-08
"208",0.000922810444825117
"209",0.000219336681734683
"210",7.89735776773881e-09
"211",0.105899843247283
"212",0.0028704697866665
"213",1.21783189088731e-08
"214",3.07568560176108e-07
"215",6.66492416812048e-11
"216",2.1731423327509e-09
"217",4.51318749039586e-09
"218",2.08943973234454e-13
"219",0
"220",7.62723217917483e-14
"221",1.27786670134356e-13
"222",1.64960327064811e-07
"223",2.27518814899241e-09
"224",6.99440505513849e-15
"225",0
"226",4.10782519111308e-15
"227",3.64612118275431e-10
"228",1.40612107157878e-06
"229",0
"230",4.38538094726937e-13
"231",0
"232",0
"233",9.69585645105298e-09
"234",0
"235",5.48293236368735e-08
"236",0
"237",1.02140518265514e-14
"238",0
"239",1.25721655308553e-11
"240",0.00166237720650897
"241",0.0220893187097546
"242",5.93381438562801e-06
"243",0.187444325566501
"244",4.20016909766785e-05
"245",2.04846582052554e-06
"246",2.04737237163855e-08
"247",0.000895949389642547
"248",4.09167611703509e-06
"249",0
"250",3.71946313023619e-05
"251",1.56312429666627e-09
"252",8.50607251301483e-10
