"","x"
"1",0
"2",0
"3",0.00777366197844842
"4",0
"5",0.00066484400048461
"6",0
"7",0.000417802558237201
"8",0.0146993531701157
"9",0.000155228824545661
"10",7.62676588550448e-11
"11",0
"12",4.86943818600594e-13
"13",1.11022302462516e-16
"14",0
"15",0
"16",0
"17",8.36110736202045e-10
"18",0
"19",2.70121525709488e-05
"20",2.61319943462013e-09
"21",2.2815083156047e-13
"22",8.95756802066217e-11
"23",4.78364014400157e-06
"24",0
"25",1.56755377123119e-07
"26",1.63427937849292e-10
"27",0.000149823292403983
"28",0
"29",1.04321412797148e-06
"30",7.46199764201094e-08
"31",0.000524266404719809
"32",0
"33",2.30808807640814e-05
"34",1.69581850405498e-05
"35",0.000466460786268219
"36",1.07727994822504e-05
"37",0.00580091369010483
"38",0.000113656651014926
"39",0.000261728569352471
"40",0.000809666408337684
"41",1.19681634747071e-06
"42",3.27878146855198e-09
"43",0.00205340272034293
"44",0.000199579783012771
"45",0.00386602543585857
"46",0.0437283726539931
"47",0.000641185501570884
"48",0.000456483885108994
"49",0.0271233012897437
"50",0.138464232264608
"51",0.00044096032133667
"52",0.000188356039184323
"53",0.11421913639543
"54",0.000225790944268334
"55",0.981304875454348
"56",0.0194692975313515
"57",0.0472272853311275
"58",0.0288283830304324
"59",0.118863000948945
"60",0.072151649847387
"61",0.286102549519979
"62",0.362894089411355
"63",0.0224370400650989
"64",0.0304351163146552
"65",0.0103643243983688
"66",0.00601146151471266
"67",0.0680279565016667
"68",0
"69",1.04407815726404e-09
"70",0
"71",1.63969030388955e-05
"72",0.00566046887489147
"73",0.0813328423298335
"74",0.00177493537176754
"75",3.69444971726196e-07
"76",0
"77",0
"78",0.000208717524221913
"79",1.19403341486413e-05
"80",0.000974185699035957
"81",5.72790582142879e-06
"82",4.64249877299983e-05
"83",0.027679290505798
"84",0.00432105283567363
"85",0
"86",0
"87",0.0193175874993371
"88",0.0366069996205471
"89",0.0224166636946651
"90",1.08834081861131e-05
"91",4.44089209850063e-16
"92",0.00019830955102329
"93",0.0446154099082577
"94",0.000727812876168188
"95",0.027359240639827
"96",0
"97",0.00722177344279351
"98",4.27768931388073e-13
"99",0.000125372810052871
"100",0.000112735520585217
