"","x"
"1",0
"2",0
"3",4.10782519111308e-15
"4",0
"5",2.22044604925031e-16
"6",0
"7",0
"8",0.000953451001617589
"9",0.00782000982900133
"10",0.000131510325973916
"11",6.46504491719213e-07
"12",0.130097894148778
"13",0.0180154819947547
"14",4.80001594027613e-10
"15",0.210791801798487
"16",4.86586437808967e-10
"17",1.8698911996573e-07
"18",0
"19",0.00625894777940417
"20",6.99251458957661e-07
"21",6.91399978636209e-06
"22",0.000378255039740871
"23",0.00177392397843135
"24",0
"25",4.23015890094192e-08
"26",1.96191174417493e-10
"27",0.00621805786176399
"28",0
"29",1.1415354805866e-07
"30",5.01913401595999e-06
"31",1.68949225021198e-06
"32",0.0105712433644461
"33",0.229543436743453
"34",0.00301205638611068
"35",0.104548452662398
"36",0.0684162208797785
"37",0.651863518331438
"38",0.0454478355465801
"39",0.0990458731888082
"40",0.0589455053391192
"41",0.156993691393563
"42",0.353985091655753
"43",0
"44",0.0788047587837279
"45",0.000500423259219618
"46",0.0632912257967111
"47",0.00238195462231594
"48",0.0195932147071497
"49",0.00675086206110076
"50",0.437054143367716
"51",0.154237862883617
"52",0.124816388608811
"53",0.53552405885521
"54",0.0182557189264713
"55",0.0332567310566194
"56",0.00831722327892748
"57",0.0857547321791675
"58",0.000441959577682893
"59",0.118667012410274
"60",0.684497537706915
"61",0.0250274865520748
"62",0.0957707675508487
"63",0.261836529048751
"64",0.892678489186995
"65",0.0834658653928999
"66",0.138760982138612
"67",0.0869278821372458
"68",0
"69",0.208934489708373
"70",0
"71",0.000323194880222144
"72",0.0265859620213281
"73",3.21964677141295e-15
"74",0.179300356291569
"75",0.190472400748448
"76",0
"77",0
"78",0.00370820602345756
"79",5.35994710554322e-05
"80",0.377583675415582
"81",0.132088320448098
"82",0.282410921374592
"83",0.266682596718771
"84",6.28572642502601e-06
"85",0
"86",0.0267921734614909
"87",0.00298650363206288
"88",0.00595793215556906
"89",0.979924754949182
"90",0.582736101930963
"91",0.220063681491704
"92",0.000183987554542631
"93",0.129379423333651
"94",0.00239769705666892
"95",0.0355006916639014
"96",0
"97",0.0245911421163311
"98",3.34976998361824e-08
"99",0.291321140160237
"100",0.208437240489329
"101",2.33920203995819e-06
