"","x"
"1",0
"2",0
"3",0.000702452631366479
"4",0
"5",0.00100613899719393
"6",0
"7",0.0142858356925251
"8",0.0458343058517859
"9",2.7230393440103e-07
"10",4.67388508028632e-05
"11",0
"12",1.50277323178738e-05
"13",0.00283760508339415
"14",0.000364218527354465
"15",1.30451205393456e-13
"16",0
"17",2.01438865587988e-12
"18",6.54612840274016e-05
"19",7.17027126422298e-05
"20",4.20020237479335e-07
"21",4.1357103741646e-08
"22",1.7394974349827e-11
"23",0.0924730085442086
"24",0
"25",5.72128391750359e-05
"26",2.78190857683214e-07
"27",0.0071820776036936
"28",0
"29",1.65814390389318e-05
"30",0.00012885409623542
"31",3.24596782785846e-09
"32",0.000582237481645098
"33",0.00188529793460568
"34",0.000952395362435077
"35",0.000140277735538152
"36",2.00950367457153e-14
"37",0.000713335384172398
"38",0.00102752042620047
"39",6.42921140048269e-06
"40",0.000476269575559796
"41",0.0329130482715366
"42",0.00921452517591703
"43",0
"44",1.96829568865908e-07
"45",9.9659613894687e-11
"46",4.30932689754471e-07
"47",0.127361257771608
"48",1.40391138352403e-05
"49",0.000506716530180196
"50",0.917883266964229
"51",7.99100480231019e-08
"52",0.0294246134569069
"53",0.247654759671546
"54",0.0294955430349566
"55",0.0208834471365801
"56",0.130876752654379
"57",0.0265521885734366
"58",0.0002426340753372
"59",0.152334340779802
"60",0.329334478656366
"61",0.00776122020655801
"62",0.000522442881921381
"63",0.710020308297695
"64",0.0809738802343002
"65",0.00776975657222656
"66",0.416678782151729
"67",0.0117124854593713
"68",0
"69",9.50174944125415e-05
"70",0
"71",0.00690796744689515
"72",0.0197956258925461
"73",0
"74",0.132229739414755
"75",0.00199458297507193
"76",0
"77",0
"78",0.000331113734636013
"79",1.32710577172013e-06
"80",2.86812251726332e-08
"81",1.0018872641071e-05
"82",2.28880588348801e-06
"83",7.39034610397482e-07
"84",0.00568729776488719
"85",0
"86",0.536073588178598
"87",0.000936029244230863
"88",2.23113661368401e-06
"89",3.30367840140067e-06
"90",0.12049484444333
"91",0
"92",0.141112229893679
"93",0.0490181499247406
"94",0.00700688491782686
"95",0.0306566161079731
"96",0
"97",0.0106594537910645
"98",4.79366616024102e-06
"99",0.022485582169178
