"","x"
"1",0
"2",0
"3",0
"4",0.0241990540031909
"5",0.00482374800877705
"6",0.00867112941832882
"7",0.0466565118122754
"8",0
"9",0.00144121090314409
"10",0.00941455815857783
"11",7.62796652731268e-06
"12",0
"13",0
"14",0.00143190153602657
"15",0
"16",0.000212729939042422
"17",1.0316192344817e-12
"18",1.08309321511513e-08
"19",4.54658533044494e-12
"20",0
"21",6.65992104798008e-08
"22",0
"23",0.537903371762749
"24",0.000870707706232543
"25",0
"26",0
"27",0
"28",0.0332283909012138
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",1.11877174191477e-12
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0.000139874543878427
"48",0.000456889306346908
"49",0.00023707809408402
"50",0.0082954881171764
"51",0.0662791991110294
"52",0.00110765748916231
"53",0
"54",3.18522985764957e-13
"55",0.00257537388761264
"56",0.00156476672936701
"57",0.100591836028417
"58",3.73486561988656e-06
"59",1.09442085838296e-07
"60",0.875219514317054
"61",0.238031212316089
"62",0.0542360093457629
"63",0.378916622346887
"64",8.6938066808262e-05
"65",0.000131267974719074
"66",0.0175233349937608
"67",0.0255317155066529
"68",0.0926883014508203
"69",1.48492783980103e-06
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1.11022302462516e-16
"80",0
"81",0.040076515288341
"82",0
"83",0
"84",0
"85",0.345104530235814
"86",2.34891338712906e-06
"87",0.063938551993973
"88",0.002527112490323
"89",0.000541600739098258
"90",0.0146203472747843
"91",0
"92",0.00589185563460537
"93",2.38972600830056e-06
"94",0.211642565985955
"95",0.238522489900045
"96",0.346112330590708
"97",0.838859980613795
"98",0.000635786974761965
"99",0.126261967135639
"100",0.326447650778931
"101",0.267304695055987
"102",0.00685783723012867
"103",0.00574376750302574
"104",2.50989234442667e-05
"105",0.403635583178983
"106",0.200282165052856
"107",0.663051251663429
"108",0.304012767193707
"109",0.109042459833035
"110",0.0173565559351813
"111",0.0233022536854568
"112",0.261080165796217
"113",0.0479141802229688
"114",0.013114030656977
"115",0.0474950458933523
"116",6.57330155862113e-08
"117",0.0501425579591519
"118",0.158508018394477
