"","x"
"1",0
"2",1.14067511214344e-07
"3",0
"4",5.15875054896142e-07
"5",0.0301191792217732
"6",2.23437731616816e-06
"7",2.09009788944003e-05
"8",5.42388356450374e-12
"9",0.457521973358943
"10",0.09921079541164
"11",4.45012309446824e-07
"12",4.77597961179299e-11
"13",0
"14",9.5812247025151e-11
"15",0
"16",9.17944198430831e-09
"17",0
"18",0
"19",0
"20",1.67643676718399e-14
"21",1.11022302462516e-16
"22",0
"23",0.0360138495106915
"24",0.216338293310265
"25",1.61083368865889e-11
"26",6.65578703262781e-13
"27",0
"28",0.00569173356412189
"29",7.94502241774353e-11
"30",0
"31",6.66133814775094e-15
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",9.4370024017465e-09
"44",5.6821236604776e-09
"45",0
"46",0
"47",0
"48",0.194097322591147
"49",1.11618479681219e-07
"50",0.366610038659552
"51",0.00930811981502511
"52",0.000316545530834822
"53",0
"54",0
"55",3.43793438162265e-10
"56",0.115173153405864
"57",0.346167651526821
"58",0.00025423787975376
"59",1.43912353922637e-07
"60",0.684006049923355
"61",0.00869746925932025
"62",0.0239245469363156
"63",0.883973079005294
"64",0.165427880535799
"65",0.428755944111376
"66",0.00130559813328557
"67",0.201646936044944
"68",0.00113986639674934
"69",0.192022112791304
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0.0294795858464189
"82",0
"83",0
"84",0
"85",4.82526956812057e-05
"86",0.27531756421877
"87",0.0799372800306856
"88",0.0115546915704647
"89",0.0956242078081844
"90",0.142245047386623
"91",0
"92",0.281932142862161
"93",0.00185674061461671
"94",0.00276922614414632
"95",0.0327563721342041
"96",0.69762982183037
"97",0.297458512682032
"98",1.90441828313848e-05
"99",0.055318714107278
"100",0.0550684467680519
"101",0.399377183192485
"102",0.0190847677915874
"103",0.177840772715599
"104",6.08267923807304e-08
"105",0.411783735191095
"106",0.175897922674487
"107",0.226019643629989
"108",0.0607157788664658
"109",0.0160690133730754
"110",0.100366210292367
"111",0.0525941213167611
"112",0.00101701003127896
"113",0.00441491951125406
"114",0.484209265623684
"115",0.119863978301724
"116",0.1424914246897
"117",0.132878951737539
"118",0.414091602264318
"119",0.0199296921005389
"120",0.0886590146350819
"121",0
"122",0
"123",2.06022402693407e-07
"124",5.92859095149834e-14
"125",0.0315903525176648
"126",0
"127",0
"128",6.46351860922323e-11
"129",0.000139803093800572
"130",0.00813554062385435
"131",0.0925560579990687
"132",0
"133",0.000154989416226048
"134",0.000908289740817914
"135",0.00160283786658733
"136",0
"137",3.33066907387547e-16
"138",0
"139",0.0417027087787926
"140",0.477116003161364
"141",0
"142",0
"143",0
"144",0
"145",0
