"","x"
"1",0
"2",1.65269976593052e-08
"3",0
"4",0.00296050252388114
"5",0.0298178022645065
"6",0.00278709068133642
"7",0.041250376462477
"8",0
"9",0.00887864808625427
"10",2.77247110913592e-06
"11",6.05321389847147e-05
"12",3.68712838039187e-10
"13",0
"14",0.037737982791887
"15",0
"16",0.000509511185369016
"17",1.27453603226968e-13
"18",1.5895937621746e-06
"19",1.73783666346239e-08
"20",3.11023008248146e-06
"21",1.27373667169195e-11
"22",0
"23",0.000386167098687662
"24",0.0295986002119416
"25",0
"26",1.2667644710973e-13
"27",0
"28",8.08594773193949e-06
"29",1.45015308650187e-08
"30",0
"31",3.7336800318144e-13
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0.00020889127676782
"40",0
"41",5.91712612241224e-08
"42",0
"43",0
"44",3.3567681745339e-08
"45",0
"46",0
"47",2.75507394675856e-11
"48",0.000566483460804124
"49",0.281470021556556
"50",0.00848771632048306
"51",2.0394219863995e-06
"52",0.00817342186168946
"53",0
"54",0
"55",0.217537578198674
"56",0.0487378413702569
"57",0.0178388220012305
"58",0.0119138110109517
"59",0
"60",0.0860904951848733
"61",0.369338309015231
"62",0.286022851958418
"63",0.261068711948163
"64",0.00873254356414965
"65",0.10216868705804
"66",2.61712160465333e-06
"67",0.0687329756323284
"68",0.00310950658862019
"69",0.0044006604850394
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",9.65601709701502e-10
"80",0
"81",2.65206779259675e-06
"82",0
"83",0
"84",0
"85",0.00308306064309238
"86",0.0889894322862234
"87",0.0550936742281194
"88",0.00264350968026061
"89",0.0128028117823127
"90",0.0144524080965192
"91",2.59361532251035e-10
"92",0.000349519250779529
"93",0.003942546589636
"94",0.071936144871371
"95",0.259580740611261
"96",0.167722748052153
"97",0.0503398557256455
"98",0.0097285356079565
"99",0.00906533800185494
"100",0.234537456035862
"101",0.549598917936838
"102",0.00746751223051967
"103",0.0779911263876373
"104",8.23590331938684e-05
"105",0.476213697267406
"106",0.169955613984407
"107",0.174159201370772
"108",0.81702960896385
"109",0.0192562163741455
"110",0.795973140606357
"111",0.0110019994993384
"112",0.0329446030916668
"113",0.262511259308702
"114",0.159525598879773
"115",0.00765906586438803
"116",0.0527014119290629
"117",0.0263978415191508
"118",0.745033601565968
"119",0.159582727027203
"120",0.904260592346912
"121",0
"122",0
"123",6.84718504118109e-10
"124",3.52723406038535e-11
"125",0.00270614160066129
"126",0
"127",0
"128",2.40663045047995e-11
"129",0.0187221816731052
"130",0.00119518088862403
"131",0.152639316218522
"132",0
"133",7.49666956290085e-08
"134",0.00707089682719952
"135",0.00269462201580761
"136",0
"137",6.4170890823334e-14
"138",0
"139",0.232964348820972
"140",1.40880227426088e-05
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",6.6293290679198e-06
"153",0
"154",0
"155",0
"156",5.51336754028853e-13
"157",2.59176622295909e-05
"158",2.88884331970385e-05
"159",1.62022658511951e-07
"160",4.00910768855178e-05
"161",0
"162",0
"163",0
"164",0.0012557304008477
"165",0
"166",0
"167",0
"168",8.41278946506208e-09
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",3.10862446895044e-15
"177",1.08875090942817e-07
"178",7.03130629275961e-08
"179",0
"180",0.0345264821283279
"181",0
"182",0
"183",0
"184",0
"185",5.44009282066327e-15
"186",1.38023954492361e-05
"187",0
"188",6.81305829460799e-05
"189",0.252442156496915
"190",0.00229849737206189
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0.000105863725475719
"197",0.0272719190357464
"198",0.00491634042955191
"199",0.686274175525514
"200",0
"201",0.12715750608181
"202",0.000631615896706017
"203",0.682711627599336
"204",0.378664213812368
"205",0
"206",0.0732986768325319
"207",0.0761340422381658
"208",2.0971985008944e-05
"209",0.492989400826697
"210",0.10742243515924
"211",0.00098085066322251
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
