"","x"
"1",1.97067917173666e-06
"2",5.88418203051333e-15
"3",4.70194277735203e-07
"4",1.95752699605478e-08
"5",0.000677084854848298
"6",0.0137873381586441
"7",1.4061451638625e-05
"8",3.3415974542983e-08
"9",5.18200038435168e-10
"10",2.27413899513973e-05
"11",0.00227038361700305
"12",3.50275364269237e-13
"13",0.0243910064150188
"14",0.000432085250299141
"15",0
"16",0.000190659440977181
"17",6.58548082266286e-06
"18",0.0514069659714573
"19",0.00134748837938603
"20",0.0016983692947925
"21",8.36833556561167e-07
"22",0
"23",0.0294689392490841
"24",0.000444521451637647
"25",0.000207139416385171
"26",3.47568619107896e-07
"27",0
"28",4.28053692769215e-06
"29",0.0987856278624589
"30",0.00236363264833961
"31",7.33048155796556e-05
"32",0
"33",6.50380299872522e-05
"34",0
"35",0
"36",0
"37",0
"38",3.02979863420205e-13
"39",1.40210567489696e-07
"40",0
"41",1.55687298841745e-06
"42",0
"43",7.33395150831484e-07
"44",4.02073663252622e-09
"45",0
"46",7.5545675271016e-09
"47",2.61149619484868e-07
"48",0.362310581421933
"49",0.304320827271844
"50",0.201328932676659
"51",0.00105520522161484
"52",0.180367354587055
"53",2.20793383576279e-11
"54",0.688829089081345
"55",4.37645016314603e-05
"56",0.173185137434943
"57",0.0132145460418817
"58",0.0619960998884144
"59",0.27008233034505
"60",0.534488445830288
"61",0.0448331568973733
"62",0.106620387603023
"63",0.0307648761139486
"64",0.000379027777302365
"65",0.0100422813338279
"66",0.921449029041955
"67",0.493780276116686
"68",0.178707318642745
"69",0.792930728171191
"70",0
"71",8.70281204545797e-07
"72",6.51109588467591e-09
"73",7.59392548843607e-14
"74",0
"75",0
"76",7.84599052394697e-11
"77",5.20517492441641e-08
"78",8.1601392309949e-14
"79",0.0220685021103638
"80",1.11022302462516e-16
"81",0.0493931437158234
"82",1.22124532708767e-14
"83",9.05386876581815e-13
"84",0.0577664244432661
"85",0.0816493846491384
"86",0.121053772398795
"87",0.290839016311901
"88",0.0360875306950003
"89",0.878812274413128
"90",0.203220418651256
"91",0.168377116578081
"92",0.256661426980056
"93",0.312263889230237
"94",0.00346883174059287
"95",0.41481465516009
"96",0.112168366189548
"97",0.546890474899978
"98",0.231199031684596
"99",0.165117451479533
"100",0.421476794808301
"101",0.671196560399117
"102",0.021370996532634
"103",0.419439460647127
"104",0.261077551485661
"105",0.76715181699671
"106",0.394317690627154
"107",0.0585940752564987
"108",0.386056913849308
"109",0.175324686407987
"110",0.966858195524244
"111",0.440423141465417
"112",0.0109284441131968
"113",0.503448782417054
"114",0.0105063522739587
"115",0.524875011430025
"116",0.104693546548088
"117",0.343769558899744
"118",0.23446079363223
"119",0.462274579293577
"120",0.917741307216624
"121",0
"122",4.43682941020374e-06
"123",0.112821233331359
"124",0.325625764279884
"125",0.0499318555327166
"126",0
"127",1.38777878078145e-14
"128",0.094048362746965
"129",0.668349186588817
"130",0.156247046276022
"131",0.235997464793571
"132",5.09518277569398e-08
"133",0.446710021531026
"134",0.832417761534713
"135",0.163653259483667
"136",3.02070397806276e-07
"137",0.000226339874664472
"138",0.175779676028286
"139",0.85143705597249
"140",0.691592988745986
"141",2.55094564138858e-07
"142",0.00536035947524738
"143",4.89717668639145e-07
"144",0.0112204313498289
"145",5.35642641352752e-10
"146",0.0014639420202609
"147",0
"148",0
"149",0.00186624256745249
"150",0
"151",0.00269001471222829
"152",0.00530205005622486
"153",2.48891337895074e-06
"154",0
"155",2.02806704763248e-08
"156",1.16047505716033e-07
"157",0.000418433598910473
"158",0.016109412040701
"159",0.00442074664442127
"160",0.000969265629788385
"161",3.72644448631831e-09
"162",2.72093458875133e-12
"163",0.0206209331259239
"164",0.214750758129178
"165",2.11660484703557e-05
"166",4.76411702310386e-08
"167",0.528213226506684
"168",9.5812247025151e-14
"169",0.777119004057511
"170",0
"171",0.000268068950891931
"172",0
"173",2.39244534055993e-05
"174",0.0893433175547851
"175",0
"176",0.00512315762301274
"177",0.0976166488798879
"178",0.000518555557797895
"179",0.000165939868834841
"180",2.24466030207537e-08
"181",0.00362232906885129
"182",1.77550196767129e-11
"183",2.35119889668844e-07
"184",2.19710155624497e-08
"185",0.0138603258118297
"186",0.000613754570799707
"187",0
"188",0.00170819397714372
"189",0.0278426909111233
"190",0.000405137410685485
"191",0
"192",2.22524885062914e-06
"193",0
"194",2.3813173655185e-12
"195",0.0551888293052328
"196",0.000306595184052405
"197",0.0491014845382651
"198",0.0251332791509493
"199",0.162361567918886
"200",0.0444248778308959
"201",0.171975322226428
"202",0.00836621315363684
"203",0.104912230756287
"204",0.811795725981726
"205",0
"206",0.386987354528776
"207",0.157504048516135
"208",0.0154116239621569
"209",0.351638473719124
"210",0.210444113800784
"211",0.548936751063883
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",1.77677761392658e-09
"219",0
"220",0
"221",1.45245879235034e-05
"222",0
"223",0.00700579704719095
"224",3.71239102792131e-08
"225",0.19190264048219
"226",1.22334206087427e-06
"227",2.66971960982687e-07
"228",0.000579242390346235
"229",0.00360752870741676
"230",0.00246749446216665
"231",9.80680247741894e-06
"232",0.00101764009711491
"233",0.0975568623972158
"234",0.002669417773837
"235",0.525720652486034
"236",2.60524379847027e-10
"237",0.157162673008611
"238",0.446988454422997
"239",1.05314181741978e-06
"240",0.0846739393022691
"241",0.474787761321293
"242",5.11236410927207e-06
"243",0.0126086494354712
"244",0.01022708760744
"245",0.0525826260961817
"246",0.421172548912164
"247",0.672307020193131
"248",0.137335710695959
"249",0.267747412637357
"250",0.0118795440015563
"251",0.984447630537956
"252",0.00143256321019258
"253",0.0335183462134966
"254",0.014005457970917
"255",0.0396642775191847
"256",0.148443317602847
"257",0.363905692922618
"258",0.348888372045359
"259",0.0421287311913858
"260",0.470606078567146
"261",0.235591962609992
"262",0.38018267566753
"263",0.181347647648231
"264",0.512227430795552
"265",0.0523930937086251
"266",0.214205015855891
"267",0.00231929746254789
"268",0.177602643734678
"269",0.288383747568441
"270",0.133554435970415
"271",0.0402806511819758
"272",0.0684527400143718
"273",0.833213139551327
"274",0
"275",0
"276",0.000228473570256904
"277",5.6373235316487e-06
"278",2.03403960341575e-12
"279",1.22811722846894e-06
"280",6.23123500131939e-07
"281",0.433656503194489
"282",0.202391509169801
"283",0.245333442098348
"284",0.202557513444294
"285",0.10810894534721
"286",0.327047193306888
"287",2.19824158875781e-14
"288",0.00677706485510454
"289",0.461022239024503
"290",0.0617657379407717
"291",0.687941609698658
"292",0.333877105048487
"293",0.462304928914399
"294",0.557207524037202
"295",0
"296",5.55111512312578e-16
"297",0.00447701905932418
"298",0.0178567290694375
"299",0.000106386617322429
"300",0.370383232579703
"301",0.0582485914376909
"302",0.180576982401689
"303",0.0206858251707748
"304",0.0591860093503995
"305",0.146363797849921
"306",0.961366199047474
"307",0.0137349567095798
"308",0.664726812942705
"309",0.0472577671242277
"310",0.128303020770456
"311",0.246663681453649
"312",0.657630853207438
"313",0.095401172098009
"314",6.66022792472631e-13
"315",0
"316",0
"317",2.60679545727172e-08
"318",0
"319",9.98739042179508e-06
"320",9.20872378351589e-10
"321",5.73827103325097e-05
"322",7.77336964384867e-05
"323",1.09535713832543e-11
"324",1.66883303842624e-08
"325",9.31480203281154e-05
"326",4.00484377882648e-08
"327",3.33066907387547e-16
"328",0
"329",1.25919275006936e-11
"330",0
"331",9.70428061737305e-05
"332",1.73065199726707e-07
"333",7.01643343425928e-09
"334",5.75738623442845e-09
"335",1.22124532708767e-15
"336",0
"337",4.86910067820645e-09
"338",0
"339",7.56650910366252e-05
"340",0
"341",1.10798463937023e-06
"342",0
"343",2.90992097085052e-09
"344",6.24506849818962e-05
"345",9.18221054746482e-12
"346",0
"347",0
"348",0
"349",1.0991207943789e-14
"350",1.07902575763319e-12
"351",1.11022302462516e-16
"352",1.11022302462516e-16
"353",7.9480866332915e-13
"354",3.62333193448805e-08
"355",7.3555521451496e-08
"356",8.22914260267815e-06
"357",2.78355842560085e-05
"358",1.52144963294631e-12
"359",5.55111512312578e-16
"360",8.88178419700125e-16
"361",1.97628324816179e-09
"362",0.0433054683732663
"363",0
"364",1.65231346493933e-07
"365",0
"366",4.21884749357559e-15
"367",0.490070727425548
"368",0.033591487161207
"369",0.407904740339215
"370",0.0027987169141982
"371",0.005442444501911
"372",0.000124900318867582
"373",0.0313590501172413
"374",0.00128327726910604
"375",7.00358604444062e-09
"376",0.000958470525144306
"377",0.0123472810459619
"378",1.55697317483217e-07
"379",0.00202322953349143
"380",0.000477828789798407
"381",0.00131953915126504
"382",0.00730364330121336
"383",1.26117527559089e-05
"384",9.5349556613944e-05
"385",0.000496832471457376
"386",0.000208441666381343
"387",0.0136691966934683
"388",1.3338426470888e-05
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0.00181722074638713
"395",0.00038378758396429
"396",0.00864369870868631
"397",0.0787207228641589
"398",0.0130777432832683
"399",0
"400",0
"401",0
"402",1.04360964314765e-14
"403",0.00152126611653636
"404",0.154824069282631
"405",0.109997580588696
"406",0.00020056339245389
"407",0
"408",7.23947457537122e-10
"409",0.0035956531917416
"410",0
"411",2.92008239810571e-09
"412",0.00316810240413168
"413",0.00132056367208222
"414",0.0175427585327494
"415",0
"416",0.000316723310865852
"417",0.10059669238028
"418",5.4277771166511e-10
"419",0
"420",0.070641084047381
"421",0
"422",1.99958827273861e-10
"423",0
"424",0
"425",0
"426",6.29177085431643e-06
"427",6.89637236206408e-11
"428",0.000286181512568762
"429",6.77372534070297e-05
"430",0.216299877004839
"431",0.00841924185636034
"432",0.000905935393551882
"433",0.11310468399462
"434",0.0378838647002967
"435",0.288887034245488
"436",0.0405739923071106
"437",0.00429678080348372
"438",0.156831071061006
"439",0.238751966574252
"440",0
"441",0.00120408011471618
"442",0
"443",0
"444",0
"445",0
"446",2.11575201802816e-12
"447",4.61340965429713e-11
"448",0
"449",0
"450",6.87239154473218e-11
"451",6.02579383724988e-05
"452",0.0034971314260589
"453",0
"454",0
"455",0.0355260588818141
"456",6.12050992976343e-06
"457",5.77301129123242e-09
"458",4.32910971444045e-05
"459",0.0112859297037697
"460",0.0286560830582528
"461",0.042440498819114
