"","x"
"1",2.4535928844216e-13
"2",1.55431223447522e-15
"3",0
"4",3.95239396766556e-14
"5",0.00375288994371969
"6",3.77738285095575e-10
"7",0.000266457783695495
"8",0
"9",1.46492373787055e-10
"10",2.04173799756013e-07
"11",1.01660651896651e-07
"12",0
"13",5.14116181516977e-05
"14",1.43353096060395e-09
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0.0011360125535238
"22",0
"23",4.81413244646234e-06
"24",2.84970699394593e-05
"25",1.11022302462516e-16
"26",2.55351295663786e-15
"27",0
"28",5.96180674827806e-08
"29",0
"30",0
"31",7.7715611723761e-16
"32",0
"33",0
"34",0
"35",3.16435766478662e-12
"36",0
"37",0
"38",0
"39",8.4550033641051e-11
"40",0
"41",1.11022302462516e-16
"42",0
"43",0
"44",4.49640324973188e-14
"45",0
"46",0
"47",1.63768554273247e-10
"48",0.00601809115473217
"49",2.73858965171847e-06
"50",0.0282923156794175
"51",1.25117093907612e-07
"52",1.89309823372952e-09
"53",0
"54",0
"55",0.0056672035607388
"56",0.00610199965616909
"57",0.000114215167262732
"58",1.93225032832922e-05
"59",0.000174242262067081
"60",3.32165822791719e-06
"61",0.0179063767362792
"62",0.0438446707891753
"63",0.000527315521747007
"64",0.00337355581881549
"65",0.000268955946861715
"66",0.0319241286489533
"67",0.00138900215337867
"68",0.00647786963222674
"69",0.132237111131043
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",7.95122367946988e-09
"80",0
"81",0.0561627312071485
"82",0
"83",0
"84",4.30378207627591e-07
"85",0.0287598737865111
"86",0.00508146684213973
"87",0.0314924362432463
"88",0.080182487797089
"89",0.0160977885123855
"90",0.002846825208485
"91",0.00114379255071029
"92",0.133518436251219
"93",2.89649544038539e-06
"94",0.000768876823118436
"95",0.232287700768572
"96",0.109454254696387
"97",0.0223200548170736
"98",0.0527490338704044
"99",0.0201135717589627
"100",0.237867774265875
"101",0.000344589172957765
"102",0.000446290084024636
"103",9.9523040253402e-07
"104",1.6347067033351e-09
"105",0.00122822886989959
"106",6.86761134444103e-05
"107",0.0152076587253602
"108",0.0234720488503355
"109",0.00370463093271423
"110",3.34099425980394e-06
"111",0.00140104266991681
"112",0.00809087595370406
"113",0.452225544638302
"114",0.0280824761188585
"115",0.0544066831176852
"116",0.000420066896754778
"117",1.79620745377473e-06
"118",0.0219603966843197
"119",0.0950013457085921
"120",0.0112248292087272
"121",0
"122",4.60709248528701e-12
"123",2.860347420508e-05
"124",6.32360896979378e-09
"125",0.270083227749038
"126",0
"127",0
"128",6.00305192222095e-08
"129",9.83459784720253e-08
"130",0.000811349648748738
"131",3.29993119718708e-07
"132",0
"133",0.0287331668810089
"134",3.83337143416984e-06
"135",0.000392567270297794
"136",0
"137",5.67506597271006e-10
"138",0
"139",0.0141921868007644
"140",0.000224859824307644
"141",0
"142",0
"143",0
"144",0.117335318100335
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",6.57819151039796e-07
"153",0
"154",0
"155",0
"156",6.79456491070596e-14
"157",1.26015053103501e-06
"158",4.94503563652771e-08
"159",9.55077739474008e-05
"160",6.15879276620879e-05
"161",0
"162",0
"163",9.1635761201303e-09
"164",0.212012255765525
"165",0
"166",0
"167",1.85480191206011e-08
"168",0
"169",1.87104666427018e-07
"170",0
"171",0
"172",0
"173",0
"174",5.84836623573892e-10
"175",0
"176",7.00285052168681e-10
"177",0.0208818422938021
"178",4.98219891009732e-07
"179",1.0860190524653e-10
"180",0
"181",8.10159495046037e-10
"182",0
"183",0
"184",0
"185",0.000118190031063392
"186",4.61444649380027e-07
"187",0
"188",3.29756974019046e-05
"189",0.000263667575533977
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0.00384564509269258
"196",2.28694135784302e-06
"197",0.271539986746328
"198",4.31084777681168e-05
"199",0.0216984167379273
"200",0
"201",3.95870826465083e-05
"202",0.0124757142128892
"203",0.0242130780835454
"204",0.0152970787823585
"205",0
"206",0.182392600579794
"207",0.15812531581716
"208",3.4410891374459e-05
"209",0.0610311527746494
"210",0.000169061918294022
"211",0.00133086769566892
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",2.72115663335626e-12
"224",2.10027590317186e-05
"225",0.000957273352583332
"226",0
"227",7.7715611723761e-16
"228",1.63516687826659e-05
"229",9.58690349328606e-10
"230",2.79224705579395e-08
"231",0.000861662827229992
"232",1.21056254287488e-05
"233",0.000246652515586532
"234",0.0271948451712667
"235",0.514147835465472
"236",0
"237",2.67552241167701e-05
"238",0.0491522760921439
"239",0.000245283935023988
"240",0.00093108587135704
"241",0.0724954810735534
"242",0
"243",0.0333210113578015
"244",2.40431383055073e-05
"245",0.012974480979226
"246",7.17904883618115e-05
"247",0.0260716260606256
"248",0.327838029070826
"249",0.00153673301195012
"250",0
"251",0.200855996088604
"252",0.0449791135336025
"253",7.52983049089329e-05
"254",0.00392036808511798
"255",0.071622467946967
"256",0.0062403154707652
"257",0.00382760380910263
"258",0.0721831067340279
"259",0.202305223774519
"260",0.000129190766914644
"261",0.000377468647151158
"262",0.601399501580497
"263",0.223664810330515
"264",0.00443415938044278
"265",0.32130368575461
"266",0.0161913694217606
"267",0
"268",0.00181633424653893
"269",0.0935391703163966
"270",0.0392120396645124
"271",0
"272",0.000198298682664411
"273",0.0506211397980785
"274",0
"275",0
"276",7.09432512735475e-13
"277",0
"278",0
"279",0
"280",0.000995307835773729
"281",0.000460709603188891
"282",0.00153243497956179
"283",9.24698486785003e-05
"284",0.00118850972993556
"285",0.00192409390150039
"286",0.281613100064555
"287",0
"288",8.42486586050128e-07
"289",6.74096543951119e-06
"290",0.0115946346432105
"291",0.0429115479778753
"292",0.865820372811589
"293",0.0120857004657327
"294",1.46509471221634e-11
"295",0
"296",0
"297",0.0959009197859063
"298",0.135724743417196
"299",0.00461217219117926
"300",0.0231249459553013
"301",0.0493399124850599
"302",0.351071068836146
"303",0.0986261773828419
"304",0.00306726199570517
"305",0.349618887637776
"306",0.0154025353619091
"307",0.414209121079788
"308",0.0792823083643075
"309",0.0071877692254273
"310",0.0968326493540517
"311",0.035872661369812
"312",0.0104956543970856
"313",0.23763260472823
"314",0
"315",0
"316",0
"317",0
"318",0
"319",1.05582209641852e-13
"320",0
"321",2.20402883011062e-06
