: VCR : MJH : JAE : GHA? : MFGR? ::
 C3 : 0.224    : 0.148    : 0.033    : 0.163    :: 0.142    : 0.080    
 C4 : 0.203    : 0.141    : 0.028    : 0.145    :: 0.129    : 0.073    
 CZ : 0.196    : 0.142    : 0.025    : 0.100    :: 0.116    : 0.072    
 F3 : 0.201    : 0.152    : 0.033    : 0.137    :: 0.131    : 0.071    
 F4 : 0.222    : 0.150    : 0.020    : 0.134    :: 0.132    : 0.084    
 F7 : 0.189    : 0.147    : 0.033    : 0.195    :: 0.141    : 0.075    
 F8 : 0.187    : 0.130    : 0.015    : 0.155    :: 0.122    : 0.075    
 FP1 : 0.192    : 0.079    : 0.025    : 0.113    :: 0.102    : 0.070    
 FP2 : 0.182    : 0.085    : 0.023    : 0.106    :: 0.099    : 0.066    
 FZ : 0.210    : 0.147    : 0.030    : 0.143    :: 0.133    : 0.075    
 O1 : 0.246    : 0.188    : 0.019    : 0.273    :: 0.181    : 0.114    
 O2 : 0.208    : 0.182    : 0.019    : 0.229    :: 0.159    : 0.096    
 P3 : 0.210    : 0.135    : 0.010    : 0.265    :: 0.155    : 0.111    
 P4 : 0.214    : 0.150    : 0.028    : 0.235    :: 0.157    : 0.093    
 PZ : 0.186    : 0.141    : 0.015    : 0.201    :: 0.136    : 0.084    
 T3 : 0.222    : 0.164    : 0.022    : 0.218    :: 0.156    : 0.093    
 T4 : 0.224    : 0.137    : 0.012    : 0.175    :: 0.137    : 0.091    
 T5 : 0.265    : 0.167    : -      : 0.245    :: 0.169    : 0.120    
 T6 : 0.271    : 0.161    : 0.019    : 0.199    :: 0.162    : 0.106    
 LOG : 0.281    : 0.236    : 0.099    : 0.263    :: 0.220    : 0.082    
 ROG : 0.281    : 0.219    : 0.075    : 0.307    :: 0.221    : 0.104    
 EMG : 0.125    : 0.071    : 0.007    : 0.002    :: 0.051    : 0.059    
