&VCR &MJH &JAE &GHA? &MFGR? &CLO &RLO &RRU &JGZ &FGH &MGG &EMT 
C3 &106&27&16&111&&8&50&65&3&3&40&17
C4 &87&23&1&125&&7&58&63&1&1&33&16
CZ &83&25&1&116&&7&34&62&2&3&29&17
F3 &92&15&3&2&&19&20&29&0&0&5&2
F4 &95&37&5&97&&8&54&57&4&19&27&6
F7 &92&30&1&110&&7&48&52&1&0&8&16
F8 &61&22&1&70&&3&28&20&0&0&6&3
FP1 &82&28&0&111&&6&36&13&0&0&2&14
FP2 &50&12&12&128&&1&0&15&0&22&1&9
FZ &59&11&1&97&&1&20&16&0&0&2&4
O1 &94&32&2&104&&15&57&62&6&0&27&17
O2 &52&34&3&138&&5&16&22&0&1&15&15
P3 &132&38&1&31&&5&43&72&2&5&32&22
P4 &123&37&1&74&&3&44&61&3&1&24&14
PZ &104&29&0&99&&8&49&61&1&1&36&18
T3 &104&28&0&113&&6&41&61&3&6&26&16
T4 &106&27&0&105&&8&46&67&0&3&17&15
T5 &60&33&1&133&&12&13&29&1&0&28&19
T6 &119&37&1&55&&15&45&45&0&4&47&14
LOG &109&33&0&114&&6&42&60&1&0&13&17
ROG &115&43&0&32&&13&48&63&5&4&58&19
EMG &108&33&0&71&&5&36&69&3&0&22&16
Total&200&127&171&267&&132&99&114&33&22&166&47
